Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,46.84721,47.477768,46.499596,47.14632,39.911274,4426357
2017-12-13,47.348423,47.857719,47.025063,47.550526,40.253452,4159165
2017-12-14,48.003235,48.771221,46.84721,47.348423,40.082363,6763545
2017-12-15,47.663704,48.084072,46.701698,46.976555,39.767563,10892898
2017-12-18,47.437347,49.369442,47.1059,49.320938,41.752178,5535946
2017-12-19,49.167339,49.676636,48.609539,48.779305,41.293667,5556357
2017-12-20,48.908649,49.215843,48.302345,48.827808,41.334721,4525565
2017-12-21,49.143089,49.240097,48.051739,48.981407,41.464752,5337531
2017-12-22,48.860146,49.628132,48.528698,49.603882,41.991703,2310345
2017-12-26,49.50687,51.010509,49.434116,50.889248,43.079815,2509502
2017-12-27,50.743736,50.743736,49.369442,49.514957,41.916416,2485999
2017-12-28,49.555374,49.620049,48.884399,49.329021,41.759018,2094488
2017-12-29,49.48262,49.514957,48.64996,48.682297,41.211544,1915618
2018-01-02,49.514957,49.668552,48.41552,48.41552,40.985699,4472250
2018-01-03,48.520615,48.658043,46.750202,47.016975,39.801777,7074032
2018-01-04,41.988682,42.392887,39.733227,41.228779,34.901836,26176281
2018-01-05,41.333874,41.414715,40.339531,40.711399,34.463852,8549154
2018-01-08,40.49313,40.711399,39.143089,39.320938,33.286777,7079970
2018-01-09,39.417946,39.426029,37.995152,38.302345,32.424488,8150469
2018-01-10,38.302345,39.345188,38.140663,39.070332,33.074623,5817487
2018-01-11,39.110752,40.460793,39.070332,40.428455,34.224327,6622527
2018-01-12,40.266773,41.236862,39.951496,40.153599,33.99165,5113263
2018-01-16,40.420372,40.75182,39.280518,39.603882,33.526295,8515508
2018-01-17,39.628132,40.169765,39.490704,39.571545,33.498928,3144825
2018-01-18,39.611965,39.911076,39.50687,39.628132,33.546822,2590402
2018-01-19,39.76556,41.131771,39.50687,40.978172,34.689686,4214583
2018-01-22,40.937752,42.093777,40.598221,42.069523,35.613552,4123540
2018-01-23,42.158447,43.160873,42.109943,43.007275,36.407402,4370074
2018-01-24,43.015362,43.160873,42.481812,42.999191,36.400555,5505021
2018-01-25,43.039612,43.104286,41.681488,42.320129,35.825706,4233633
2018-01-26,42.683914,42.683914,41.948261,42.255459,35.770966,3882572
2018-01-29,42.150364,42.716248,42.053356,42.126114,35.661465,3027681
2018-01-30,41.713825,41.940178,40.905415,41.220695,34.894993,3918816
2018-01-31,41.471302,41.80275,40.080841,40.49313,34.279083,4077399
2018-02-01,40.048504,40.679062,39.636215,39.894909,33.772659,3373175
2018-02-02,39.490704,39.74131,38.108326,38.407436,32.513458,6454542
2018-02-05,38.019402,39.151173,37.097816,37.178658,31.47324,4578137
2018-02-06,36.224735,38.617622,35.877121,38.15683,32.301304,5557594
2018-02-07,38.795471,40.323364,38.480194,39.70089,33.608418,5673995
2018-02-08,41.010509,41.333874,38.585285,38.617622,32.691383,8733344
2018-02-09,39.151173,39.911076,37.833469,39.329021,33.293617,5897026
2018-02-12,39.668552,39.983833,38.464027,39.369442,33.327827,4622916
2018-02-13,39.20776,39.490704,38.075989,39.240097,33.218334,3744770
2018-02-14,39.029911,40.848827,38.706547,40.315277,34.128517,3745389
2018-02-15,40.509296,40.703316,39.151173,40.032337,33.888996,3226591
2018-02-16,39.830235,40.509296,39.514957,39.547291,33.478382,3530522
2018-02-20,39.304771,39.474537,38.19725,38.326595,32.445019,5052527
2018-02-21,38.472111,39.692806,38.439774,38.738884,32.794041,3991181
2018-02-22,38.302345,39.353275,38.181084,38.900566,33.348457,3228199
2018-02-23,39.094585,39.409863,38.706547,39.377525,33.757339,3163504
2018-02-26,39.458366,39.48262,38.270008,39.24818,33.646458,4529523
2018-02-27,39.773647,40.759903,38.625706,38.94907,33.390049,5708755
2018-02-28,39.377525,40.630558,39.377525,39.878738,34.187023,7943767
2018-03-01,36.192402,36.734035,34.341148,34.349232,29.44672,24250643
2018-03-02,33.848019,35.675018,33.71059,35.04446,30.042715,9776382
2018-03-05,34.939369,36.184319,34.890865,36.054974,30.909006,6374137
2018-03-06,36.09539,36.814877,35.885204,36.467258,31.262455,6109667
2018-03-07,36.184319,36.281326,35.173809,35.545673,30.472395,5779140
2018-03-08,35.569927,35.569927,33.500404,33.64592,28.843784,8940294
2018-03-09,33.783348,34.244141,32.999191,34.1633,29.287323,6448976
2018-03-12,34.22797,34.850445,33.791431,34.074371,29.211088,4833578
2018-03-13,34.20372,34.502831,33.678253,33.872272,29.037832,4520740
2018-03-14,33.993534,34.195637,33.193211,33.387226,28.622013,5214202
2018-03-15,33.516571,33.718674,33.031528,33.17704,28.44183,3991675
2018-03-16,33.274052,33.362976,32.772839,32.789005,28.109177,10507449
2018-03-19,32.748585,32.861763,32.053356,32.263542,27.658712,5429564
2018-03-20,32.093777,32.271626,31.810833,32.150364,27.561686,4146053
2018-03-21,32.271626,32.724335,31.80275,31.86742,27.319124,3972378
2018-03-22,31.592564,31.713823,30.95392,31.010509,26.584517,4924250
