Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,30.68,31.66,30.59,30.950001,26.190517,5889000
2017-12-13,30.9,31.02,30.09,30.33,25.665859,5404100
2017-12-14,30.08,30.84,30.02,30.59,25.885878,7625300
2017-12-15,30.77,30.84,30.1,30.26,25.606627,9025300
2017-12-18,30.43,31.23,30.33,31.030001,26.258215,6014800
2017-12-19,31.200001,32.09,30.860001,31.83,26.935192,6025200
2017-12-20,31.9,32.880001,31.809999,32.740002,27.705252,4432100
2017-12-21,32.73,33.119999,32.290001,32.299999,27.332916,6206700
2017-12-22,31.870001,32.459999,31.49,32.23,27.273678,2640600
2017-12-26,32.23,32.470001,31.9,32.060001,27.12982,2191600
2017-12-27,32.080002,32.349998,31.879999,32.029999,27.104435,2930100
2017-12-28,32.0,32.130001,31.27,31.4,26.571316,2746400
2017-12-29,31.58,31.799999,31.059999,31.639999,26.774408,3050200
2018-01-02,31.709999,32.240002,31.610001,32.23,27.273678,3653300
2018-01-03,32.43,33.650002,32.41,33.529999,28.373764,4954200
2018-01-04,33.779999,34.669998,33.299999,34.630001,29.304607,6213700
2018-01-05,34.700001,34.700001,33.689999,34.439999,29.143827,4034600
2018-01-08,34.419998,34.580002,33.650002,34.509998,29.203054,4656800
2018-01-09,34.52,35.049999,34.09,35.029999,29.643099,3396700
2018-01-10,34.970001,35.650002,34.869999,35.470001,30.01544,3495700
2018-01-11,35.5,36.619999,35.099998,36.5,30.887033,5641500
2018-01-12,36.419998,37.23,36.25,37.200001,31.479399,4082400
2018-01-16,37.080002,37.099998,36.060001,36.279999,30.700872,3872600
2018-01-17,36.360001,36.650002,35.939999,36.290001,30.709328,4074900
2018-01-18,36.07,36.119999,34.639999,34.740002,29.397699,7035400
2018-01-19,34.369999,34.939999,34.200001,34.740002,29.397699,5061800
2018-01-22,35.0,35.759998,34.360001,35.549999,30.083122,6013100
2018-01-23,35.560001,36.040001,34.990002,35.82,30.311617,6187300
2018-01-24,35.959999,36.16,33.16,33.779999,28.585318,10236300
2018-01-25,33.799999,33.880001,32.290001,32.310001,27.341375,6468800
2018-01-26,32.470001,33.009998,32.099998,32.740002,27.705252,3885100
2018-01-29,32.5,32.700001,31.32,31.4,26.571316,4832600
2018-01-30,31.08,31.889999,30.719999,31.860001,26.960581,6497600
2018-01-31,31.870001,32.82,31.65,32.150002,27.205984,7545900
2018-02-01,32.5,33.07,32.049999,32.450001,27.459845,6530500
2018-02-02,31.799999,31.98,30.9,31.049999,26.421698,6506400
2018-02-05,30.780001,31.24,29.209999,29.379999,25.000628,4453400
2018-02-06,28.85,29.59,28.030001,29.219999,24.864473,8368700
2018-02-07,29.43,29.83,28.639999,28.809999,24.515593,3656300
2018-02-08,28.940001,29.059999,27.450001,27.5,23.400866,7637900
2018-02-09,27.67,27.780001,25.68,26.5,22.549919,6341900
2018-02-12,26.879999,27.120001,26.01,26.85,22.847754,9381400
2018-02-13,26.73,26.76,25.9,25.940001,22.073395,4477000
2018-02-14,25.639999,26.629999,25.629999,26.42,22.481846,6140900
2018-02-15,26.5,26.77,25.530001,26.139999,22.243584,4577400
2018-02-16,26.0,27.02,26.0,26.530001,22.575451,4532100
2018-02-20,26.549999,26.98,26.27,26.440001,22.498865,3625400
2018-02-21,26.32,28.23,25.870001,26.76,22.771164,11370000
2018-02-22,27.08,28.57,27.08,28.040001,23.860369,9084300
2018-02-23,28.129999,28.48,27.67,28.030001,23.851858,4811600
2018-02-26,28.219999,28.219999,27.26,27.629999,23.511484,5885800
2018-02-27,27.709999,27.98,26.99,27.0,22.975393,3075400
2018-02-28,27.15,27.27,26.290001,26.4,22.464825,3674300
2018-03-01,26.450001,27.48,26.379999,27.129999,23.086012,8132200
2018-03-02,26.969999,27.57,26.33,27.450001,23.358315,3327600
2018-03-05,27.27,28.200001,27.129999,28.02,23.843348,4058500
2018-03-06,28.129999,28.639999,28.059999,28.549999,24.294348,5565900
2018-03-07,28.25,29.0,28.23,28.92,24.6092,6977400
2018-03-08,29.110001,29.799999,28.83,29.309999,24.941063,7533500
2018-03-09,29.549999,30.32,29.549999,30.24,25.732443,5969600
2018-03-12,30.34,30.950001,30.27,30.790001,26.200459,5750100
2018-03-13,30.870001,31.16,29.9,30.35,25.826044,4864500
2018-03-14,30.43,30.92,30.379999,30.6,26.038776,4037700
2018-03-15,30.66,30.690001,29.35,29.889999,25.434603,5505400
2018-03-16,29.969999,31.049999,29.92,30.92,26.311077,9629400
2018-03-19,30.75,30.84,30.17,30.57,26.01325,4544000
2018-03-20,30.59,30.84,29.84,29.85,25.40057,5588500
2018-03-21,29.91,31.200001,29.75,30.959999,26.345116,5739100
2018-03-22,30.610001,30.690001,29.75,29.780001,25.341009,4531900
2018-03-23,30.030001,30.07,29.049999,29.200001,24.84746,5951400
2018-03-26,29.58,30.059999,28.639999,29.91,25.45163,6501900
2018-03-27,29.780001,30.370001,29.02,29.200001,24.84746,5779800
2018-03-28,29.200001,29.530001,28.02,28.07,23.885893,4761700
2018-03-29,28.07,28.17,27.66,27.77,23.630617,7008300
2018-04-02,28.110001,28.120001,27.18,27.77,23.630617,4745000
2018-04-03,28.35,28.98,27.25,28.92,24.6092,5743900
2018-04-04,28.379999,30.049999,28.059999,29.959999,25.494175,6282900
2018-04-05,30.01,30.6,29.459999,29.709999,25.281437,5216600
2018-04-06,29.299999,29.82,29.25,29.58,25.170815,3700100
2018-04-09,29.82,29.889999,29.200001,29.4,25.017645,3758600
2018-04-10,29.809999,31.219999,29.809999,30.889999,26.285551,4223000
2018-04-11,30.84,31.809999,30.790001,31.219999,26.566359,3364200
2018-04-12,31.389999,32.240002,31.110001,32.130001,27.340715,4044500
2018-04-13,32.240002,32.860001,31.870001,32.57,27.715132,3357200
2018-04-16,32.59,32.93,31.98,32.84,27.944883,3279600
2018-04-17,32.959999,33.259998,32.77,32.810001,27.919348,3252500
2018-04-18,33.02,34.259998,32.919998,33.759998,28.727747,4437800
2018-04-19,33.75,34.360001,33.080002,33.709999,28.685204,4564700
2018-04-20,33.720001,35.68,33.16,33.990002,28.923464,8271300
2018-04-23,34.02,35.16,33.790001,34.950001,29.740364,5526800
2018-04-24,35.080002,35.439999,34.09,34.630001,29.468065,3588500
2018-04-25,34.630001,35.650002,34.360001,35.110001,29.876514,4332600
2018-04-26,35.110001,36.080002,35.0,35.98,30.616833,3711300
2018-04-27,35.619999,36.490002,35.619999,36.0,30.633854,4649300
2018-04-30,35.77,36.490002,35.73,36.110001,30.727459,3522500
2018-05-01,35.810001,36.130001,35.369999,35.639999,30.327517,4065000
2018-05-02,35.389999,36.110001,35.369999,35.599998,30.293476,3925300
2018-05-03,35.490002,35.669998,35.18,35.599998,30.293476,3838300
2018-05-04,35.330002,36.189999,35.299999,36.0,30.633854,3047800
2018-05-07,36.200001,36.84,35.57,35.630001,30.319012,3529000
2018-05-08,35.619999,36.18,35.119999,36.029999,30.659382,3299800
2018-05-09,36.470001,37.759998,36.290001,36.369999,30.948702,5141300
2018-05-10,35.93,36.310001,35.459999,36.18,30.787031,3814700
2018-05-11,36.130001,36.290001,35.689999,35.759998,30.429623,2741800
2018-05-14,35.75,36.41,35.639999,35.68,30.361553,2073400
