Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,88.190002,88.440002,87.419998,88.0,77.800148,912900
2017-12-13,88.089996,88.540001,87.580002,87.769997,77.596802,1523500
2017-12-14,88.050003,88.050003,85.620003,85.790001,75.846298,2319500
2017-12-15,85.599998,86.75,85.190002,86.209999,76.628502,3197500
2017-12-18,86.879997,87.790001,86.360001,87.160004,77.472908,1819600
2017-12-19,86.779999,87.309998,86.419998,86.629997,77.001808,1093900
2017-12-20,87.32,87.660004,86.720001,86.75,77.108475,1250500
2017-12-21,86.980003,87.260002,86.360001,87.129997,77.446236,946700
2017-12-22,87.220001,89.239998,86.889999,88.699997,78.841751,1351600
2017-12-26,88.599998,89.720001,88.459999,88.790001,78.921753,741000
2017-12-27,88.970001,89.800003,88.220001,89.5,79.552834,674500
2017-12-28,89.510002,89.550003,88.370003,89.459999,79.517265,756000
2017-12-29,89.699997,89.889999,89.050003,89.089996,79.188393,637700
2018-01-02,89.739998,90.080002,88.82,89.739998,79.766159,988800
2018-01-03,89.18,89.599998,88.449997,89.489998,79.543953,1214300
2018-01-04,90.339996,90.610001,89.18,89.720001,79.748375,1610700
2018-01-05,90.080002,90.669998,89.230003,89.57,79.615067,902500
2018-01-08,89.389999,91.209999,89.389999,90.779999,80.690552,1083100
2018-01-09,90.910004,92.410004,90.910004,91.459999,81.294991,1932600
2018-01-10,91.379997,92.400002,91.089996,91.440002,81.277214,1043100
2018-01-11,91.690002,94.010002,91.68,93.919998,83.481598,1060300
2018-01-12,94.029999,94.510002,93.220001,94.279999,83.801582,983300
2018-01-16,94.5,94.959999,92.779999,92.970001,82.637169,1601300
2018-01-17,93.269997,93.629997,92.690002,92.980003,82.646057,1104300
2018-01-18,93.129997,94.550003,92.339996,93.68,83.268257,1378400
2018-01-19,94.040001,95.279999,93.589996,95.160004,84.583778,1622300
2018-01-22,94.870003,95.669998,94.089996,95.43,84.823769,972500
2018-01-23,95.230003,95.650002,94.330002,94.900002,84.352661,1021500
2018-01-24,95.120003,96.519997,94.32,96.18,85.49041,1765600
2018-01-25,96.650002,98.660004,96.32,96.529999,85.801514,2246800
2018-01-26,97.339996,100.18,96.580002,96.730003,85.979294,2835700
2018-01-29,96.290001,97.629997,96.07,96.309998,85.605972,2123200
2018-01-30,95.75,96.830002,94.82,94.93,84.379356,3124700
2018-01-31,91.940002,95.889999,90.309998,91.459999,81.294991,7558700
2018-02-01,91.25,92.68,90.18,91.980003,81.757187,2107300
2018-02-02,91.169998,92.260002,90.559998,91.790001,81.588333,2045700
2018-02-05,91.239998,92.120003,90.290001,90.330002,80.290588,2989200
2018-02-06,88.980003,91.379997,88.040001,90.769997,80.681694,2467000
2018-02-07,90.470001,93.650002,90.470001,92.57,82.281624,2069300
2018-02-08,92.669998,93.139999,90.470001,90.470001,80.415024,1641300
2018-02-09,90.839996,91.260002,87.160004,89.349998,79.41951,2591400
2018-02-12,89.900002,91.330002,89.360001,91.18,81.04612,1357100
2018-02-13,90.769997,93.25,90.400002,92.720001,82.414955,1181400
2018-02-14,90.720001,93.220001,90.040001,92.43,82.157173,1482300
2018-02-15,92.540001,92.949997,91.440002,92.949997,82.6194,1382500
2018-02-16,92.879997,93.510002,92.330002,92.620003,82.326088,875700
2018-02-20,92.5,92.959999,89.639999,89.970001,79.970589,1204400
2018-02-21,90.010002,91.57,90.010002,90.18,80.157265,1219900
2018-02-22,90.610001,91.07,89.860001,90.089996,80.077232,982000
2018-02-23,90.32,92.669998,90.150002,92.629997,82.334969,1003400
2018-02-26,93.0,94.669998,92.419998,94.629997,84.112663,854100
2018-02-27,94.809998,95.669998,93.459999,93.470001,83.081596,1147400
2018-02-28,93.720001,94.690002,92.989998,93.360001,82.983833,1573000
2018-03-01,92.709999,93.190002,89.540001,89.699997,80.125397,1863300
2018-03-02,88.540001,89.949997,88.150002,89.510002,79.955696,1418600
2018-03-05,89.209999,89.970001,87.75,89.779999,80.196854,1303700
