,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,97.57,98.160004,97.010002,97.010002,87.669487,1199700
1,2017-12-13,96.959999,97.690002,96.529999,97.139999,87.786972,1126400
2,2017-12-14,97.419998,98.349998,96.959999,97.120003,87.768929,1395500
3,2017-12-15,97.709999,99.669998,97.470001,98.989998,89.458855,1644800
4,2017-12-18,99.389999,99.699997,98.589996,98.730003,89.223915,1023700
5,2017-12-19,98.889999,100.150002,98.239998,99.480003,89.90168,896600
6,2017-12-20,99.769997,99.949997,98.43,99.040001,89.504036,928600
7,2017-12-21,99.5,99.93,98.459999,99.150002,89.603455,1484500
8,2017-12-22,99.290001,99.419998,98.93,99.239998,89.684799,464600
9,2017-12-26,99.230003,100.010002,99.07,99.269997,89.711876,365500
10,2017-12-27,99.339996,99.480003,98.800003,99.199997,89.648628,421600
11,2017-12-28,99.339996,99.349998,98.650002,99.129997,89.585381,842300
12,2017-12-29,99.540001,99.739998,98.489998,98.489998,89.007011,460000
13,2018-01-02,98.769997,99.099998,98.349998,98.900002,89.377518,874800
14,2018-01-03,98.720001,99.440002,98.0,99.25,89.693825,855100
15,2018-01-04,99.589996,99.589996,98.599998,99.080002,89.540207,933100
16,2018-01-05,99.580002,100.080002,99.0,99.910004,90.290276,877100
17,2018-01-08,99.459999,99.839996,98.800003,99.690002,90.499084,554600
18,2018-01-09,99.860001,101.43,99.610001,101.139999,91.815384,1083900
19,2018-01-10,100.580002,101.099998,100.099998,100.370003,91.116386,1198600
20,2018-01-11,100.690002,101.110001,100.669998,101.019997,91.706444,780000
21,2018-01-12,101.400002,101.660004,100.699997,101.629997,92.260223,588100
22,2018-01-16,101.870003,102.25,101.190002,101.220001,91.888023,580400
23,2018-01-17,101.68,101.739998,101.019997,101.489998,92.133118,520400
24,2018-01-18,101.489998,102.089996,101.110001,101.57,92.205734,579400
25,2018-01-19,102.139999,103.589996,102.139999,103.059998,93.558372,876500
26,2018-01-22,103.230003,103.580002,102.910004,103.57,94.021355,589500
27,2018-01-23,103.080002,103.370003,102.139999,103.120003,93.612846,896700
28,2018-01-24,103.739998,105.160004,103.449997,104.620003,94.974556,890900
29,2018-01-25,104.760002,105.220001,103.760002,105.150002,95.455696,1064000
30,2018-01-26,105.599998,106.639999,104.709999,106.620003,96.790161,732500
31,2018-01-29,107.0,108.809998,106.620003,107.879997,97.933998,1221700
32,2018-01-30,106.919998,108.300003,105.830002,107.160004,97.28038,1102700
33,2018-01-31,107.470001,107.470001,105.110001,105.82,96.063904,1446700
34,2018-02-01,105.980003,105.980003,102.0,103.580002,94.030441,1814500
35,2018-02-02,103.300003,104.449997,102.82,103.110001,93.603775,1320900
36,2018-02-05,102.75,104.43,100.099998,100.099998,90.871284,2169900
37,2018-02-06,97.489998,101.709999,95.68,101.129997,91.80632,1662900
38,2018-02-07,100.730003,102.440002,100.519997,100.580002,91.307022,1432000
39,2018-02-08,100.5,100.699997,96.389999,96.419998,87.530556,1518600
40,2018-02-09,97.5,99.129997,95.269997,98.339996,89.273529,1516200
41,2018-02-12,98.709999,99.709999,97.889999,99.07,89.936226,974000
42,2018-02-13,99.870003,101.879997,99.220001,101.389999,92.042336,1306200
43,2018-02-14,100.760002,101.870003,100.389999,101.510002,92.151291,1201400
44,2018-02-15,102.169998,103.139999,101.669998,103.089996,93.585594,941300
45,2018-02-16,102.699997,104.790001,102.349998,104.529999,94.89286,783000
46,2018-02-20,104.0,104.360001,102.019997,102.260002,92.832115,1108300
47,2018-02-21,102.400002,103.5,101.870003,101.910004,92.514404,838900
48,2018-02-22,102.160004,102.639999,100.650002,100.849998,91.552124,1052200
49,2018-02-23,101.0,102.599998,100.260002,102.599998,93.14077,766600
50,2018-02-26,102.739998,104.089996,102.610001,104.089996,94.493385,1018300
51,2018-02-27,104.099998,106.0,103.949997,104.790001,95.128868,1535900
52,2018-02-28,104.989998,105.480003,103.050003,103.050003,93.549309,1648900
53,2018-03-01,103.029999,103.589996,100.059998,100.410004,91.152687,1218000
54,2018-03-02,100.139999,101.860001,100.139999,101.440002,92.087723,850200
55,2018-03-05,101.0,103.080002,100.540001,102.889999,93.404045,472200
56,2018-03-06,103.580002,104.169998,102.769997,104.139999,94.538818,877600
57,2018-03-07,103.970001,105.910004,103.389999,104.360001,94.738518,1416200
58,2018-03-08,104.769997,105.160004,103.650002,104.639999,94.992691,764600
59,2018-03-09,105.209999,107.519997,104.160004,106.989998,97.126045,1027800
60,2018-03-12,106.989998,107.0,105.589996,105.599998,95.864197,1024100
61,2018-03-13,106.150002,106.150002,104.699997,104.989998,95.310432,733700
62,2018-03-14,106.080002,106.239998,104.129997,104.959999,95.283226,873100
63,2018-03-15,104.940002,105.470001,104.449997,104.720001,95.065338,689800
64,2018-03-16,105.059998,105.5,104.050003,104.349998,94.729446,1374100
65,2018-03-19,104.370003,104.82,103.360001,103.860001,94.284607,669700
66,2018-03-20,104.029999,104.580002,103.300003,103.57,94.021355,853800
67,2018-03-21,103.779999,104.309998,103.290001,103.629997,94.075821,704800
68,2018-03-22,103.160004,104.279999,102.239998,102.300003,92.868446,902600
69,2018-03-23,102.209999,102.349998,99.599998,99.779999,90.580788,857700
70,2018-03-26,100.540001,100.610001,99.18,100.419998,91.161781,761000
71,2018-03-27,100.559998,101.239998,99.379997,99.949997,90.735107,829200
72,2018-03-28,100.300003,100.660004,98.830002,99.510002,90.335655,1037900
73,2018-03-29,100.199997,100.809998,99.190002,100.300003,91.052834,733300
74,2018-04-02,100.349998,100.419998,96.589996,97.809998,88.792397,1173700
75,2018-04-03,97.620003,98.949997,97.169998,98.900002,90.243217,1066500
76,2018-04-04,97.910004,99.57,97.269997,99.290001,90.599098,910100
77,2018-04-05,99.699997,100.730003,98.989998,99.830002,91.09182,1020300
78,2018-04-06,99.360001,99.620003,96.739998,97.349998,88.828896,903400
79,2018-04-09,97.980003,99.419998,97.760002,97.959999,89.385506,625200
80,2018-04-10,98.75,99.5,98.199997,98.940002,90.279739,1351700
81,2018-04-11,98.629997,99.629997,98.300003,99.059998,90.389229,789900
82,2018-04-12,99.540001,100.870003,99.18,100.25,91.475052,974700
83,2018-04-13,100.529999,101.050003,99.290001,99.760002,91.027931,1060000
84,2018-04-16,100.610001,101.949997,99.769997,101.230003,92.36927,1068100
85,2018-04-17,101.660004,101.800003,99.580002,100.800003,91.976913,1408300
86,2018-04-18,100.529999,101.57,100.410004,100.790001,91.967789,1495200
87,2018-04-19,100.309998,102.589996,98.970001,101.489998,92.606522,1628600
88,2018-04-20,101.849998,101.870003,97.620003,98.160004,89.568016,1781100
89,2018-04-23,98.400002,99.480003,97.519997,99.449997,90.745079,1664700
90,2018-04-24,99.949997,100.709999,98.970001,99.739998,91.009697,1116200
91,2018-04-25,99.660004,101.239998,99.010002,101.150002,92.296288,957000
92,2018-04-26,101.099998,102.080002,100.360001,101.360001,92.487892,871900
93,2018-04-27,101.419998,103.0,101.419998,102.739998,93.747108,1082900
94,2018-04-30,102.949997,103.089996,101.199997,101.199997,92.341896,712500
95,2018-05-01,102.419998,103.449997,101.43,102.470001,93.50074,917000
96,2018-05-02,102.059998,102.5,101.129997,101.360001,92.487892,864000
97,2018-05-03,100.839996,100.989998,98.93,100.940002,92.104668,963100
98,2018-05-04,100.440002,101.839996,99.169998,101.5,92.615654,762100
99,2018-05-07,101.540001,102.120003,100.389999,101.099998,92.250664,662400
100,2018-05-08,100.900002,101.400002,99.550003,99.870003,91.128326,1313200
101,2018-05-09,99.889999,100.769997,99.260002,100.639999,91.830925,612400
102,2018-05-10,100.879997,102.620003,100.709999,101.690002,92.789017,673100
103,2018-05-11,101.660004,102.769997,101.199997,102.5,93.528122,502400
104,2018-05-14,102.709999,103.25,102.43,102.93,93.920471,595600
105,2018-05-15,102.129997,102.620003,101.739998,102.129997,93.190498,475200
106,2018-05-16,102.389999,102.760002,101.709999,101.800003,92.889397,854200
107,2018-05-17,101.839996,102.129997,101.330002,101.709999,92.807266,705800
108,2018-05-18,101.849998,102.519997,100.730003,102.150002,93.208755,1978100
109,2018-05-21,102.669998,103.120003,102.330002,102.599998,93.619362,498300
110,2018-05-22,102.5,102.709999,101.699997,101.839996,92.92588,427700
111,2018-05-23,101.510002,101.82,100.650002,101.220001,92.360161,435400
112,2018-05-24,101.089996,101.440002,100.379997,100.889999,92.059044,538100
113,2018-05-25,103.599998,107.839996,103.0,105.809998,96.548386,2772200
