,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,64.269997,64.57,63.990002,64.349998,60.621853,902300
1,2017-12-13,64.25,65.050003,63.91,64.800003,61.045788,1212300
2,2017-12-14,64.690002,65.0,63.709999,64.059998,60.348648,1331600
3,2017-12-15,64.269997,64.629997,63.779999,64.440002,60.706638,1709700
4,2017-12-18,64.660004,65.480003,64.620003,64.959999,61.196518,965100
5,2017-12-19,64.82,65.010002,64.400002,64.669998,60.923306,913200
6,2017-12-20,64.599998,65.190002,64.209999,64.480003,60.744331,966800
7,2017-12-21,64.760002,64.790001,63.75,64.150002,60.433441,662700
8,2017-12-22,64.279999,64.790001,63.73,64.769997,61.017517,620200
9,2017-12-26,64.830002,65.32,64.639999,64.860001,61.102314,347700
10,2017-12-27,65.110001,65.379997,64.739998,65.209999,61.432037,516500
11,2017-12-28,65.440002,65.440002,64.739998,65.360001,61.573345,695700
12,2017-12-29,65.540001,65.559998,64.68,64.690002,60.942158,609800
13,2018-01-02,66.25,66.25,64.589996,64.980003,61.215366,1104900
14,2018-01-03,64.970001,65.449997,64.660004,65.07,61.300133,845800
15,2018-01-04,65.309998,65.639999,64.919998,65.0,61.234196,1216600
16,2018-01-05,65.209999,65.529999,64.790001,65.089996,61.318985,948800
17,2018-01-08,65.129997,65.760002,65.129997,65.480003,61.686386,1084900
18,2018-01-09,65.669998,66.300003,65.5,66.050003,62.223362,1080800
19,2018-01-10,66.029999,66.269997,65.339996,65.440002,61.648708,1014100
20,2018-01-11,65.660004,66.43,65.5,66.389999,62.543659,1123200
21,2018-01-12,66.400002,66.830002,66.010002,66.730003,62.863976,585000
22,2018-01-16,66.760002,66.760002,65.07,65.470001,61.676971,1142700
23,2018-01-17,65.599998,66.349998,65.190002,66.07,62.242214,915500
24,2018-01-18,66.150002,66.379997,65.730003,66.089996,62.26104,691900
25,2018-01-19,66.400002,66.550003,66.0,66.400002,62.553082,928500
26,2018-01-22,66.220001,66.480003,65.760002,66.440002,62.590775,501600
27,2018-01-23,66.480003,67.190002,65.900002,66.889999,63.014706,1160600
28,2018-01-24,67.029999,67.540001,66.269997,67.050003,63.165432,1165100
29,2018-01-25,67.059998,67.239998,65.809998,66.709999,62.845135,726100
30,2018-01-26,66.660004,67.18,60.889999,67.050003,63.165432,683100
31,2018-01-29,66.900002,67.330002,66.139999,66.269997,62.430618,621200
32,2018-01-30,66.050003,66.919998,64.959999,64.959999,61.196518,913200
33,2018-01-31,64.989998,65.699997,64.489998,64.949997,61.187088,1607800
34,2018-02-01,64.480003,65.07,64.080002,64.57,60.829105,1321700
35,2018-02-02,64.330002,64.57,63.330002,63.610001,59.924725,965600
36,2018-02-05,63.459999,64.010002,61.75,61.779999,58.200745,1804600
37,2018-02-06,60.73,62.41,60.169998,61.869999,58.285534,1799800
38,2018-02-07,61.639999,62.919998,61.380001,62.130001,58.530472,1621400
39,2018-02-08,62.25,62.439999,60.34,60.360001,56.863022,1404200
40,2018-02-09,60.700001,61.099998,59.099998,60.619999,57.107956,1370100
41,2018-02-12,60.759998,62.400002,60.700001,62.369999,58.756565,1817800
42,2018-02-13,62.099998,63.580002,61.73,63.119999,59.463108,1384100
43,2018-02-14,62.759998,63.759998,62.32,63.669998,59.981243,1267000
44,2018-02-15,64.0,64.360001,63.119999,64.190002,60.471127,1226500
45,2018-02-16,63.919998,64.419998,63.470001,64.120003,60.405174,2954200
46,2018-02-20,64.019997,65.349998,60.869999,61.93,58.342064,2975000
47,2018-02-21,62.099998,64.940002,62.099998,63.990002,60.282711,2144300
48,2018-02-22,64.199997,64.870003,64.129997,64.339996,60.612431,1361600
49,2018-02-23,64.480003,65.699997,64.480003,65.519997,61.724064,1340500
50,2018-02-26,65.709999,67.169998,65.510002,66.730003,62.863976,1382100
51,2018-02-27,66.870003,67.629997,65.510002,65.519997,61.724064,1249500
52,2018-02-28,65.879997,66.300003,64.940002,64.959999,61.196518,1137600
53,2018-03-01,64.889999,65.239998,62.689999,63.009998,59.359486,1746500
54,2018-03-02,62.400002,63.459999,62.09,63.279999,59.613842,1358300
55,2018-03-05,63.169998,63.560001,62.009998,63.490002,59.81168,2277700
56,2018-03-06,63.639999,63.919998,62.900002,63.720001,60.028358,990900
57,2018-03-07,63.110001,63.220001,62.57,63.040001,59.387749,1596200
58,2018-03-08,62.950001,63.77,62.700001,63.509998,59.830521,1658400
59,2018-03-09,63.740002,64.879997,63.509998,64.739998,60.989254,1101700
60,2018-03-12,64.949997,65.0,64.599998,64.68,60.932739,1224700
61,2018-03-13,65.0,65.449997,64.82,65.059998,61.290718,991700
62,2018-03-14,65.349998,65.370003,63.84,63.900002,60.197926,1360900
63,2018-03-15,63.970001,64.300003,63.68,63.700001,60.009514,849600
64,2018-03-16,63.73,64.260002,63.360001,64.080002,60.367496,1643800
65,2018-03-19,63.990002,64.370003,63.310001,64.129997,60.414597,977500
66,2018-03-20,64.410004,64.690002,64.089996,64.220001,60.49939,688100
67,2018-03-21,64.349998,64.93,64.010002,64.059998,60.348648,885100
68,2018-03-22,63.540001,64.019997,62.360001,62.470001,58.850773,1512900
69,2018-03-23,62.650002,64.050003,60.799999,60.880001,57.35289,1425700
70,2018-03-26,62.0,62.720001,61.299999,62.330002,58.71888,1224100
71,2018-03-27,62.549999,63.040001,61.330002,61.630001,58.059437,1005400
72,2018-03-28,61.779999,62.509998,61.32,61.619999,58.050022,715000
73,2018-03-29,61.93,64.040001,61.700001,63.299999,59.632687,1290300
74,2018-04-02,63.169998,63.5,61.450001,62.25,58.643524,968800
75,2018-04-03,62.619999,64.080002,62.130001,64.029999,60.320396,1640600
76,2018-04-04,63.029999,63.720001,60.849998,63.610001,59.924725,1717300
77,2018-04-05,64.099998,64.440002,62.720001,63.459999,59.783417,1631100
78,2018-04-06,63.18,63.389999,60.98,61.59,58.021755,918000
79,2018-04-09,61.810001,62.419998,61.240002,61.509998,57.946392,990100
80,2018-04-10,62.52,63.349998,62.259998,63.16,59.500801,1296500
81,2018-04-11,62.57,63.360001,62.240002,63.150002,59.491383,707000
82,2018-04-12,63.400002,64.339996,62.900002,63.98,60.273289,936000
83,2018-04-13,64.410004,64.790001,63.240002,63.720001,60.028358,1465700
84,2018-04-16,64.129997,65.0,64.129997,64.540001,60.80085,1379200
85,2018-04-17,65.0,65.080002,63.689999,64.800003,61.045788,952700
86,2018-04-18,65.370003,65.690002,64.709999,65.470001,61.676971,811300
87,2018-04-19,65.300003,65.43,64.239998,64.370003,60.640701,1112100
88,2018-04-20,64.57,64.779999,63.630001,64.199997,60.480545,1055300
89,2018-04-23,64.309998,64.519997,63.970001,64.300003,60.574757,730900
90,2018-04-24,64.769997,64.919998,62.98,63.700001,60.009514,842100
91,2018-04-25,63.639999,64.519997,63.32,64.25,60.527645,782400
92,2018-04-26,64.349998,64.43,63.169998,63.93,60.226189,701300
93,2018-04-27,63.959999,64.589996,63.509998,64.540001,60.80085,898100
94,2018-04-30,64.720001,64.989998,63.759998,63.860001,60.16024,1101100
95,2018-05-01,63.939999,64.379997,63.259998,64.07,60.358078,729000
96,2018-05-02,63.810001,64.010002,62.360001,63.0,59.350067,1363700
97,2018-05-03,62.630001,63.5,61.689999,62.990002,59.340649,801800
98,2018-05-04,62.619999,63.75,62.09,63.540001,59.85878,794500
99,2018-05-07,63.599998,64.269997,63.439999,63.970001,60.263874,1521300
100,2018-05-08,66.0,70.330002,65.0,69.580002,65.548843,4637100
101,2018-05-09,67.019997,70.790001,65.93,70.540001,66.453232,2185000
102,2018-05-10,70.57,71.800003,69.57,71.68,67.527191,1392100
103,2018-05-11,71.339996,73.040001,71.220001,72.349998,68.158363,1519900
104,2018-05-14,72.349998,73.050003,72.040001,72.220001,68.035904,1298400
105,2018-05-15,71.75,72.32,71.5,72.029999,67.856918,1315800
106,2018-05-16,72.099998,72.550003,71.529999,71.889999,67.725021,1051700
107,2018-05-17,71.919998,72.699997,71.830002,71.940002,67.772125,923000
108,2018-05-18,71.720001,72.449997,71.540001,72.190002,68.007645,867200
109,2018-05-21,72.25,73.730003,71.620003,73.309998,69.062752,1239400
110,2018-05-22,73.230003,73.889999,73.080002,73.309998,69.062752,1172200
111,2018-05-23,73.209999,73.669998,72.550003,73.559998,69.298271,1083400
112,2018-05-24,73.349998,74.019997,72.940002,73.790001,69.514938,1016800
113,2018-05-25,73.690002,74.220001,73.68,73.809998,69.533798,495300
114,2018-05-29,73.349998,73.839996,72.800003,73.370003,69.119278,1003300
115,2018-05-30,73.470001,75.580002,73.309998,75.379997,71.012825,1735700
116,2018-05-31,74.68,75.660004,74.120003,74.480003,70.586357,2139100
117,2018-06-01,75.029999,75.900002,74.889999,75.620003,71.666763,1883800
118,2018-06-04,75.650002,76.290001,75.040001,75.110001,71.183418,1649200
119,2018-06-05,75.089996,76.019997,74.889999,75.809998,71.846825,1309000
120,2018-06-06,76.0,76.889999,75.650002,76.800003,72.785065,1695900
121,2018-06-07,76.790001,76.900002,74.330002,76.089996,72.112183,1171600
122,2018-06-08,75.870003,76.589996,75.669998,76.519997,72.519707,896600
123,2018-06-11,75.940002,77.620003,75.940002,77.040001,73.012512,1630000
124,2018-06-12,76.949997,78.160004,76.949997,78.029999,73.95076,1109000
125,2018-06-13,78.029999,78.120003,76.879997,77.360001,73.315788,2037300
126,2018-06-14,77.790001,78.059998,76.730003,76.769997,72.75663,1226900
127,2018-06-15,76.43,77.129997,76.160004,76.889999,72.870361,1596300
128,2018-06-18,76.580002,76.93,76.050003,76.75,72.737694,1307300
129,2018-06-19,75.839996,75.839996,73.760002,74.629997,70.728508,2327300
130,2018-06-20,74.650002,75.43,74.279999,75.040001,71.117081,1336100
131,2018-06-21,75.110001,75.559998,74.260002,75.169998,71.240288,887100
132,2018-06-22,75.650002,75.989998,73.910004,74.019997,70.150398,2059400
133,2018-06-25,73.440002,73.440002,71.919998,72.550003,68.757256,1315300
134,2018-06-26,72.870003,73.050003,72.07,72.639999,68.842545,1262400
135,2018-06-27,72.779999,74.010002,72.129997,72.139999,68.368683,1470300
136,2018-06-28,71.93,73.410004,71.43,72.989998,69.17424,1236100
137,2018-06-29,73.089996,74.040001,72.849998,73.099998,69.278481,1260600
138,2018-07-02,72.629997,73.669998,72.629997,73.370003,69.53437,1017800
139,2018-07-03,73.830002,73.830002,72.139999,72.25,68.472931,718800
140,2018-07-05,72.410004,72.889999,71.5,72.32,68.539268,1781600
141,2018-07-06,72.139999,72.300003,71.080002,71.849998,68.093834,1562900
142,2018-07-09,72.660004,73.57,72.279999,73.300003,69.468048,1694800
143,2018-07-10,73.449997,73.449997,72.199997,72.980003,69.164764,1153700
144,2018-07-11,71.459999,73.110001,71.459999,72.519997,68.728813,1059500
145,2018-07-12,72.75,73.239998,72.25,72.970001,69.155296,825800
146,2018-07-13,73.040001,73.790001,72.589996,73.230003,69.401703,943100
147,2018-07-16,73.519997,73.919998,72.019997,72.330002,68.548759,1110900
148,2018-07-17,72.209999,72.599998,71.720001,72.25,68.472931,1057400
149,2018-07-18,72.540001,73.389999,72.370003,73.18,69.354301,955500
150,2018-07-19,72.779999,73.279999,72.419998,73.059998,69.240585,635900
151,2018-07-20,72.989998,73.639999,72.540001,73.419998,69.581772,1033400
152,2018-07-23,73.650002,74.120003,73.150002,73.849998,69.989281,1090800
153,2018-07-24,74.459999,75.25,73.309998,73.889999,70.027184,1465500
154,2018-07-25,73.959999,76.160004,73.889999,76.050003,72.07428,2092200
155,2018-07-26,75.529999,76.190002,74.660004,75.620003,71.666763,1655800
156,2018-07-27,75.629997,75.82,74.769997,75.300003,71.363487,622000
157,2018-07-30,75.580002,76.059998,74.059998,74.709999,70.804329,747500
