,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,12.56,12.64,12.51,12.6,10.444,54370600
1,2017-12-13,12.61,12.73,12.59,12.63,10.468865,31859000
2,2017-12-14,12.65,12.69,12.41,12.46,10.327956,37074000
3,2017-12-15,12.51,12.66,12.5,12.58,10.427422,48655500
4,2017-12-18,12.66,12.75,12.61,12.66,10.493731,25022700
5,2017-12-19,12.71,12.78,12.66,12.69,10.518599,23056900
6,2017-12-20,12.72,12.75,12.65,12.72,10.543466,18989400
7,2017-12-21,12.74,12.77,12.63,12.63,10.468865,21004700
8,2017-12-22,12.66,12.66,12.56,12.58,10.427422,17876200
9,2017-12-26,12.57,12.65,12.55,12.6,10.444,11664600
10,2017-12-27,12.57,12.58,12.45,12.5,10.36111,17005600
11,2017-12-28,12.48,12.58,12.47,12.58,10.427422,14793500
12,2017-12-29,12.58,12.61,12.49,12.49,10.35282,18362500
13,2018-01-02,12.52,12.66,12.5,12.66,10.493731,20773300
14,2018-01-03,12.68,12.8,12.67,12.76,10.576622,29765600
15,2018-01-04,12.78,13.04,12.77,12.98,10.758975,37478200
16,2018-01-05,13.06,13.22,13.04,13.2,10.941331,46121900
17,2018-01-08,13.21,13.22,13.11,13.15,10.899886,33828300
18,2018-01-09,13.18,13.22,13.08,13.08,10.841866,27924100
19,2018-01-10,13.06,13.14,12.96,13.03,10.800421,56517100
20,2018-01-11,13.02,13.2,13.0,13.16,10.908176,28342300
21,2018-01-12,13.1,13.29,13.1,13.23,10.966198,56979200
22,2018-01-16,13.31,13.48,13.01,13.1,10.858443,53961400
23,2018-01-17,12.58,12.58,12.1,12.18,10.095866,132412500
24,2018-01-18,12.18,12.2,12.02,12.07,10.004688,66541700
25,2018-01-19,12.12,12.12,11.91,12.0,9.946667,51303700
26,2018-01-22,12.02,12.08,11.9,12.02,9.963245,52851900
27,2018-01-23,12.03,12.03,11.9,11.96,9.91351,51831000
28,2018-01-24,12.0,12.09,11.92,12.05,9.98811,63300500
29,2018-01-25,11.93,11.93,11.44,11.57,9.590242,114886800
30,2018-01-26,11.59,11.7,11.5,11.65,9.656555,52496000
31,2018-01-29,11.42,11.47,11.11,11.12,9.444229,55114000
32,2018-01-30,11.09,11.23,11.05,11.06,9.393271,52068200
33,2018-01-31,11.09,11.12,10.9,10.97,9.316834,57644600
34,2018-02-01,10.95,11.0,10.85,10.92,9.27437,41352200
35,2018-02-02,10.88,10.88,10.62,10.71,9.096016,72312900
36,2018-02-05,10.78,10.8,10.24,10.24,8.696844,96757000
37,2018-02-06,10.27,10.79,10.19,10.76,9.138481,139938100
38,2018-02-07,10.75,11.04,10.7,10.76,9.138481,68041800
39,2018-02-08,10.79,10.86,10.42,10.43,8.858211,73990700
40,2018-02-09,10.57,10.64,10.24,10.53,8.943142,72103600
41,2018-02-12,10.67,10.82,10.54,10.7,9.087522,49068900
42,2018-02-13,10.63,10.69,10.53,10.59,8.994099,36884500
43,2018-02-14,10.55,10.75,10.5,10.74,9.121494,27844300
44,2018-02-15,10.8,10.8,10.64,10.76,9.138481,28208300
45,2018-02-16,10.7,10.82,10.52,10.61,9.011085,41041800
46,2018-02-20,10.58,10.67,10.55,10.63,9.028071,27617900
47,2018-02-21,10.65,10.75,10.59,10.6,9.002593,36037700
48,2018-02-22,10.6,10.73,10.56,10.63,9.028071,25409600
