,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,24.440001,24.67,24.35,24.65,24.121065,2120400
1,2017-12-13,24.65,25.540001,24.610001,25.18,24.639688,3949500
2,2017-12-14,25.219999,25.34,24.85,24.99,24.453768,3069200
3,2017-12-15,25.17,25.4,25.08,25.299999,24.757114,6665300
4,2017-12-18,25.469999,25.719999,25.459999,25.610001,25.060465,2872800
5,2017-12-19,25.67,25.67,25.15,25.629999,25.080032,2580400
6,2017-12-20,25.75,26.23,25.700001,26.129999,25.569304,3205900
7,2017-12-21,26.290001,26.82,26.08,26.799999,26.224926,3582500
8,2017-12-22,26.700001,26.959999,26.42,26.83,26.254284,2748200
9,2017-12-26,26.799999,27.24,26.709999,27.07,26.489136,1988100
10,2017-12-27,27.07,27.370001,26.959999,27.34,26.753342,1873700
11,2017-12-28,27.299999,27.65,27.200001,27.620001,27.027336,2425000
12,2017-12-29,27.620001,27.67,27.23,27.25,26.665272,2690400
13,2018-01-02,27.309999,27.77,27.299999,27.76,27.164328,2996300
14,2018-01-03,27.610001,28.0,27.0,27.98,27.37961,5596300
15,2018-01-04,28.200001,29.450001,28.01,29.32,28.690855,6599200
16,2018-01-05,29.25,29.629999,29.1,29.610001,28.97463,3700700
17,2018-01-08,29.68,29.84,29.42,29.76,29.121414,4185900
18,2018-01-09,29.799999,29.99,29.450001,29.809999,29.170341,2393500
19,2018-01-10,29.57,29.93,29.43,29.790001,29.15077,2073400
20,2018-01-11,29.91,30.440001,29.860001,30.4,29.747681,3113200
21,2018-01-12,30.5,30.9,30.360001,30.84,30.17824,3440200
22,2018-01-16,30.92,31.17,30.09,30.41,29.757463,4977500
23,2018-01-17,30.41,30.690001,30.32,30.540001,29.884676,3226000
24,2018-01-18,30.23,30.58,29.959999,30.35,29.698751,3307400
25,2018-01-19,30.299999,30.450001,29.82,30.219999,29.571545,4542200
26,2018-01-22,30.219999,30.43,30.040001,30.43,29.777039,3581300
27,2018-01-23,30.43,30.43,30.110001,30.299999,29.64982,2262500
28,2018-01-24,30.34,30.67,30.25,30.48,29.825962,2536200
29,2018-01-25,30.65,30.799999,30.15,30.469999,29.816175,1980600
30,2018-01-26,30.559999,30.860001,30.33,30.84,30.17824,2288000
31,2018-01-29,30.83,30.91,30.17,30.26,29.610691,2462700
32,2018-01-30,30.02,30.18,29.379999,29.92,29.277977,4431300
33,2018-01-31,30.0,30.51,29.77,30.059999,29.414976,3403200
34,2018-02-01,29.75,30.389999,29.719999,30.110001,29.522831,2808400
