Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,38.360001,39.490002,37.59,37.799999,26.640574,8606900
2017-12-13,37.950001,38.419998,37.75,38.34,27.021151,7927000
2017-12-14,37.93,38.849998,37.91,37.959999,27.170033,4013300
2017-12-15,38.07,38.16,37.5,37.68,26.969618,6050800
2017-12-18,37.82,38.389999,37.82,37.939999,27.15571,2340800
2017-12-19,37.970001,38.34,37.77,37.950001,27.16287,1531600
2017-12-20,37.93,38.080002,37.169998,37.18,26.61174,2254400
2017-12-21,37.279999,37.419998,36.93,37.150002,26.590271,1488800
2017-12-22,37.209999,37.720001,37.200001,37.66,26.955303,2339900
2017-12-26,37.73,38.0,37.5,37.66,26.955303,1148400
2017-12-27,37.77,37.950001,37.32,37.450001,26.804993,1376300
2017-12-28,37.459999,38.040001,37.450001,37.98,27.184343,1186000
2017-12-29,38.029999,38.130001,37.700001,37.73,27.005404,1084900
2018-01-02,37.799999,37.939999,37.459999,37.610001,26.919519,1307700
2018-01-03,37.59,37.689999,37.009998,37.099998,26.554478,1869700
2018-01-04,37.130001,37.279999,36.889999,36.919998,26.42564,1827800
2018-01-05,37.0,37.16,36.560001,36.799999,26.339756,1893200
2018-01-08,36.709999,37.110001,36.43,37.040001,26.511539,1442600
2018-01-09,37.080002,37.279999,36.82,36.830002,26.361229,1122500
2018-01-10,36.75,36.779999,36.240002,36.549999,26.160816,1358700
2018-01-11,36.5,36.68,36.16,36.580002,26.182287,1949200
2018-01-12,36.580002,36.599998,36.049999,36.220001,25.924612,1665100
2018-01-16,36.360001,37.110001,36.200001,36.23,25.931774,1346000
2018-01-17,36.400002,36.400002,36.049999,36.330002,26.003351,1882100
2018-01-18,36.200001,36.220001,35.27,35.299999,25.266123,2975500
2018-01-19,35.369999,35.849998,35.310001,35.490002,25.402113,1750100
2018-01-22,35.599998,36.240002,35.59,35.810001,25.631159,1891500
2018-01-23,36.02,36.450001,35.82,36.349998,26.017664,1691400
2018-01-24,36.34,36.400002,35.650002,35.77,25.60253,1685700
2018-01-25,35.77,35.970001,35.700001,35.82,25.638321,1015900
2018-01-26,35.990002,35.990002,35.330002,35.759998,25.595373,1788800
2018-01-29,35.759998,35.77,34.009998,34.080002,24.392902,3653500
2018-01-30,34.099998,34.310001,33.57,33.93,24.285543,2807600
2018-01-31,34.009998,35.040001,34.009998,35.029999,25.072868,3380100
2018-02-01,34.939999,35.110001,34.540001,34.619999,24.779413,2055300
2018-02-02,34.360001,34.450001,33.419998,33.66,24.092287,2364200
2018-02-05,33.529999,34.27,32.73,32.73,23.426636,2002700
2018-02-06,32.209999,33.790001,32.049999,33.110001,23.698622,3135100
2018-02-07,32.950001,33.93,32.709999,33.18,23.748728,2566700
2018-02-08,33.200001,33.279999,32.060001,32.07,22.954237,2103900
2018-02-09,32.330002,33.389999,31.91,33.099998,23.69146,2365000
2018-02-12,33.220001,33.48,32.700001,33.299999,23.834612,2607800
2018-02-13,33.25,33.790001,32.939999,33.540001,24.006395,1686900
2018-02-14,33.25,33.349998,32.73,33.189999,23.755882,1441200
2018-02-15,33.43,33.740002,33.060001,33.720001,24.135233,2561500
2018-02-16,34.869999,35.25,33.130001,33.169998,23.741568,3047900
2018-02-20,32.75,33.150002,31.889999,32.119999,22.990023,3840300
2018-02-21,31.889999,32.349998,31.450001,31.469999,22.524782,2912700
2018-02-22,31.700001,32.029999,31.34,31.58,22.603519,2293400
2018-02-23,31.780001,32.040001,31.76,31.959999,22.875502,1550600
2018-02-26,32.080002,32.299999,31.809999,31.950001,22.868351,1854100
2018-02-27,32.029999,32.259998,31.02,31.049999,22.224169,2316600
2018-02-28,31.209999,31.559999,30.950001,31.459999,22.517624,2543300
2018-03-01,31.360001,32.09,31.15,31.629999,22.639301,2161600
2018-03-02,31.48,31.59,31.1,31.549999,22.582045,2046600
2018-03-05,31.389999,32.23,31.26,32.099998,22.975706,1724600
2018-03-06,32.110001,32.43,31.879999,32.389999,23.183279,1310700
2018-03-07,32.240002,32.75,32.139999,32.709999,23.412317,2005000
2018-03-08,32.799999,32.889999,32.52,32.709999,23.412317,1612400
2018-03-09,32.759998,33.25,32.549999,33.25,23.798828,2629400
2018-03-12,33.290001,33.380001,32.860001,33.009998,23.627045,2106300
2018-03-13,33.139999,33.369999,33.119999,33.220001,23.777357,1623100
2018-03-14,32.709999,32.990002,32.549999,32.98,24.030924,1999100
2018-03-15,32.98,33.09,32.619999,32.889999,23.965347,1758100
2018-03-16,32.439999,32.59,31.870001,32.52,23.695749,5377900
2018-03-19,32.23,32.23,31.33,31.459999,22.923376,1926800
2018-03-20,31.469999,31.74,31.370001,31.73,23.12011,1367900
2018-03-21,31.719999,31.969999,31.389999,31.610001,23.032675,1446800
2018-03-22,31.459999,32.029999,31.42,31.639999,23.054531,2231900
2018-03-23,31.67,31.870001,30.780001,30.889999,22.508047,1836700
2018-03-26,31.120001,31.35,30.950001,31.27,22.784931,1249100
2018-03-27,31.530001,32.360001,31.25,31.9,23.243984,2202700
2018-03-28,32.040001,33.02,32.029999,32.709999,23.83419,1776500
2018-03-29,32.799999,33.09,32.700001,32.860001,23.943487,1901700
2018-04-02,32.869999,32.950001,32.330002,32.369999,23.586447,2050600
2018-04-03,32.43,32.959999,32.150002,32.82,23.914337,1569900
2018-04-04,32.540001,33.470001,32.5,33.299999,24.264093,1390400
2018-04-05,33.34,33.830002,33.119999,33.77,24.606564,1680200
2018-04-06,33.77,34.310001,33.470001,33.529999,24.431681,2219900
2018-04-09,33.59,33.830002,33.209999,33.32,24.278666,1183800
2018-04-10,33.580002,33.709999,33.41,33.459999,24.380676,1460900
2018-04-11,33.380001,33.73,33.16,33.540001,24.438971,797700
2018-04-12,33.599998,33.599998,32.849998,33.16,24.162085,1554500
2018-04-13,33.349998,33.380001,32.950001,33.349998,24.300526,784300
