Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,26.77,26.969999,26.280001,26.33,23.758175,7762100
2017-12-13,26.360001,26.889999,26.040001,26.690001,24.083017,10837900
2017-12-14,26.700001,26.799999,25.889999,25.9,23.370176,12217300
2017-12-15,25.92,26.52,25.91,26.450001,23.866457,12910900
2017-12-18,26.559999,27.09,26.51,27.0,24.362738,11990600
2017-12-19,27.049999,27.120001,26.83,26.950001,24.317619,8427200
2017-12-20,27.17,27.42,27.01,27.32,24.651476,13342200
2017-12-21,27.35,27.700001,27.139999,27.549999,24.859013,8778600
2017-12-22,27.66,28.280001,27.620001,28.25,25.490643,10935000
2017-12-26,28.26,28.49,27.59,27.799999,25.084587,8677100
2017-12-27,27.77,27.950001,27.690001,27.709999,25.003382,4914100
2017-12-28,27.73,27.809999,27.440001,27.65,24.949245,4381300
2017-12-29,27.700001,27.790001,27.450001,27.450001,24.768778,5023400
2018-01-02,27.540001,28.309999,27.52,28.299999,25.535755,11693300
2018-01-03,28.190001,28.469999,27.690001,27.85,25.129713,10788400
2018-01-04,28.02,28.059999,26.540001,26.98,24.34469,12357600
2018-01-05,27.290001,27.57,26.889999,27.32,24.651476,9629900
2018-01-08,27.379999,28.120001,27.32,27.969999,25.237989,12321700
2018-01-09,28.0,28.16,27.76,27.77,25.057524,8186200
2018-01-10,27.450001,28.049999,26.879999,27.99,25.256035,7565500
2018-01-11,28.0,28.110001,27.559999,28.08,25.337244,9372300
2018-01-12,28.15,28.77,28.01,28.139999,25.391384,10081700
2018-01-16,28.35,28.469999,28.0,28.25,25.490643,8208800
2018-01-17,28.42,28.9,28.360001,28.67,25.869616,7571200
2018-01-18,28.76,29.360001,28.700001,29.059999,26.221521,10559600
2018-01-19,29.16,29.82,28.92,29.719999,26.817051,9521500
2018-01-22,29.65,29.719999,29.16,29.629999,26.735844,9716100
2018-01-23,29.620001,29.629999,29.02,29.309999,26.447102,10590200
2018-01-24,29.450001,29.870001,29.15,29.48,26.6005,12846500
2018-01-25,30.35,30.459999,29.709999,30.26,27.304306,16529200
2018-01-26,30.26,30.889999,30.049999,30.879999,27.86375,11681000
2018-01-29,30.639999,31.41,30.540001,31.34,28.278822,13224300
2018-01-30,31.0,31.450001,30.73,30.83,27.818638,11304000
2018-01-31,30.84,31.09,30.209999,30.360001,27.394547,11507800
2018-02-01,30.209999,30.700001,30.08,30.209999,27.259193,5467000
2018-02-02,30.01,30.129999,29.309999,29.34,26.474169,7695900
2018-02-05,28.98,29.540001,28.25,28.469999,25.689154,14262000
2018-02-06,27.92,29.219999,27.18,29.07,26.230545,12043300
2018-02-07,29.049999,29.459999,28.84,28.9,26.077148,7550500
2018-02-08,28.799999,28.9,27.52,27.57,24.87706,12340300
2018-02-09,27.82,28.040001,26.629999,27.66,24.958265,10525000
2018-02-12,27.870001,27.879999,27.02,27.200001,24.543201,10827100
2018-02-13,27.17,28.209999,27.139999,28.120001,25.373339,7825300
2018-02-14,27.85,28.67,27.77,28.4,25.740414,8715600
2018-02-15,28.620001,28.93,28.33,28.790001,26.093889,6133500
2018-02-16,28.639999,29.08,28.57,28.690001,26.003258,5985800
2018-02-20,27.809999,28.1,27.219999,27.49,24.915627,12438700
2018-02-21,27.67,28.030001,27.280001,27.41,24.843121,9845900
2018-02-22,27.639999,27.66,26.91,27.219999,24.670914,10634800
