,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,61.810001,62.529999,61.650002,62.169998,59.17157,7358000
1,2017-12-13,62.220001,64.459999,62.02,64.300003,61.198856,16072600
2,2017-12-14,64.43,64.849998,64.050003,64.529999,61.417759,13055100
3,2017-12-15,64.889999,65.07,64.150002,64.790001,61.665215,15659300
4,2017-12-18,64.93,65.080002,64.389999,64.809998,61.684242,12652000
5,2017-12-19,65.150002,65.190002,64.18,64.239998,61.141739,8212500
6,2017-12-20,64.389999,64.5,63.580002,63.59,60.523087,12468600
7,2017-12-21,64.290001,64.980003,63.299999,64.769997,61.646175,14352300
8,2017-12-22,61.200001,63.540001,60.130001,63.290001,60.23756,20414200
9,2017-12-26,62.900002,63.889999,62.810001,63.650002,60.580196,4563500
10,2017-12-27,63.560001,63.599998,62.77,62.950001,59.913956,8959700
11,2017-12-28,63.0,63.32,62.849998,62.950001,59.913956,3987200
12,2017-12-29,63.209999,63.369999,62.549999,62.549999,59.533253,5222100
13,2018-01-02,62.849998,63.490002,62.849998,63.490002,60.427914,6511000
14,2018-01-03,63.48,63.66,62.759998,63.48,60.418392,6091100
15,2018-01-04,63.400002,63.549999,62.549999,63.439999,60.380322,5780500
16,2018-01-05,63.700001,64.300003,63.470001,63.98,60.894279,11632300
17,2018-01-08,64.150002,64.709999,63.98,64.550003,61.43679,11905700
18,2018-01-09,64.230003,64.720001,63.470001,64.089996,60.998978,8771300
19,2018-01-10,63.880001,64.230003,63.439999,64.220001,61.122704,5010600
20,2018-01-11,64.029999,64.309998,63.779999,64.290001,61.189335,5103500
21,2018-01-12,64.5,64.720001,64.32,64.669998,61.550995,5135700
22,2018-01-16,64.779999,65.360001,63.369999,63.419998,60.361286,9117000
23,2018-01-17,63.669998,64.010002,63.080002,63.810001,60.732479,7422600
24,2018-01-18,64.0,64.209999,63.540001,64.110001,61.018013,5656900
25,2018-01-19,65.309998,67.239998,65.120003,67.209999,63.968506,12896100
26,2018-01-22,66.550003,66.830002,65.760002,66.389999,63.188042,8491800
27,2018-01-23,66.529999,67.330002,66.440002,67.139999,63.901863,6412000
28,2018-01-24,67.339996,68.18,67.07,68.0,64.720398,7421800
29,2018-01-25,68.129997,68.639999,67.449997,67.709999,64.444389,5707600
30,2018-01-26,68.199997,68.639999,67.919998,68.040001,64.758469,6290500
31,2018-01-29,67.82,68.139999,67.419998,67.580002,64.320656,5067300
32,2018-01-30,67.5,68.309998,67.160004,67.330002,64.082733,6350500
33,2018-01-31,67.5,68.830002,67.470001,68.220001,64.929802,11036400
34,2018-02-01,67.669998,67.970001,66.699997,67.650002,64.387276,5790500
35,2018-02-02,67.220001,67.790001,67.0,67.220001,63.978031,9348300
36,2018-02-05,66.629997,67.209999,64.389999,64.389999,61.284512,12549500
37,2018-02-06,62.48,65.419998,62.09,65.220001,62.074478,13356700
38,2018-02-07,65.150002,66.839996,65.099998,65.629997,62.464718,8845700
39,2018-02-08,65.529999,65.709999,62.459999,62.490002,59.476154,14121800
40,2018-02-09,63.759998,66.050003,62.84,65.489998,62.331448,13733300
41,2018-02-12,65.940002,66.82,65.68,65.980003,62.797825,9792200
42,2018-02-13,65.849998,66.230003,65.43,65.870003,62.693127,9538400
43,2018-02-14,65.720001,68.029999,65.550003,67.959999,64.682312,8662600
44,2018-02-15,68.389999,68.760002,67.25,68.290001,64.996399,7390200
45,2018-02-16,67.900002,69.0,67.739998,68.300003,65.005936,6842100
46,2018-02-20,67.639999,67.970001,67.050003,67.489998,64.235001,4859100
47,2018-02-21,67.660004,68.019997,67.029999,67.050003,63.816212,5107900
48,2018-02-22,67.25,67.480003,66.739998,67.129997,63.892353,6515800
49,2018-02-23,67.389999,68.160004,66.849998,68.160004,64.872681,4428500
50,2018-02-26,68.389999,69.809998,68.339996,69.650002,66.290825,6499500
51,2018-02-27,70.0,70.25,68.029999,68.029999,64.748947,6843100
52,2018-02-28,68.099998,68.300003,67.010002,67.029999,63.797184,6091800
53,2018-03-01,67.239998,67.669998,65.669998,66.32,63.121445,7323900
54,2018-03-02,64.910004,66.089996,64.209999,65.889999,62.901855,8380500
55,2018-03-05,65.480003,65.489998,64.339996,65.050003,62.099964,8838400
56,2018-03-06,65.209999,65.360001,64.629997,65.239998,62.281326,6550100
57,2018-03-07,64.510002,64.790001,63.889999,64.169998,61.259861,6457600
58,2018-03-08,64.559998,65.25,64.480003,65.110001,62.157238,5573000
59,2018-03-09,65.510002,66.510002,65.360001,66.300003,63.293259,5838400
60,2018-03-12,66.650002,67.610001,66.32,66.82,63.789688,7522700
61,2018-03-13,67.300003,67.690002,66.129997,66.169998,63.16917,5167300
62,2018-03-14,66.650002,66.900002,65.669998,66.199997,63.197777,6463800
63,2018-03-15,66.489998,66.610001,66.129997,66.389999,63.379177,5260800
64,2018-03-16,66.309998,66.690002,65.910004,65.910004,62.920937,12860900
65,2018-03-19,65.699997,66.339996,65.190002,65.709999,62.730019,7255600
66,2018-03-20,65.940002,66.870003,65.93,66.800003,63.770592,6906200
67,2018-03-21,66.730003,67.209999,66.309998,66.349998,63.340996,5805200
68,2018-03-22,65.599998,66.150002,64.230003,64.419998,61.498516,12313300
