Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,40.669998,42.57,40.599998,42.119999,33.036316,6354900
2017-12-13,42.369999,42.650002,41.939999,42.080002,33.004944,4509100
2017-12-14,42.209999,42.290001,41.84,41.939999,32.895138,3301600
2017-12-15,42.200001,42.209999,41.41,42.02,32.95787,6241800
2017-12-18,42.360001,43.07,42.23,42.990002,33.718685,4628900
2017-12-19,42.209999,42.73,41.939999,42.18,33.575409,4553200
2017-12-20,42.439999,42.5,41.360001,41.529999,33.058002,3321900
2017-12-21,41.720001,42.529999,41.59,41.959999,33.40028,3425300
2017-12-22,41.93,42.389999,41.900002,42.169998,33.567451,1713300
2017-12-26,41.990002,42.700001,41.709999,42.139999,33.543568,2968800
2017-12-27,42.240002,42.490002,41.73,42.110001,33.519691,1934600
2017-12-28,42.189999,42.259998,41.740002,42.02,33.448036,1368800
2017-12-29,42.009998,42.349998,41.84,41.84,33.304764,1866400
2018-01-02,42.349998,43.139999,41.91,42.93,34.172421,2888400
2018-01-03,42.93,43.150002,42.48,42.849998,34.10873,3446100
2018-01-04,42.869999,43.23,41.970001,42.639999,33.941574,2825000
2018-01-05,42.84,42.990002,42.439999,42.939999,34.180367,2183200
2018-01-08,48.779999,49.700001,45.619999,46.0,36.616138,23460800
2018-01-09,46.48,47.290001,46.040001,46.389999,36.926582,10500200
2018-01-10,46.16,47.27,45.810001,47.07,37.467865,3808800
2018-01-11,47.360001,49.049999,47.110001,49.009998,39.012104,6246600
2018-01-12,49.119999,51.880001,49.110001,51.259998,40.803112,7747400
2018-01-16,50.77,52.34,50.419998,51.509998,41.002121,6885300
2018-01-17,51.27,52.419998,50.889999,52.139999,41.503605,4113600
2018-01-18,52.200001,52.290001,51.619999,52.009998,41.400116,3981600
2018-01-19,52.139999,52.77,51.740002,52.619999,41.885689,3871200
2018-01-22,52.490002,53.25,52.040001,53.16,42.315529,3591700
2018-01-23,53.18,54.119999,52.93,54.060001,43.031918,3192200
2018-01-24,54.040001,54.080002,52.299999,52.970001,42.164291,5551500
2018-01-25,53.459999,53.799999,52.669998,53.169998,42.323486,3618300
2018-01-26,53.509998,55.0,53.439999,54.939999,43.732403,7318600
2018-01-29,54.0,55.619999,53.509998,55.110001,43.867733,8941000
2018-01-30,54.0,55.009998,53.150002,54.98,43.764252,7756300
2018-01-31,55.150002,56.450001,55.07,55.200001,43.939377,5110200
