,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,62.060001,62.32,61.689999,61.84,54.647968,2543700
1,2017-12-13,61.689999,62.080002,61.560001,61.619999,54.453552,2237600
2,2017-12-14,61.540001,61.630001,60.869999,60.900002,53.817291,3086600
3,2017-12-15,61.02,61.220001,60.68,60.950001,53.861465,5965600
4,2017-12-18,60.98,62.029999,60.98,61.34,54.206123,2454200
5,2017-12-19,61.57,62.040001,60.919998,61.02,53.923328,2550200
6,2017-12-20,61.139999,61.299999,60.720001,60.779999,53.71125,1596900
7,2017-12-21,61.060001,61.139999,60.52,60.59,53.54335,1786400
8,2017-12-22,60.740002,60.889999,60.459999,60.720001,53.658218,1627400
9,2017-12-26,60.869999,61.060001,60.639999,60.759998,53.693577,969200
10,2017-12-27,60.91,61.0,60.75,60.860001,53.781948,1173800
11,2017-12-28,60.93,61.07,60.759998,61.060001,53.958687,847000
12,2017-12-29,61.060001,61.25,60.720001,60.73,53.667065,1111700
13,2018-01-02,60.689999,61.34,60.459999,60.5,53.463799,2745700
14,2018-01-03,60.799999,60.970001,60.310001,60.630001,53.57869,2537200
15,2018-01-04,60.240002,61.080002,59.93,60.84,54.085403,3063400
16,2018-01-05,61.0,61.5,60.93,61.450001,54.627686,2640200
17,2018-01-08,61.490002,61.860001,61.099998,61.580002,54.743259,2577400
18,2018-01-09,61.630001,61.93,61.360001,61.380001,54.565453,2388000
19,2018-01-10,60.849998,61.52,60.360001,61.349998,54.53878,3377100
20,2018-01-11,61.48,61.490002,60.610001,61.220001,54.423229,1744700
21,2018-01-12,61.389999,61.919998,61.09,61.380001,54.565453,3026100
22,2018-01-16,61.900002,62.209999,61.610001,61.720001,54.86771,2438200
23,2018-01-17,62.080002,62.580002,61.869999,62.200001,55.294426,1906800
24,2018-01-18,62.25,62.5,62.029999,62.220001,55.312199,1897600
25,2018-01-19,62.52,63.299999,62.41,63.209999,56.19228,2303900
26,2018-01-22,63.169998,63.650002,63.099998,63.59,56.530094,1647700
27,2018-01-23,63.459999,63.77,63.130001,63.34,56.30785,1734300
28,2018-01-24,63.57,64.190002,63.279999,63.73,56.654552,1907800
29,2018-01-25,63.860001,64.160004,63.759998,63.990002,56.885685,1456700
30,2018-01-26,63.919998,64.120003,63.470001,64.120003,57.001255,1446000
31,2018-01-29,64.199997,64.269997,63.389999,63.389999,56.352295,1706000
32,2018-01-30,63.259998,64.089996,63.23,63.299999,56.272297,2078300
33,2018-01-31,63.48,64.169998,62.66,62.869999,55.89003,4355200
34,2018-02-01,62.57,62.619999,61.619999,61.990002,55.107723,2517400
35,2018-02-02,61.889999,62.27,61.0,61.18,54.387657,4004200
36,2018-02-05,60.57,60.580002,57.48,57.48,51.098454,5834700
37,2018-02-06,56.419998,59.970001,56.009998,59.639999,53.018635,4520600
38,2018-02-07,59.419998,60.009998,58.400002,58.43,51.942963,3559000
39,2018-02-08,58.630001,58.650002,56.959999,57.0,50.671734,3957600
40,2018-02-09,57.57,58.790001,56.77,58.330002,51.854069,3106100
41,2018-02-12,58.740002,59.110001,58.029999,58.130001,51.676273,3809400
42,2018-02-13,58.040001,58.560001,57.919998,58.419998,51.934071,2106500
43,2018-02-14,58.27,58.509998,58.009998,58.349998,51.871845,2551300
44,2018-02-15,58.57,59.369999,58.150002,59.369999,52.778606,2078500
45,2018-02-16,59.25,60.25,59.080002,60.0,53.338669,2251800
46,2018-02-20,59.470001,59.5,58.720001,58.880001,52.343006,2477200
47,2018-02-21,58.939999,59.549999,58.549999,58.549999,52.049648,1780100
48,2018-02-22,58.860001,59.34,58.759998,58.860001,52.325237,1565500
49,2018-02-23,58.939999,59.68,58.860001,59.68,53.054192,1367100
50,2018-02-26,59.790001,60.290001,59.73,60.279999,53.587578,1823500
51,2018-02-27,60.279999,60.970001,59.849998,59.849998,53.205318,2165000
52,2018-02-28,60.049999,60.700001,59.639999,59.650002,53.027527,2724900
53,2018-03-01,59.59,60.369999,59.119999,59.459999,52.858616,3148000
54,2018-03-02,59.27,59.970001,59.27,59.66,53.036411,2380300
55,2018-03-05,59.560001,60.16,59.09,60.040001,53.374229,2553500
56,2018-03-06,60.040001,60.880001,59.889999,60.869999,54.112072,2136500
57,2018-03-07,60.27,60.41,59.93,60.130001,53.454235,2315100
58,2018-03-08,60.240002,60.490002,60.09,60.48,53.765381,2483300
59,2018-03-09,60.689999,61.290001,60.48,61.279999,54.476563,1562400
60,2018-03-12,61.389999,61.439999,60.419998,60.52,53.800941,1814100
61,2018-03-13,60.799999,61.240002,60.580002,60.700001,53.960953,1545200
62,2018-03-14,60.630001,60.73,59.709999,59.880001,53.231991,6084500
63,2018-03-15,59.799999,59.889999,59.18,59.380001,52.787491,3008000
64,2018-03-16,59.529999,60.43,59.419998,60.119999,53.445339,4533800
65,2018-03-19,60.110001,60.310001,59.919998,60.18,53.49868,4285200
66,2018-03-20,60.380001,60.5,60.200001,60.43,53.720924,3001300
67,2018-03-21,60.41,60.630001,60.119999,60.299999,53.605358,4319000
68,2018-03-22,60.240002,60.310001,59.599998,59.77,53.134201,8655500
69,2018-03-23,59.880001,60.139999,59.220001,59.32,52.734161,3799600
70,2018-03-26,59.889999,60.060001,59.18,59.959999,53.303108,2900600
71,2018-03-27,60.200001,60.200001,58.970001,59.360001,52.769722,3903200
72,2018-03-28,59.32,59.740002,59.220001,59.369999,52.778606,3276500
73,2018-03-29,59.540001,60.200001,59.490002,59.959999,53.303108,2374900
74,2018-04-02,59.880001,59.93,58.119999,58.360001,51.880745,3255300
75,2018-04-03,58.560001,59.52,58.5,59.439999,52.840836,2362000
76,2018-04-04,59.060001,61.470001,59.060001,61.209999,54.414333,3631500
77,2018-04-05,61.040001,61.259998,60.139999,60.310001,53.931438,3912000
78,2018-04-06,60.049999,60.849998,59.43,59.720001,53.403839,3295700
79,2018-04-09,59.950001,60.369999,59.259998,59.849998,53.520096,3052200
