,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-12,68.879997,69.07,67.599998,67.660004,58.266632,2344300
1,2017-12-13,67.790001,68.230003,67.529999,67.910004,58.481926,1408400
2,2017-12-14,67.879997,68.010002,67.209999,67.699997,58.301079,1070100
3,2017-12-15,67.860001,68.459999,67.779999,68.169998,58.705814,3183400
4,2017-12-18,68.360001,68.480003,67.190002,67.470001,58.103012,1815200
5,2017-12-19,67.489998,67.599998,66.099998,66.129997,56.949039,1242900
6,2017-12-20,66.160004,66.419998,65.870003,65.940002,56.785427,1533300
7,2017-12-21,65.690002,65.970001,65.269997,65.620003,56.50985,2307000
8,2017-12-22,65.730003,65.919998,65.589996,65.720001,56.59597,1522500
9,2017-12-26,65.860001,66.110001,65.339996,65.360001,56.285946,901100
10,2017-12-27,65.449997,65.970001,65.410004,65.879997,56.733746,1358700
11,2017-12-28,65.949997,66.459999,65.760002,66.43,57.207401,1163500
12,2017-12-29,66.510002,66.839996,66.290001,66.43,57.207401,1197300
13,2018-01-02,66.43,66.449997,65.580002,65.769997,56.639015,1561300
14,2018-01-03,65.519997,66.209999,65.169998,65.540001,56.440956,1883100
15,2018-01-04,65.32,65.940002,65.019997,65.309998,56.242878,1688000
16,2018-01-05,65.529999,65.709999,64.529999,64.870003,55.863976,1546500
17,2018-01-08,64.809998,65.459999,64.730003,65.43,56.34623,1979600
18,2018-01-09,65.300003,65.349998,64.599998,64.910004,55.898418,1670400
19,2018-01-10,64.709999,64.709999,63.639999,63.669998,54.830578,1998300
20,2018-01-11,63.82,64.139999,63.279999,63.580002,54.753063,1429300
21,2018-01-12,63.630001,64.080002,63.099998,63.630001,54.79612,1266900
22,2018-01-16,63.66,64.010002,62.599998,63.150002,54.382763,2173100
23,2018-01-17,63.349998,63.860001,63.099998,63.57,54.744453,2037800
24,2018-01-18,63.529999,63.889999,62.919998,63.27,54.486099,2022600
25,2018-01-19,63.439999,63.84,63.02,63.110001,54.348324,1780200
26,2018-01-22,63.439999,63.619999,62.900002,63.009998,54.262199,1452100
