,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,11.8,11.8,11.59,11.75,9.435094,9500
1,2018-02-01,11.75,11.75,10.9,11.11,8.921181,22800
2,2018-03-01,11.11,11.11,10.74,10.75,8.795186,18200
3,2018-04-01,10.75,10.92,10.55,10.85,8.877002,220000
4,2018-05-01,10.2,10.43,10.2,10.42,8.525195,180300
5,2018-06-01,10.42,10.7,10.0,10.5,8.590646,33600
6,2018-07-01,10.5,11.1,10.15,11.1,9.081542,18800
7,2018-08-01,11.1,11.1,10.3,10.33,8.45156,6900
8,2018-09-01,10.33,10.33,9.75,9.95,8.14066,8400
9,2018-10-01,9.9,9.9,9.0,9.0,7.534824,43400
10,2018-11-01,9.0,9.95,9.0,9.86,8.254818,94600
11,2018-12-01,9.86,9.86,8.75,9.3,7.785985,1570300
12,2019-01-01,9.3,9.69,9.3,9.69,8.112494,268000
13,2019-02-01,9.69,10.7,9.69,10.7,8.958068,51600
14,2019-03-01,10.7,10.8,10.3,10.75,8.999928,137700
15,2019-04-01,11.03,11.25,10.83,11.0,9.394485,231600
16,2019-05-01,11.0,11.69,11.0,11.15,9.625849,335800
17,2019-06-01,11.15,11.6,10.46,11.49,9.919373,175772600
18,2019-07-01,11.38,11.77,10.52,10.6,9.151031,108613900
19,2019-08-01,10.61,10.74,9.32,9.82,8.477655,104475200
20,2019-09-01,9.84,10.39,9.54,9.75,8.417221,110183700
21,2019-10-01,9.75,9.83,9.18,9.52,8.320443,150299400
22,2019-11-01,9.6,10.37,9.57,10.26,8.967197,141184700
23,2019-12-01,10.27,11.2,9.9,10.84,9.583123,115779100
24,2020-01-01,10.88,11.03,10.31,10.59,9.362111,177671700
25,2020-02-01,10.59,11.1,9.13,9.32,8.239365,161870000
26,2020-03-01,9.68,9.83,5.8,8.12,7.178502,342274900
27,2020-04-01,7.96,9.34,7.76,8.97,8.024206,137790300
28,2020-05-01,8.88,10.23,8.43,10.21,9.13346,125862800
29,2020-06-01,10.15,11.02,9.14,10.21,9.239717,330380900
30,2020-07-01,10.19,10.95,10.05,10.3,9.321164,177790300
31,2020-08-01,10.4,11.59,10.32,11.06,10.00894,128763400
32,2020-09-01,10.98,11.43,10.44,11.05,9.99989,173141400
33,2020-10-01,11.22,11.59,10.26,10.43,9.536378,116977600
34,2020-11-01,10.6,12.4,10.59,11.33,10.359267,123492700
35,2020-12-01,11.47,11.84,11.16,11.77,10.869077,101168000
36,2021-01-01,11.7,11.88,10.86,10.94,10.102607,127039300
37,2021-02-01,11.02,11.58,10.66,10.94,10.102607,121707200
38,2021-03-01,11.09,12.02,10.33,11.68,10.898579,175030400
39,2021-04-01,11.68,12.07,11.36,11.75,10.963893,104625400
40,2021-05-01,11.75,12.76,11.66,11.8,11.01055,133724900
41,2021-06-01,11.9,12.29,11.28,11.46,10.800031,134530800
42,2021-07-01,11.58,11.69,11.15,11.56,10.894272,128398900
43,2021-08-01,11.6,12.92,11.44,12.85,12.109982,131510100
44,2021-09-01,12.8,12.85,11.57,11.59,10.922544,113945900
45,2021-10-01,11.71,12.23,11.49,12.07,11.481751,100744400
46,2021-11-01,12.13,12.49,11.3,11.32,10.768303,126054400
47,2021-12-01,11.53,12.12,11.25,12.01,11.540465,144282600
48,2022-01-01,12.02,12.5,11.51,12.01,11.540465,142818600
49,2022-02-01,12.02,12.25,11.2,11.63,11.175322,189079300
50,2022-03-01,11.57,11.74,10.66,11.33,10.998142,189481700
51,2022-04-01,11.45,12.28,11.33,11.86,11.512618,165372500
52,2022-05-01,11.86,13.37,11.52,13.1,12.7163,326544400
53,2022-06-01,13.05,13.61,11.59,12.43,12.177904,207839800
54,2022-07-01,12.36,13.06,12.11,12.95,12.687357,192003400
55,2022-08-01,12.93,13.37,11.96,12.01,11.766422,202344400
56,2022-09-01,11.96,12.47,10.56,10.73,10.512382,154568600
57,2022-10-01,10.87,11.76,10.42,11.58,11.461205,166058600
58,2022-11-01,11.66,12.39,10.71,12.35,12.223308,167620500
59,2022-12-01,12.44,12.56,12.07,12.37,12.37,54269400
