Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,158.300003,173.240005,155.399994,162.779999,143.162949,134897200
2018-02-01,161.240005,164.600006,142.850006,154.630005,136.626343,126876000
2018-03-01,153.669998,159.339996,143.630005,147.380005,130.220428,125301400
2018-04-01,146.440002,161.100006,138.050003,144.360001,127.552086,118197600
2018-05-01,143.080002,161.600006,138.149994,151.910004,134.898788,91621300
2018-06-01,153.300003,159.190002,132.679993,135.669998,120.477409,90552600
2018-07-01,133.800003,146.699997,133.199997,143.800003,127.696968,98578900
2018-08-01,142.970001,143.770004,129.429993,138.850006,124.057335,96097600
2018-09-01,137.860001,157.720001,136.929993,152.490005,136.244171,80648700
2018-10-01,153.610001,159.369995,112.059998,121.32,108.394928,181855500
2018-11-01,122.589996,135.970001,120.940002,135.669998,121.988617,126414800
2018-12-01,141.880005,142.410004,116.089996,127.07,114.25589,110482700
2019-01-01,124.029999,137.720001,120.440002,133.160004,119.731766,119268900
2019-02-01,133.029999,142.550003,126.550003,137.339996,124.284653,78957600
2019-03-01,138.860001,139.770004,129.229996,135.490005,122.61055,81109400
2019-04-01,137.690002,144.770004,134.089996,139.419998,126.166946,83893300
2019-05-01,139.580002,139.929993,118.739998,119.809998,109.078247,107906500
2019-06-01,119.910004,137.270004,119.760002,136.289993,124.082108,80059200
2019-07-01,139.300003,140.619995,128.449997,131.669998,119.875893,90354900
2019-08-01,131.639999,133.190002,111.75,119.0,109.174431,89144500
2019-09-01,117.900002,133.990005,115.400002,126.309998,115.880867,79539300
2019-10-01,127.400002,141.630005,117.25,137.800003,126.422134,99891300
2019-11-01,139.369995,148.470001,139.229996,144.729996,133.823639,63786700
2019-12-01,145.199997,148.929993,138.559998,147.679993,136.551315,54988100
2020-01-01,149.0,150.550003,130.539993,131.350006,121.45192,64504300
2020-02-01,131.440002,140.5,119.029999,124.239998,115.683495,73414400
2020-03-01,125.050003,129.559998,87.5,116.040001,108.048248,157650200
2020-04-01,112.089996,129.600006,108.599998,116.379997,108.36483,116563800
2020-05-01,114.0,124.830002,100.220001,120.129997,112.883484,84708000
2020-06-01,119.860001,139.940002,117.610001,126.5,118.869247,84155400
2020-07-01,129.380005,141.080002,125.120003,132.880005,124.864403,66949200
2020-08-01,132.300003,146.199997,130.669998,142.309998,134.727081,57363600
2020-09-01,141.669998,156.25,140.910004,149.149994,141.202591,74833100
2020-10-01,149.919998,171.259995,143.75,157.050003,148.681656,75741300
2020-11-01,159.199997,178.320007,155.229996,173.589996,165.344116,67278800
2020-12-01,175.389999,183.809998,172.279999,182.020004,173.373703,57893500
2021-01-01,183.0,200.169998,179.339996,182.839996,174.154739,64761800
2021-02-01,185.960007,226.669998,182.020004,215.880005,206.719299,63031400
2021-03-01,219.309998,237.779999,208.470001,231.869995,222.030746,81841600
2021-04-01,231.300003,236.679993,223.199997,228.110001,218.430328,54831000
2021-05-01,230.0,245.779999,225.350006,241.080002,231.893478,59613100
2021-06-01,244.009995,246.690002,205.5,217.630005,209.337051,103303100
2021-07-01,219.160004,219.789993,199.229996,206.75,198.871628,68075000
2021-08-01,208.0,223.759995,203.210007,210.869995,203.923141,72473000
2021-09-01,210.869995,212.949997,186.979996,191.970001,185.645782,77956500
2021-10-01,192.899994,209.75,187.720001,204.009995,197.289154,72026300
2021-11-01,204.289993,216.470001,191.550003,193.350006,188.012741,71055500
2021-12-01,197.580002,208.910004,191.360001,206.740005,201.033142,57745000
2022-01-01,207.330002,230.429993,194.679993,201.559998,195.996109,89950100
2022-02-01,200.800003,206.75,179.669998,187.580002,183.287094,67658500
2022-03-01,187.770004,227.050003,180.639999,222.820007,217.720596,93122200
2022-04-01,224.350006,237.899994,202.0,210.539993,205.721619,67152000
2022-05-01,210.0,223.289993,194.039993,215.850006,211.921555,61623500
2022-06-01,218.460007,232.350006,176.020004,178.759995,175.506592,71106800
2022-07-01,179.309998,199.490005,167.080002,198.25,194.641876,54588100
2022-08-01,195.080002,200.369995,181.119995,184.710007,182.611404,59537400
2022-09-01,182.270004,192.699997,160.600006,164.080002,162.21579,59363000
2022-10-01,167.429993,219.5,166.050003,216.460007,214.000656,69677900
2022-11-01,218.630005,239.850006,211.360001,236.410004,235.287903,69076700
2022-12-01,236.899994,245.050003,225.559998,239.559998,238.422943,60974600
