Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,28.389999,28.49,27.110001,28.18,23.904392,83279700
2018-02-01,28.17,28.32,25.84,27.049999,22.945841,81262800
2018-03-01,27.049999,27.59,26.4,27.4,23.486635,124024300
2018-04-01,27.469999,27.540001,24.809999,25.33,21.712278,106927100
2018-05-01,25.26,27.08,24.99,26.129999,22.398024,112501700
2018-06-01,26.129999,28.0,25.1,27.709999,24.008474,78576500
2018-07-01,27.75,28.540001,26.549999,28.48,24.675617,69184600
2018-08-01,28.32,28.49,27.48,27.790001,24.077789,58422900
2018-09-01,27.68,29.059999,26.870001,27.65,24.195602,151649500
2018-10-01,27.59,28.450001,26.74,27.01,23.635563,130134300
2018-11-01,27.049999,28.67,26.870001,28.01,24.510635,98628500
2018-12-01,28.1,29.629999,26.809999,28.23,24.948923,110967300
2019-01-01,28.16,30.99,27.74,30.92,27.326273,114232000
2019-02-01,30.860001,31.42,29.200001,30.139999,26.636934,88508200
2019-03-01,30.1,31.07,29.76,30.700001,27.384544,95346000
2019-04-01,30.690001,31.040001,29.959999,31.0,27.652147,82540000
2019-05-01,30.889999,31.17,28.200001,28.440001,25.368614,117371100
2019-06-01,28.610001,30.24,28.15,28.629999,25.787481,91467400
2019-07-01,28.6,29.719999,28.26,29.01,26.129751,85349200
2019-08-01,29.040001,29.48,27.16,27.690001,24.940811,96910500
2019-09-01,27.629999,30.709999,27.620001,30.18,27.466101,93908900
2019-10-01,30.18,30.32,27.879999,29.07,26.455915,102340800
2019-11-01,29.07,29.280001,24.25,24.559999,22.351467,127609800
2019-12-01,24.540001,27.280001,24.27,27.27,25.103088,119800500
2020-01-01,27.33,27.34,25.9,26.48,24.37586,104223900
2020-02-01,26.530001,27.530001,22.48,23.02,21.190794,117401900
2020-03-01,23.08,24.18,11.58,15.45,14.376273,228768500
2020-04-01,14.45,18.24,13.06,17.030001,15.84647,170931600
2020-05-01,16.68,19.120001,15.75,17.780001,16.544348,209450200
2020-06-01,17.780001,19.34,17.34,18.67,17.526783,239684400
2020-07-01,18.700001,20.59,18.4,19.01,17.845959,158645200
2020-08-01,18.940001,21.42,18.77,20.07,18.841053,117147100
2020-09-01,19.85,20.75,18.6,19.35,18.30077,97301600
2020-10-01,19.440001,22.49,19.1,21.129999,19.984251,97231500
2020-11-01,21.42,25.389999,21.059999,23.190001,21.932552,114857500
2020-12-01,23.379999,23.610001,20.719999,21.639999,20.589296,114985000
2021-01-01,21.67,22.190001,20.52,21.09,20.066004,83358100
2021-02-01,21.290001,22.1,19.309999,19.440001,18.496117,90093200
2021-03-01,19.799999,22.870001,19.379999,22.65,21.711533,115354900
2021-04-01,22.65,24.76,22.459999,24.49,23.4753,125150500
2021-05-01,24.52,25.35,23.58,25.299999,24.251738,121255800
2021-06-01,25.389999,26.18,24.23,24.52,23.657303,126176100
2021-07-01,24.58,26.040001,24.290001,25.459999,24.564228,105344200
2021-08-01,25.5,27.200001,24.84,25.09,24.207245,105327200
2021-09-01,25.17,26.700001,24.33,24.6,23.876768,149739600
2021-10-01,25.190001,26.93,24.719999,26.040001,25.274435,91991400
2021-11-01,26.120001,26.98,25.83,25.91,25.148252,74183900
2021-12-01,26.290001,28.370001,25.75,27.91,27.262516,98718300
2022-01-01,27.92,28.370001,26.549999,28.360001,27.702078,104185200
2022-02-01,28.24,28.52,26.0,27.35,26.715509,102252700
2022-03-01,27.290001,31.09,26.65,30.639999,30.1196,107786500
2022-04-01,30.67,33.0,30.42,30.610001,30.090111,105960700
2022-05-01,30.67,32.43,29.809999,32.049999,31.505653,104386200
2022-06-01,32.240002,32.279999,26.959999,29.58,29.23604,101093700
2022-07-01,29.709999,31.85,28.469999,31.690001,31.321505,70149700
2022-08-01,31.65,32.919998,30.66,31.530001,31.163366,69842400
2022-09-01,31.4,33.5,28.07,28.18,28.005871,93658700
2022-10-01,28.77,29.52,25.030001,28.610001,28.433214,103711500
2022-11-01,28.74,31.190001,27.41,31.110001,30.917765,79407000
2022-12-01,31.290001,31.52,29.59,29.99,29.99,66719700
