,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,120.639999,133.679993,120.010002,128.009995,124.780785,38813700
1,2018-02-01,127.25,132.440002,98.519997,105.169998,102.516968,70576900
2,2018-03-01,104.989998,114.989998,101.370003,110.410004,107.624779,51179700
3,2018-04-01,109.580002,118.0,105.120003,115.139999,112.546333,49224600
4,2018-05-01,114.330002,121.099998,109.339996,121.029999,118.30365,31870300
5,2018-06-01,121.099998,126.389999,118.720001,120.190002,117.786438,33702500
6,2018-07-01,119.620003,139.770004,119.529999,133.839996,131.163452,35417700
7,2018-08-01,133.179993,134.679993,127.959999,130.5,127.890251,28339900
8,2018-09-01,130.139999,135.690002,121.839996,130.479996,128.182541,30743900
9,2018-10-01,131.440002,131.919998,113.690002,125.43,123.221474,47547200
10,2018-11-01,125.660004,128.850006,110.260002,120.790001,118.663177,34113400
11,2018-12-01,123.300003,123.57,108.410004,112.650002,110.956635,28890800
12,2019-01-01,110.400002,120.860001,108.110001,119.25,117.457405,28212700
13,2019-02-01,119.519997,135.130005,119.360001,123.309998,121.456383,37932900
14,2019-03-01,125.18,127.5,117.970001,119.0,117.211189,30297000
15,2019-04-01,120.550003,130.639999,119.779999,129.839996,128.213928,30241500
16,2019-05-01,130.029999,131.710007,114.480003,115.0,113.559784,41331500
17,2019-06-01,114.620003,133.289993,114.620003,133.029999,131.722778,29425800
18,2019-07-01,133.949997,144.0,131.300003,132.740005,131.435623,39779700
19,2019-08-01,132.910004,133.479996,124.699997,130.100006,128.821579,33672000
20,2019-09-01,129.059998,135.979996,127.980003,134.410004,133.436554,29082200
21,2019-10-01,134.460007,139.880005,130.389999,136.660004,135.670258,25908200
22,2019-11-01,137.479996,138.720001,93.529999,101.660004,100.923744,97572200
23,2019-12-01,101.529999,114.550003,99.18,108.139999,107.7397,75512600
24,2020-01-01,108.870003,114.279999,106.279999,108.449997,108.048546,43310600
25,2020-02-01,108.959999,124.739998,94.620003,98.620003,98.254944,65187800
26,2020-03-01,97.720001,98.980003,40.759998,56.27,56.061707,126591000
27,2020-04-01,52.860001,76.540001,46.150002,70.980003,70.980003,100435500
28,2020-05-01,68.139999,86.879997,58.389999,79.480003,79.480003,101873800
29,2020-06-01,79.5,97.589996,75.75,82.199997,82.199997,99250600
30,2020-07-01,83.209999,91.290001,76.75,81.010002,81.010002,73730500
31,2020-08-01,81.099998,101.449997,79.07,98.150002,98.150002,56151600
32,2020-09-01,97.599998,104.050003,89.720001,91.690002,91.690002,51879100
33,2020-10-01,92.550003,103.059998,87.900002,94.150002,94.150002,46502100
34,2020-11-01,95.050003,130.570007,92.559998,124.489998,124.489998,74640900
35,2020-12-01,126.790001,134.089996,120.150002,132.399994,132.399994,56463200
36,2021-01-01,134.570007,147.550003,118.300003,124.099998,124.099998,64622800
37,2021-02-01,126.150002,166.570007,125.650002,161.0,161.0,69665000
38,2021-03-01,164.0,187.929993,154.830002,172.119995,172.119995,81420900
39,2021-04-01,172.889999,181.520004,166.75,176.229996,176.229996,45040000
40,2021-05-01,178.25,180.050003,161.639999,176.949997,176.949997,55085900
41,2021-06-01,178.809998,179.589996,158.889999,163.710007,163.710007,46736000
42,2021-07-01,164.389999,169.289993,150.020004,160.869995,160.869995,41171600
43,2021-08-01,162.270004,166.199997,136.770004,144.5,144.5,58148400
44,2021-09-01,146.0,175.369995,141.800003,163.899994,163.899994,48655500
45,2021-10-01,169.300003,174.850006,159.009995,164.410004,164.410004,33597700
46,2021-11-01,165.789993,191.850006,155.589996,161.089996,161.089996,69879700
47,2021-12-01,165.0,185.639999,150.839996,180.720001,180.720001,52902900
48,2022-01-01,181.300003,190.779999,159.889999,183.289993,183.289993,42894000
49,2022-02-01,182.0,217.720001,180.759995,196.110001,196.110001,72986100
50,2022-03-01,195.009995,203.979996,151.929993,195.669998,195.669998,78298300
51,2022-04-01,196.940002,200.449997,173.610001,174.75,174.75,44858800
52,2022-05-01,174.880005,178.020004,115.760002,129.330002,129.330002,109365800
53,2022-06-01,129.770004,135.419998,90.370003,94.830002,94.830002,72157000
54,2022-07-01,94.739998,106.540001,88.699997,106.050003,106.050003,44607300
55,2022-08-01,103.690002,117.309998,100.279999,102.650002,102.650002,66124500
56,2022-09-01,100.959999,113.589996,89.269997,93.690002,93.690002,55171600
57,2022-10-01,95.330002,102.150002,88.809998,93.470001,93.470001,46743900
58,2022-11-01,96.5,106.93,85.019997,106.839996,106.839996,57158100
59,2022-12-01,107.019997,109.5,82.389999,84.519997,84.519997,39560600
