Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,190.210007,207.610001,187.820007,200.899994,178.528214,92074000
2018-02-01,199.339996,202.25,175.419998,182.270004,161.972824,127014100
2018-03-01,182.75,184.399994,171.559998,178.240005,158.391602,109321100
2018-04-01,177.149994,187.800003,170.419998,184.800003,165.157639,101369800
2018-05-01,184.729996,191.649994,181.199997,186.550003,166.72168,103145700
2018-06-01,187.210007,201.600006,186.520004,195.100006,175.33905,93713000
2018-07-01,193.820007,204.25,192.119995,197.520004,177.513931,67987900
2018-08-01,196.860001,203.550003,191.089996,200.770004,180.434753,88542700
2018-09-01,200.690002,215.429993,200.5,207.149994,187.122818,83962700
2018-10-01,208.520004,209.789993,170.910004,175.880005,158.875977,133142600
2018-11-01,176.839996,188.690002,167.0,180.320007,162.88678,132549500
2018-12-01,183.289993,183.5,158.089996,171.820007,156.136963,117667300
2019-01-01,169.710007,184.669998,168.210007,183.529999,166.778091,98771800
2019-02-01,184.029999,193.419998,182.449997,185.139999,168.241165,90471400
2019-03-01,185.820007,192.190002,179.520004,191.889999,174.375,95115500
2019-04-01,192.990005,208.300003,192.850006,203.699997,186.485428,71203800
2019-05-01,203.199997,203.520004,186.270004,189.850006,173.805923,94651500
2019-06-01,189.520004,211.990005,188.75,207.970001,190.394608,90786400
2019-07-01,209.699997,219.300003,208.169998,213.690002,197.003418,64167400
2019-08-01,214.139999,229.270004,199.050003,227.910004,210.112991,99184500
2019-09-01,226.449997,235.490005,220.669998,232.020004,213.902084,75292900
2019-10-01,233.009995,238.990005,222.119995,234.580002,217.582794,62599000
2019-11-01,236.070007,239.309998,216.880005,220.509995,204.532288,102466800
2019-12-01,220.899994,222.0,210.610001,218.380005,202.556595,111759300
2020-01-01,219.080002,236.529999,216.399994,228.100006,212.925507,97265400
2020-02-01,230.300003,247.360001,212.330002,217.839996,203.348022,86009000
2020-03-01,219.979996,241.320007,140.630005,186.710007,174.289001,221563200
2020-04-01,175.910004,224.220001,174.0,219.830002,206.578598,120713600
2020-05-01,216.770004,252.229996,215.210007,248.479996,233.501556,115230300
2020-06-01,249.410004,259.290009,234.309998,250.509995,235.409149,103047000
2020-07-01,249.649994,269.070007,246.220001,265.48999,250.975845,66948200
2020-08-01,266.730011,292.950012,263.839996,285.040009,269.457123,74350500
2020-09-01,284.029999,288.040009,262.809998,277.709991,262.527802,80493700
2020-10-01,279.440002,292.649994,262.029999,266.709991,253.458755,59503400
2020-11-01,270.149994,289.0,268.519989,277.410004,263.627197,82679200
2020-12-01,278.730011,278.950012,258.730011,265.619995,252.422974,92268500
2021-01-01,266.01001,285.769989,261.059998,270.820007,258.767853,76246100
2021-02-01,271.230011,284.679993,254.029999,258.339996,246.843292,88427300
2021-03-01,258.809998,308.019989,246.589996,305.25,291.66571,124195800
2021-04-01,306.880005,328.829987,303.890015,323.670013,311.203949,81662500
2021-05-01,326.279999,345.690002,309.070007,318.910004,306.627258,83404300
2021-06-01,320.660004,321.26001,298.399994,318.890015,306.608032,89201700
2021-07-01,319.910004,333.450012,314.799988,328.190002,317.204559,60847700
2021-08-01,330.0,338.549988,316.609985,326.179993,315.26178,67430900
2021-09-01,325.559998,343.73999,320.279999,328.26001,317.272156,67432900
2021-10-01,328.149994,375.149994,324.160004,371.73999,361.123505,59686400
2021-11-01,373.0,416.559998,364.700012,400.609985,389.169006,76047100
2021-12-01,402.079987,420.609985,380.899994,415.01001,403.157806,84890300
2022-01-01,416.570007,417.839996,343.609985,366.980011,357.973846,101082900
2022-02-01,369.470001,374.670013,299.290009,315.829987,308.079132,103092300
2022-03-01,314.589996,340.73999,298.890015,299.329987,291.98407,115574300
2022-04-01,300.5,318.399994,293.589996,300.399994,294.796173,86697000
2022-05-01,301.98999,315.75,279.589996,302.75,297.102356,105314200
2022-06-01,301.73999,308.459991,264.51001,274.269989,269.153625,95071800
2022-07-01,275.730011,310.670013,274.549988,300.940002,297.191254,54082200
2022-08-01,300.640015,332.980011,288.279999,288.420013,284.827209,76506500
2022-09-01,288.399994,302.829987,265.609985,275.940002,274.28067,84362400
2022-10-01,281.0,299.279999,267.869995,296.130005,294.349274,65951000
2022-11-01,300.369995,329.079987,277.5,323.98999,322.041718,108646300
2022-12-01,326.309998,347.25,310.730011,315.859985,315.859985,77730200
