,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,38.32,41.529999,37.75,39.130001,34.709984,149466600
1,2018-02-01,38.790001,40.200001,35.43,36.869999,32.705269,103964200
2,2018-03-01,36.869999,39.689999,33.889999,35.240002,31.259398,115275600
3,2018-04-01,35.060001,35.139999,32.889999,33.869999,30.256474,107222600
4,2018-05-01,34.59,36.889999,33.470001,33.560001,29.979542,109188000
5,2018-06-01,33.77,35.419998,32.900002,33.450001,29.881287,89138200
6,2018-07-01,33.150002,37.650002,32.93,37.509998,33.76384,78859800
7,2018-08-01,36.950001,40.330002,36.369999,37.77,33.997864,125570800
8,2018-09-01,37.75,38.91,34.990002,35.0,31.504522,89519000
9,2018-10-01,35.279999,36.580002,30.6,31.969999,28.978743,128959500
10,2018-11-01,32.220001,35.740002,32.09,34.779999,31.52582,117104100
11,2018-12-01,35.0,35.630001,28.299999,29.65,26.875813,123595400
12,2019-01-01,29.299999,33.880001,29.16,33.77,30.859978,105491900
13,2019-02-01,33.720001,36.18,32.900002,35.27,32.230705,80330200
14,2019-03-01,35.439999,37.25,34.740002,36.939999,33.756805,74479200
15,2019-04-01,37.240002,37.580002,35.689999,37.5,34.517776,111302700
16,2019-05-01,39.029999,39.84,37.959999,38.52,35.456657,217303300
17,2019-06-01,39.41,41.400002,38.5,41.310001,38.024792,190612400
18,2019-07-01,41.68,42.849998,40.630001,42.439999,39.322437,88566700
19,2019-08-01,42.169998,43.220001,40.990002,42.689999,39.554077,100609000
20,2019-09-01,42.419998,44.650002,41.84,43.889999,40.665928,87247800
21,2019-10-01,44.110001,44.130001,41.290001,43.330002,40.384087,121995900
22,2019-11-01,43.68,44.82,41.509998,42.830002,39.918076,87173000
23,2019-12-01,42.790001,42.880001,40.240002,40.709999,37.942215,103426200
24,2020-01-01,40.91,42.34,39.23,39.450001,36.996853,105412300
25,2020-02-01,39.580002,42.650002,35.580002,36.57,34.295944,114217800
26,2020-03-01,36.810001,39.48,22.780001,26.959999,25.283527,219500100
27,2020-04-01,25.790001,31.34,24.77,29.110001,27.534399,122467600
28,2020-05-01,28.67,32.529999,26.23,31.41,29.709906,110310100
29,2020-06-01,31.450001,37.07,31.17,34.139999,32.292141,138961900
30,2020-07-01,34.240002,39.950001,33.310001,38.48,36.671936,111004900
31,2020-08-01,38.580002,42.130001,37.82,40.73,38.816208,96492100
32,2020-09-01,40.52,43.200001,39.799999,40.849998,38.930569,101401600
33,2020-10-01,41.240002,44.759998,40.150002,42.209999,40.483837,89336800
34,2020-11-01,42.939999,47.580002,41.689999,46.040001,44.157215,128609300
35,2020-12-01,46.759998,47.299999,44.91,46.59,44.684715,92902300
36,2021-01-01,46.610001,52.919998,45.91,49.82,48.051598,92744200
37,2021-02-01,50.240002,56.830002,50.060001,55.790001,53.809689,84632000
38,2021-03-01,56.360001,62.400002,55.830002,59.669998,57.551956,115599700
39,2021-04-01,59.950001,64.080002,59.529999,62.34,60.392231,74686800
40,2021-05-01,62.970001,66.709999,62.34,66.540001,64.461006,102002700
41,2021-06-01,68.330002,68.949997,64.370003,68.629997,66.485703,92215500
42,2021-07-01,69.019997,71.779999,67.389999,71.419998,69.473045,78511200
43,2021-08-01,71.699997,75.68,70.589996,74.800003,72.760918,60032000
44,2021-09-01,74.779999,76.830002,68.059998,68.080002,66.224106,98834400
45,2021-10-01,68.339996,74.669998,67.800003,73.370003,71.630974,65081300
46,2021-11-01,73.300003,81.150002,71.910004,74.760002,72.988029,72356700
47,2021-12-01,76.389999,81.769997,74.360001,81.309998,79.382759,62499000
48,2022-01-01,81.18,81.449997,70.449997,72.669998,71.25383,74203500
49,2022-02-01,73.190002,74.699997,61.790001,64.959999,63.694084,94572200
50,2022-03-01,64.959999,67.989998,59.82,65.57,64.292191,102550800
51,2022-04-01,66.239998,66.980003,59.549999,59.869999,59.021713,81367700
52,2022-05-01,60.23,62.330002,49.419998,54.509998,53.737659,129447700
53,2022-06-01,54.779999,55.630001,46.330002,47.880001,47.201599,91250500
54,2022-07-01,47.880001,54.060001,45.52,53.91,53.541763,82876600
55,2022-08-01,53.369999,59.580002,53.189999,54.139999,53.770191,84644900
56,2022-09-01,54.099998,59.59,48.82,49.220001,48.883801,82163300
57,2022-10-01,49.919998,59.02,49.189999,57.84,57.84,84700300
58,2022-11-01,58.630001,68.029999,57.110001,66.440002,66.440002,94087700
59,2022-12-01,67.489998,68.650002,65.519997,65.769997,65.769997,21436900
