Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,131.0,150.850006,130.139999,148.869995,148.869995,35041600
2018-02-01,151.759995,165.679993,137.600006,161.009995,161.009995,42544800
2018-03-01,162.619995,176.559998,157.160004,165.449997,165.449997,44251800
2018-04-01,164.440002,175.539993,156.0,166.139999,166.139999,42011300
2018-05-01,165.360001,182.589996,163.270004,177.610001,177.610001,38449100
2018-06-01,179.059998,188.589996,167.360001,172.470001,172.470001,35154700
2018-07-01,171.610001,194.809998,170.389999,175.960007,175.960007,39777400
2018-08-01,176.589996,201.0,176.0,196.360001,196.360001,34460200
2018-09-01,195.949997,206.300003,182.729996,195.630005,195.630005,38217900
2018-10-01,197.25,199.229996,157.600006,181.039993,181.039993,63164500
2018-11-01,181.029999,194.039993,147.630005,185.270004,185.270004,42519100
2018-12-01,192.050003,192.160004,158.0,178.050003,178.050003,41686600
2019-01-01,174.119995,228.410004,168.470001,220.020004,220.020004,50783700
2019-02-01,218.580002,241.440002,216.800003,239.440002,239.440002,36495700
2019-03-01,242.309998,251.649994,226.710007,246.490005,246.490005,38585700
2019-04-01,249.990005,273.820007,230.139999,271.51001,271.51001,38973700
2019-05-01,273.160004,281.73999,257.5,261.929993,261.929993,37988700
2019-06-01,262.0,292.980011,246.020004,274.570007,274.570007,32308200
2019-07-01,281.98999,303.170013,272.609985,277.390015,277.390015,36546300
2019-08-01,277.380005,281.720001,250.190002,261.839996,261.839996,37147300
2019-09-01,264.089996,273.630005,245.270004,253.850006,253.850006,33568400
2019-10-01,255.320007,276.5,213.990005,247.259995,247.259995,72152100
2019-11-01,248.940002,284.299988,238.289993,283.040009,283.040009,85590200
2019-12-01,283.0,288.079987,263.529999,282.320007,282.320007,33418900
2020-01-01,284.959991,343.890015,284.220001,338.230011,338.230011,40190100
2020-02-01,338.410004,362.950012,307.100006,326.089996,326.089996,35860200
2020-03-01,333.829987,350.700012,238.929993,286.579987,286.579987,70349400
2020-04-01,274.390015,357.779999,246.669998,351.540009,351.540009,52758800
2020-05-01,342.089996,396.149994,335.01001,387.929993,387.929993,43817100
2020-06-01,385.059998,409.799988,367.029999,405.059998,405.059998,38512000
2020-07-01,405.380005,454.700012,390.839996,439.200012,439.200012,35843600
2020-08-01,443.720001,494.0,418.529999,482.019989,482.019989,38533600
2020-09-01,485.0,501.820007,432.850006,485.0,485.0,28308800
2020-10-01,491.570007,533.369995,478.98999,497.570007,497.570007,26379100
2020-11-01,499.209991,537.530029,472.01001,534.549988,534.549988,29281100
2020-12-01,536.0,566.73999,518.51001,550.429993,550.429993,25596300
2021-01-01,556.940002,563.880005,507.059998,543.159973,543.159973,30529400
2021-02-01,546.01001,598.369995,521.150024,533.460022,533.460022,24867300
2021-03-01,544.820007,562.429993,462.51001,500.109985,500.109985,41044400
2021-04-01,508.0,565.289978,500.279999,506.369995,506.369995,32670200
2021-05-01,507.459991,508.220001,448.269989,473.880005,473.880005,34949400
2021-06-01,477.600006,561.890015,456.0,549.549988,549.549988,31827700
2021-07-01,545.0,608.780029,539.75,587.890015,587.890015,23103200
2021-08-01,587.890015,647.700012,566.590027,643.640015,643.640015,19204200
2021-09-01,643.599976,681.099976,607.179993,622.27002,622.27002,21325900
2021-10-01,623.780029,698.429993,609.469971,697.76001,697.76001,23604400
2021-11-01,700.0,707.599976,624.140015,647.700012,647.700012,20588700
2021-12-01,650.359985,672.969971,587.02002,649.109985,649.109985,27402100
2022-01-01,648.159973,651.409973,479.350006,585.780029,585.780029,52343500
2022-02-01,584.900024,621.409973,502.459991,579.919983,579.919983,27549600
2022-03-01,583.820007,601.619995,491.309998,556.890015,556.890015,34583700
2022-04-01,556.099976,575.809998,453.920013,478.100006,478.100006,33179000
2022-05-01,474.690002,501.109985,406.470001,467.470001,467.470001,42326700
2022-06-01,491.040009,510.730011,424.170013,475.519989,475.519989,30667000
2022-07-01,474.929993,506.450012,407.5,446.660004,446.660004,41145200
2022-08-01,438.98999,521.580017,429.51001,434.619995,434.619995,31222800
2022-09-01,429.809998,482.690002,367.709991,377.609985,377.609985,34403400
2022-10-01,380.079987,433.390015,337.0,420.73999,420.73999,47875000
2022-11-01,427.079987,430.23999,351.25,416.299988,416.299988,32462800
2022-12-01,416.160004,432.170013,371.470001,388.269989,388.269989,25722800
