Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,31.08,32.450001,30.440001,31.870001,24.692451,139351800
2018-02-01,31.67,31.93,28.639999,28.65,22.197641,121044800
2018-03-01,28.65,28.98,27.08,28.290001,21.918718,168281800
2018-04-01,28.49,29.709999,27.35,29.1,22.886023,114757000
2018-05-01,29.15,29.209999,26.620001,27.32,21.48612,178418700
2018-06-01,27.32,28.950001,25.299999,28.549999,22.453466,181722100
2018-07-01,28.690001,29.67,27.639999,28.77,22.993742,99711100
2018-08-01,28.629999,30.209999,28.16,29.74,23.768995,103345100
2018-09-01,29.92,31.1,28.33,29.26,23.385361,86681800
2018-10-01,29.290001,31.379999,29.110001,30.4,24.622986,120188000
2018-11-01,30.35,32.459999,30.23,30.59,24.776878,110777200
2018-12-01,30.57,31.42,27.309999,28.33,22.946354,137259200
2019-01-01,28.25,31.379999,27.799999,31.32,25.712099,98470200
2019-02-01,31.290001,32.220001,30.219999,32.169998,26.409904,95345700
2019-03-01,32.240002,32.889999,31.459999,31.74,26.056894,96526400
2019-04-01,31.700001,32.209999,30.469999,31.209999,25.953026,85547300
2019-05-01,31.059999,31.450001,29.610001,29.76,24.747261,105852600
2019-06-01,29.879999,31.799999,29.719999,31.01,25.786716,86318300
2019-07-01,31.110001,31.25,29.43,29.629999,24.966288,84064400
2019-08-01,29.57,29.99,28.549999,29.549999,24.89888,86245100
2019-09-01,29.549999,31.9,29.200001,31.49,26.533525,92600300
2019-10-01,31.49,33.509998,30.1,33.490002,28.615446,119080100
2019-11-01,33.52,34.400002,33.029999,34.029999,29.076845,96696800
2019-12-01,34.049999,36.279999,33.41,35.880001,30.657578,105851000
2020-01-01,36.0,36.830002,35.110001,36.189999,31.298542,94451200
2020-02-01,36.259998,36.619999,29.59,30.01,25.953836,112149500
2020-03-01,30.309999,32.59,18.120001,24.68,21.344242,194288900
2020-04-01,23.73,27.76,21.4,25.42,22.277628,112837500
2020-05-01,25.07,28.190001,23.709999,27.940001,24.486113,110372100
2020-06-01,27.889999,30.940001,24.91,25.84,22.645706,153767100
2020-07-01,25.85,26.73,24.200001,26.620001,23.6495,98837900
2020-08-01,26.67,29.379999,26.27,27.629999,24.546795,103868100
2020-09-01,27.549999,28.809999,25.469999,27.209999,24.173662,113664100
2020-10-01,27.43,29.34,26.73,27.5,24.795816,81293000
2020-11-01,27.76,30.809999,27.459999,28.42,25.625349,95386600
2020-12-01,28.559999,29.290001,26.15,28.200001,25.426981,121541900
2021-01-01,28.280001,28.690001,27.290001,27.67,25.310682,77096300
2021-02-01,27.75,28.42,26.15,26.190001,23.956875,76129200
2021-03-01,26.540001,30.0,26.52,28.84,26.38092,153231800
2021-04-01,28.9,29.540001,28.42,29.129999,27.04261,117772900
2021-05-01,29.190001,29.73,28.440001,29.110001,27.024046,97081000
2021-06-01,29.15,29.49,27.59,27.969999,25.965734,105530300
2021-07-01,28.059999,28.860001,27.709999,28.370001,26.720779,77521600
2021-08-01,28.450001,29.780001,28.15,29.35,27.643806,99226000
2021-09-01,29.690001,30.719999,27.870001,27.879999,26.259264,109661100
2021-10-01,28.15,29.33,27.84,28.799999,27.50046,77458800
2021-11-01,28.85,29.42,27.75,27.83,26.57423,91661900
2021-12-01,28.08,30.15,27.870001,30.059999,28.703608,106190600
2022-01-01,30.15,30.440001,28.91,29.68,28.749775,91980900
2022-02-01,29.59,29.870001,25.549999,26.17,25.349785,133501100
2022-03-01,26.120001,28.870001,25.27,28.559999,27.664875,185867100
2022-04-01,28.639999,30.549999,28.040001,28.309999,27.632927,124800700
2022-05-01,28.43,30.559999,27.75,30.18,29.458204,115274500
2022-06-01,30.299999,30.639999,24.98,27.129999,26.481148,135237000
2022-07-01,27.26,29.09,26.43,29.08,28.634817,95275000
2022-08-01,29.040001,30.99,27.870001,29.08,28.634817,106870600
2022-09-01,29.059999,30.17,25.290001,25.35,24.96192,100960900
2022-10-01,25.93,26.73,23.469999,26.49,26.284332,107837800
2022-11-01,26.620001,29.52,25.860001,29.52,29.290808,90434900
2022-12-01,29.66,29.950001,28.700001,29.219999,28.993135,89451100
