,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,190.800003,226.0,190.380005,224.110001,221.386551,33441400
1,2018-02-01,224.160004,226.440002,194.509995,208.580002,206.045258,28135600
2,2018-03-01,208.639999,219.940002,201.820007,206.460007,203.951035,30889700
3,2018-04-01,205.720001,221.880005,199.850006,210.350006,207.95816,30047900
4,2018-05-01,210.440002,219.410004,204.860001,208.270004,205.901733,29878800
5,2018-06-01,210.0,218.960007,202.830002,207.139999,204.784546,27221600
6,2018-07-01,205.740005,235.539993,203.899994,234.529999,232.045441,33036700
7,2018-08-01,234.160004,240.880005,227.770004,239.100006,236.567032,23589800
8,2018-09-01,238.889999,245.0,234.289993,244.080002,241.494293,23210600
9,2018-10-01,245.919998,249.949997,217.880005,233.649994,231.335953,46716100
10,2018-11-01,234.520004,250.75,228.850006,249.550003,247.078476,32142900
11,2018-12-01,253.649994,253.910004,208.339996,223.789993,221.573608,38160000
12,2019-01-01,219.860001,245.949997,210.070007,245.669998,243.408249,47275300
13,2019-02-01,245.369995,260.109985,240.589996,259.570007,257.180328,23938300
14,2019-03-01,261.0,273.940002,246.669998,273.720001,271.200043,31747200
15,2019-04-01,275.140015,282.980011,253.220001,277.450012,275.097656,37020900
16,2019-05-01,277.179993,280.01001,258.029999,266.980011,264.716339,31853000
17,2019-06-01,268.290009,298.380005,264.299988,293.679993,291.189911,30758900
18,2019-07-01,299.130005,305.450012,275.579987,277.679993,275.509125,29775400
19,2019-08-01,279.450012,290.179993,266.48999,287.059998,284.815796,32893600
20,2019-09-01,284.429993,299.079987,281.049988,291.269989,288.992981,29552300
21,2019-10-01,291.779999,303.600006,270.329987,301.980011,299.810608,35637000
22,2019-11-01,305.0,316.029999,290.640015,313.950012,311.69458,24003300
23,2019-12-01,315.660004,330.140015,308.709991,324.869995,322.536102,23515000
24,2020-01-01,326.0,342.26001,310.920013,313.190002,311.124481,27358800
25,2020-02-01,316.809998,341.350006,284.829987,290.799988,288.882172,37132400
26,2020-03-01,291.029999,327.890015,250.210007,283.600006,281.729614,71140900
27,2020-04-01,276.51001,346.890015,270.399994,334.679993,332.730225,41793000
28,2020-05-01,330.380005,351.859985,324.350006,349.190002,347.15564,28390800
29,2020-06-01,348.0,363.970001,330.570007,362.339996,360.229065,32268500
30,2020-07-01,363.76001,420.98999,357.0,413.950012,411.807739,28592000
31,2020-08-01,418.25,433.450012,401.220001,428.980011,426.759888,24494700
32,2020-09-01,432.149994,444.799988,401.070007,441.519989,439.234985,29452700
33,2020-10-01,445.970001,490.709991,433.01001,473.119995,470.911743,26422900
34,2020-11-01,478.799988,532.570007,435.769989,464.980011,462.809753,42639800
35,2020-12-01,470.0,482.200012,454.0,465.779999,463.605988,33363600
36,2021-01-01,469.049988,522.0,462.170013,509.700012,507.557922,34876900
37,2021-02-01,516.840027,526.590027,448.540009,450.079987,448.188446,33997400
38,2021-03-01,454.190002,467.309998,433.519989,456.380005,454.462006,44983100
39,2021-04-01,461.25,499.0,456.089996,470.230011,468.524261,33653900
40,2021-05-01,471.779999,480.690002,448.519989,469.5,467.796814,31949400
41,2021-06-01,467.0,510.600006,438.720001,504.470001,502.639984,46199100
42,2021-07-01,505.839996,543.299988,503.26001,540.01001,538.352051,24375300
43,2021-08-01,542.080017,560.700012,531.880005,554.950012,553.246094,19916300
44,2021-09-01,552.780029,616.929993,549.179993,571.330017,569.575867,31340800
45,2021-10-01,570.570007,634.099976,552.01001,633.070007,631.419861,23665900
46,2021-11-01,632.349976,666.650024,599.450012,632.830017,631.180481,28547400
47,2021-12-01,634.679993,672.340027,609.210022,667.23999,665.500793,27360100
48,2022-01-01,662.98999,664.27002,543.700012,581.299988,580.01825,39497300
49,2022-02-01,588.299988,608.710022,513.940002,544.0,542.800476,31307800
50,2022-03-01,544.619995,601.130005,519.890015,590.650024,589.347717,32771100
51,2022-04-01,592.219971,618.359985,514.02002,552.919983,552.009827,32010700
52,2022-05-01,548.929993,573.289978,512.099976,567.570007,566.635742,32465100
53,2022-06-01,569.549988,573.090027,497.829987,543.280029,542.385803,24300100
54,2022-07-01,543.950012,611.059998,510.369995,598.409973,597.775269,28123200
55,2022-08-01,594.109985,606.159973,544.320007,545.320007,544.741577,22123100
56,2022-09-01,542.440002,580.130005,505.579987,507.190002,506.652008,26196500
57,2022-10-01,512.809998,548.919983,478.309998,513.969971,513.700134,37462100
58,2022-11-01,516.539978,561.97998,475.769989,560.219971,559.925842,32914400
59,2022-12-01,567.650024,584.710022,520.01001,539.140015,538.856934,22668700
