Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,78.309998,78.309998,70.010002,71.68,53.035217,21388500
2018-02-01,71.709999,71.879997,65.160004,66.470001,49.613148,30917000
2018-03-01,66.169998,69.660004,64.129997,67.300003,50.232662,23309300
2018-04-01,67.410004,68.440002,64.529999,68.029999,50.777527,19307800
2018-05-01,68.209999,70.839996,65.540001,69.709999,52.031487,21716500
2018-06-01,69.730003,74.279999,69.559998,73.919998,55.67934,24496900
2018-07-01,73.849998,76.099998,69.5,71.919998,54.172867,15733200
2018-08-01,71.199997,77.589996,71.099998,77.0,57.999302,19074500
2018-09-01,76.809998,77.139999,71.809998,73.0,55.473846,16946900
2018-10-01,73.040001,73.059998,66.040001,68.080002,51.735062,21361500
2018-11-01,68.300003,72.059998,66.019997,71.959999,54.683533,22772200
2018-12-01,71.900002,72.5,59.48,62.029999,47.577587,21031000
2019-01-01,61.509998,70.050003,59.950001,69.910004,53.621632,19803700
2019-02-01,69.989998,70.540001,66.309998,67.309998,52.151047,21675700
2019-03-01,67.360001,69.709999,65.910004,67.440002,52.251778,18635400
2019-04-01,67.599998,70.449997,65.669998,69.139999,53.568916,19843600
2019-05-01,69.080002,69.75,65.199997,66.230003,51.314278,23989700
2019-06-01,66.470001,68.849998,62.869999,64.099998,50.151028,17981000
2019-07-01,64.669998,66.720001,62.970001,64.32,50.323158,20838500
2019-08-01,64.32,64.809998,58.599998,60.470001,47.310959,29699400
2019-09-01,60.34,64.82,60.029999,63.669998,50.33762,29838700
2019-10-01,63.799999,66.82,61.779999,65.629997,51.887207,22347500
2019-11-01,65.050003,66.169998,62.5,64.57,51.049175,17994400
2019-12-01,64.510002,67.949997,62.970001,66.5,53.109119,24735100
2020-01-01,66.720001,68.68,64.790001,65.769997,54.078957,25305900
2020-02-01,66.010002,68.5,51.720001,53.580002,44.483727,30176800
2020-03-01,53.939999,56.82,27.639999,36.209999,30.06263,63442500
2020-04-01,34.189999,45.200001,30.309999,43.82,36.380688,57779900
2020-05-01,42.52,42.98,30.82,36.209999,30.06263,68758900
2020-06-01,36.16,45.959999,36.02,38.209999,32.288506,61681300
2020-07-01,38.299999,39.98,33.849998,34.52,29.170351,40373800
2020-08-01,34.369999,38.400002,32.84,35.830002,30.277348,36968300
2020-09-01,35.709999,38.169998,31.360001,33.709999,28.914539,41618600
2020-10-01,33.869999,37.18,29.790001,30.73,26.358467,40247200
2020-11-01,31.299999,43.349998,30.26,38.91,33.374813,67595700
2020-12-01,39.610001,41.639999,35.02,37.34,32.570137,47451500
2021-01-01,37.630001,41.349998,35.02,39.759998,34.680996,51340200
2021-02-01,40.02,45.59,35.889999,42.939999,37.953926,51752800
2021-03-01,43.869999,49.5,43.18,45.389999,40.119446,48869100
2021-04-01,45.77,47.240002,44.119999,45.75,40.437637,31031500
2021-05-01,46.099998,48.349998,44.279999,47.279999,41.789974,32777200
2021-06-01,47.77,50.91,46.310001,46.669998,41.723015,28779000
2021-07-01,46.740002,47.860001,42.509998,43.5,38.889034,27524200
2021-08-01,43.73,44.689999,40.259998,41.880001,37.440746,30717200
2021-09-01,41.93,45.32,40.169998,42.009998,38.031013,30729300
2021-10-01,42.330002,46.119999,42.029999,42.630001,38.592293,23225800
2021-11-01,42.860001,46.639999,40.0,40.139999,36.338135,27968700
2021-12-01,41.419998,43.490002,38.82,41.860001,38.361332,28433900
2022-01-01,42.029999,46.540001,38.0,41.009998,37.582375,29867500
2022-02-01,40.849998,45.799999,39.98,43.279999,40.202621,33190500
2022-03-01,43.080002,47.259998,41.830002,45.32,42.097565,35629600
2022-04-01,45.82,45.84,38.610001,38.709999,35.957565,27290900
2022-05-01,38.91,39.150002,32.48,34.959999,32.474201,33807100
2022-06-01,35.02,35.150002,27.639999,28.59,26.940138,39724100
2022-07-01,28.51,30.5,28.02,30.389999,28.636263,40557600
2022-08-01,30.190001,30.9,26.219999,26.219999,24.706903,43746000
2022-09-01,26.0,28.5,22.83,23.16,22.23806,49042500
2022-10-01,24.209999,24.34,20.030001,23.59,22.650942,69933300
2022-11-01,24.51,26.280001,21.75,25.290001,24.283272,84160700
2022-12-01,25.5,25.799999,20.41,20.809999,20.460369,71677700
