,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,10.76,11.02,10.5,10.8,9.215417,43915200
1,2017-12-18,10.78,11.0,10.43,10.71,9.138623,40645700
2,2017-12-25,10.75,10.88,10.61,10.83,9.241016,14350200
3,2018-01-01,10.87,10.97,10.78,10.87,9.275146,21283900
4,2018-01-08,10.9,11.14,10.64,11.04,9.420203,37797000
5,2018-01-15,11.1,11.95,10.67,11.75,10.026031,64751100
6,2018-01-22,11.8,11.81,11.06,11.72,10.000434,63563700
7,2018-01-29,11.68,11.92,11.11,11.12,9.488464,66885400
8,2018-02-05,11.11,11.12,9.87,10.2,8.802009,59600900
9,2018-02-12,10.23,10.61,10.03,10.45,9.017744,34056300
10,2018-02-19,10.39,10.57,10.23,10.49,9.052262,24212100
11,2018-02-26,10.51,11.32,10.35,10.86,9.371552,60635600
12,2018-03-05,10.9,11.1,10.65,10.85,9.362919,38695000
13,2018-03-12,10.85,10.91,10.49,10.84,9.354294,34426900
14,2018-03-19,10.88,11.04,10.63,10.72,9.250736,32119300
15,2018-03-26,10.76,11.43,10.66,11.37,9.81165,33809100
16,2018-04-02,11.38,11.57,11.19,11.42,9.854797,48628000
17,2018-04-09,11.42,11.52,11.25,11.34,9.785764,22348800
18,2018-04-16,11.41,11.83,11.36,11.62,10.027388,26772800
19,2018-04-23,11.67,12.45,11.63,12.31,10.622818,34770700
20,2018-04-30,12.21,12.4,12.05,12.33,10.640076,30673200
21,2018-05-07,12.32,12.38,11.66,12.29,10.718751,45289300
22,2018-05-14,12.32,12.41,11.8,11.93,10.404778,31652900
23,2018-05-21,11.99,12.5,11.94,12.41,10.823412,24064300
24,2018-05-28,12.37,12.86,12.3,12.79,11.154831,25904800
25,2018-06-04,12.86,13.25,12.47,12.77,11.137386,40326400
26,2018-06-11,12.8,13.35,12.65,13.07,11.399033,33398000
27,2018-06-18,13.05,13.2,12.82,12.86,11.21588,33993300
28,2018-06-25,12.86,13.56,12.77,13.41,11.695562,36813000
29,2018-07-02,13.05,13.18,12.8,13.0,11.337979,22375600
30,2018-07-09,13.0,13.19,12.55,13.18,11.494969,31720400
31,2018-07-16,13.18,13.21,12.71,13.03,11.364147,34748400
32,2018-07-23,13.02,13.58,12.92,13.37,11.660679,34305500
33,2018-07-30,13.38,13.74,13.26,13.69,11.939768,45763500
34,2018-08-06,13.75,14.0,13.23,13.56,11.941636,35325600
35,2018-08-13,13.56,13.99,13.35,13.94,12.276283,31783000
36,2018-08-20,13.99,14.11,13.89,14.01,12.33793,19556400
37,2018-08-27,14.06,14.1,13.4,13.46,11.853571,27592600
38,2018-09-03,13.43,13.53,13.08,13.11,11.545342,29860600
39,2018-09-10,13.18,13.64,13.0,13.55,11.932829,38711900
40,2018-09-17,13.56,14.01,13.49,13.96,12.293896,35235600
41,2018-09-24,13.96,14.01,13.49,14.0,12.329123,30906100
42,2018-10-01,13.99,14.73,13.88,14.66,12.910351,34398200
43,2018-10-08,14.72,15.11,14.31,14.65,12.901547,35109600
44,2018-10-15,14.77,15.39,14.71,14.98,13.192161,33809100
45,2018-10-22,15.02,15.14,14.42,14.55,12.813482,34803400
