,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,11.3,11.3,11.3,11.3,9.07375,0
1,2017-12-18,11.3,11.3,11.3,11.3,9.07375,0
2,2017-12-25,11.8,11.8,11.8,11.8,9.475243,22500
3,2018-01-01,11.8,11.8,11.8,11.8,9.475243,0
4,2018-01-08,11.8,11.8,11.8,11.8,9.475243,0
5,2018-01-15,11.8,11.8,11.6,11.6,9.314647,500
6,2018-01-22,11.6,11.75,11.59,11.75,9.435095,9000
7,2018-01-29,11.75,11.75,11.75,11.75,9.435095,0
8,2018-02-05,11.75,11.75,11.75,11.75,9.435095,0
9,2018-02-12,11.75,11.75,10.9,10.9,8.752555,12900
10,2018-02-19,10.9,11.11,10.9,11.11,8.921182,9900
11,2018-02-26,11.11,11.11,10.74,10.74,8.624078,100
12,2018-03-05,10.74,10.74,10.74,10.74,8.787005,0
13,2018-03-12,10.74,11.02,10.74,11.02,9.016088,14900
14,2018-03-19,11.02,11.02,11.02,11.02,9.016088,3000
15,2018-03-26,11.02,11.02,10.75,10.75,8.795186,200
16,2018-04-02,10.75,10.75,10.55,10.55,8.631556,100
17,2018-04-09,10.55,10.75,10.55,10.75,8.795186,59600
18,2018-04-16,10.75,10.92,10.75,10.85,8.877001,160300
19,2018-04-23,10.85,10.85,10.85,10.85,8.877001,0
20,2018-04-30,10.85,10.85,10.2,10.2,8.3452,200
21,2018-05-07,10.2,10.43,10.2,10.42,8.525194,180100
22,2018-05-14,10.42,10.42,10.42,10.42,8.525194,0
23,2018-05-21,10.42,10.42,10.42,10.42,8.525194,0
24,2018-05-28,10.42,10.42,10.42,10.42,8.525194,0
25,2018-06-04,10.42,10.5,10.42,10.5,8.590649,400
26,2018-06-11,10.5,10.58,10.15,10.15,8.30429,31900
27,2018-06-18,10.15,10.31,10.0,10.0,8.18157,400
28,2018-06-25,10.0,10.7,10.0,10.5,8.590649,900
29,2018-07-02,10.5,10.5,10.15,10.45,8.549739,1700
30,2018-07-09,10.45,10.54,10.45,10.54,8.623375,17000
31,2018-07-16,10.54,10.54,10.54,10.54,8.623375,0
32,2018-07-23,10.54,10.54,10.54,10.54,8.623375,0
33,2018-07-30,10.54,11.1,10.54,11.1,9.081541,2800
34,2018-08-06,11.1,11.1,10.3,10.3,8.427016,3400
35,2018-08-13,10.3,10.3,10.3,10.3,8.427016,0
36,2018-08-20,10.3,10.4,10.3,10.4,8.508829,500
37,2018-08-27,10.4,10.4,10.33,10.33,8.451558,300
38,2018-09-03,10.33,10.33,10.33,10.33,8.451558,0
39,2018-09-10,10.33,10.33,9.85,10.03,8.397143,1500
40,2018-09-17,10.03,10.03,9.75,9.75,8.162724,100
41,2018-09-24,9.75,9.95,9.75,9.95,8.330168,6800
42,2018-10-01,9.9,9.9,9.4,9.4,7.869703,9500
43,2018-10-08,9.4,9.4,9.21,9.21,7.710636,700
44,2018-10-15,9.3,9.38,9.0,9.0,7.534825,32200
45,2018-10-22,9.0,9.0,9.0,9.0,7.534825,700
46,2018-10-29,9.0,9.0,9.0,9.0,7.534825,400
47,2018-11-05,9.0,9.75,9.0,9.7,8.120865,14600
48,2018-11-12,9.75,9.95,9.6,9.95,8.330168,39100
49,2018-11-19,9.95,9.95,9.7,9.7,8.120865,23300
50,2018-11-26,9.7,9.86,9.57,9.86,8.254817,17500
51,2018-12-03,9.86,9.86,9.86,9.86,8.254817,0
