Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,62.139999,67.0,62.139999,66.730003,64.728378,30543500
2017-12-18,67.080002,67.400002,64.010002,64.510002,62.574963,23755400
2017-12-25,64.239998,64.470001,62.599998,63.32,61.420654,14403700
2018-01-01,63.540001,66.470001,63.369999,66.370003,64.379173,18441600
2018-01-08,66.489998,70.709999,64.900002,70.360001,68.249474,31320500
2018-01-15,70.919998,71.18,68.400002,70.57,68.453186,23278000
2018-01-22,70.449997,72.589996,69.68,72.519997,70.344681,28620400
2018-01-29,72.5,74.940002,70.730003,71.419998,69.277679,31542800
2018-02-05,70.540001,71.129997,63.32,67.080002,65.067863,56701800
2018-02-12,67.160004,72.129997,67.110001,70.190002,68.084587,33567100
2018-02-19,69.970001,72.07,69.07,72.07,69.90818,22013400
2018-02-26,72.68,74.82,70.739998,74.010002,71.789993,31546300
2018-03-05,73.660004,78.25,72.75,78.220001,75.873726,38319800
2018-03-12,79.239998,79.629997,71.610001,71.68,69.529892,45854700
2018-03-19,71.0,72.629997,68.019997,68.040001,65.999077,27636300
2018-03-26,69.43,70.669998,64.449997,67.459999,65.43647,34212200
2018-04-02,66.800003,67.660004,63.52,64.559998,62.946312,30548700
2018-04-09,65.160004,67.589996,64.959999,65.879997,64.233307,25502700
2018-04-16,66.529999,69.010002,65.760002,66.300003,64.642815,24975200
2018-04-23,66.599998,67.839996,64.010002,65.790001,64.145569,22504200
2018-04-30,65.860001,71.029999,64.059998,69.839996,68.094337,50686900
2018-05-07,70.269997,72.910004,69.18,71.699997,69.907845,25534400
2018-05-14,71.870003,72.339996,69.669998,71.989998,70.190598,24011200
2018-05-21,72.5,73.5,70.050003,71.459999,69.673836,23441900
2018-05-28,70.800003,73.209999,69.870003,73.029999,71.204597,21388400
2018-06-04,73.25,75.279999,72.190002,74.290001,72.433113,25486100
2018-06-11,74.25,79.25,74.220001,77.410004,75.475128,31368000
2018-06-18,77.019997,77.93,75.220001,75.980003,74.080864,19507000
2018-06-25,75.190002,77.239998,73.400002,76.32,74.412369,24581400
2018-07-02,75.360001,77.68,75.0,77.190002,75.26062,16306200
2018-07-09,77.699997,81.639999,75.349998,81.5,79.462898,28904000
2018-07-16,81.610001,81.639999,77.550003,79.650002,77.659142,23494900
2018-07-23,79.5,80.199997,74.669998,75.360001,73.476372,24624000
2018-07-30,75.370003,75.480003,70.730003,71.32,69.537346,40671900
2018-08-06,71.160004,71.669998,69.269997,70.610001,68.845093,33404900
2018-08-13,70.610001,72.300003,68.330002,69.150002,67.421577,34132900
2018-08-20,69.209999,74.160004,68.220001,74.089996,72.238098,34260800
2018-08-27,74.870003,75.769997,71.010002,72.099998,70.297844,32525500
2018-09-03,72.129997,73.709999,71.0,73.57,71.731102,22761000
