Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,51.540001,53.049999,51.209999,52.169998,44.387936,32947000
2017-12-18,52.110001,56.209999,52.110001,55.5,47.22121,30162300
2017-12-25,55.779999,56.369999,54.869999,54.889999,46.702202,15473600
2018-01-01,55.09,57.189999,54.82,56.880001,48.395355,16760100
2018-01-08,56.759998,60.240002,56.59,60.049999,51.092503,28754400
2018-01-15,60.0,60.220001,58.779999,59.75,50.837242,20849300
2018-01-22,59.860001,61.32,59.400002,60.389999,51.381775,26970700
2018-01-29,59.919998,60.529999,57.610001,57.720001,49.110062,33066600
2018-02-05,57.139999,58.470001,50.18,52.02,44.260307,48099500
2018-02-12,52.630001,55.860001,52.540001,54.650002,46.748257,30347800
2018-02-19,54.599998,57.139999,53.73,57.049999,48.801235,21629700
2018-02-26,57.259998,57.619999,52.779999,54.060001,46.243557,26964300
2018-03-05,53.490002,55.07,52.919998,55.060001,47.098969,27479700
2018-03-12,55.009998,55.41,53.380001,54.93,46.987762,32639500
2018-03-19,54.759998,58.380001,53.380001,57.740002,49.391472,38177900
2018-03-26,58.369999,59.82,58.209999,59.290001,50.717354,39682100
2018-04-02,59.27,61.169998,56.57,59.259998,50.691696,39495400
2018-04-09,59.860001,65.0,59.509998,64.900002,55.516216,51925200
2018-04-16,64.970001,67.300003,64.379997,65.790001,56.277534,43237800
2018-04-23,65.580002,67.129997,63.919998,64.949997,55.558994,44783800
2018-04-30,64.879997,67.089996,64.32,66.860001,57.192822,34016100
2018-05-07,67.269997,70.150002,65.449997,69.440002,59.399784,40275600
2018-05-14,69.5,71.0,69.099998,69.550003,59.739414,29818700
2018-05-21,70.0,71.709999,64.440002,65.470001,56.234928,32647700
2018-05-28,64.800003,68.970001,64.339996,68.290001,58.65715,32208500
2018-06-04,68.949997,70.370003,67.309998,69.43,59.63633,32694100
2018-06-11,69.959999,70.989998,65.209999,65.360001,56.140461,42984700
2018-06-18,65.57,68.410004,64.790001,67.779999,58.21909,37599900
2018-06-25,67.790001,70.629997,65.370003,69.620003,59.799564,28946100
2018-07-02,68.910004,71.440002,68.199997,69.650002,59.825314,20440600
2018-07-09,70.150002,72.57,69.43,72.0,61.843834,28854200
2018-07-16,70.879997,71.589996,68.809998,70.010002,60.134533,29184300
2018-07-23,70.5,72.269997,69.889999,71.449997,61.623428,30741600
2018-07-30,72.300003,72.940002,70.610001,71.290001,61.485416,24367400
2018-08-06,71.440002,73.760002,70.730003,71.940002,62.046021,29424500
2018-08-13,71.910004,72.690002,67.709999,69.769997,60.174469,27378200
2018-08-20,69.68,73.559998,69.68,72.610001,62.623886,22325400
2018-08-27,72.610001,74.43,71.919998,73.43,63.331108,21642000
2018-09-03,73.93,74.139999,69.419998,70.220001,60.562576,18342100
2018-09-10,70.559998,73.93,70.519997,73.5,63.391491,24155100
2018-09-17,73.709999,76.660004,73.620003,76.279999,65.789146,36287000
2018-09-24,77.0,78.68,76.790001,77.400002,66.755104,29227500
2018-10-01,77.769997,80.239998,77.589996,78.389999,67.608955,28760000
2018-10-08,77.730003,79.959999,71.93,73.830002,63.676102,32858700
2018-10-15,73.830002,74.190002,71.510002,72.489998,62.783451,32612800
2018-10-22,72.610001,72.769997,65.0,68.480003,59.310413,39068800
2018-10-29,69.18,71.82,66.220001,67.839996,58.756104,33503100
2018-11-05,68.690002,71.260002,64.790001,66.730003,57.794743,36708800
2018-11-12,67.589996,68.07,62.599998,66.120003,57.266415,43465100
2018-11-19,65.370003,66.730003,62.41,63.799999,55.257069,27001400
2018-11-26,64.699997,67.510002,64.150002,66.18,57.318386,29855000
2018-12-03,68.099998,69.720001,64.309998,65.910004,57.084541,31536800
2018-12-10,65.089996,67.080002,63.299999,64.550003,55.906647,32728100
2018-12-17,64.57,64.839996,58.810001,59.799999,51.792679,44940800
2018-12-24,58.830002,62.869999,56.75,61.669998,53.41227,22291400
2018-12-31,62.130001,63.91,60.43,63.75,55.21376,23453600
2019-01-07,63.91,68.010002,62.689999,66.389999,57.500259,35226800
2019-01-14,65.620003,68.309998,65.010002,67.900002,58.808075,26949600
2019-01-21,67.0,67.610001,65.150002,66.989998,58.019928,23148600
2019-01-28,65.870003,69.449997,64.879997,68.68,59.483616,36753100
2019-02-04,68.190002,70.010002,65.260002,66.260002,57.387672,26933500
2019-02-11,65.580002,70.32,65.580002,70.18,61.058746,25614500
2019-02-18,69.519997,71.010002,69.18,69.970001,60.876049,22236500
2019-02-25,69.660004,70.339996,67.660004,68.93,59.971199,30733400
2019-03-04,69.599998,70.059998,64.910004,65.43,56.926105,36590700
2019-03-11,66.199997,67.93,65.150002,67.589996,58.80537,52867200
2019-03-18,67.879997,68.5,65.389999,66.07,57.482925,32048900
2019-03-25,66.040001,69.599998,65.519997,66.739998,58.065838,32263800
2019-04-01,67.489998,68.120003,64.970001,66.120003,57.526428,31368500
2019-04-08,66.510002,68.220001,65.449997,67.370003,58.61396,36441500
2019-04-15,67.059998,67.230003,65.519997,65.900002,57.335014,29015800
2019-04-22,66.699997,67.419998,62.080002,62.779999,54.620529,41341500
2019-04-29,62.77,64.529999,61.279999,62.009998,53.950607,47657600
2019-05-06,61.25,62.349998,60.299999,61.919998,53.872295,32874900
2019-05-13,61.490002,63.130001,60.82,62.099998,54.298012,28074200
2019-05-20,62.029999,63.959999,58.93,59.880001,52.35693,30773900
2019-05-27,60.029999,60.639999,57.82,58.959999,51.552513,25271500
2019-06-03,59.07,60.200001,56.98,58.959999,51.552513,38904800
2019-06-10,59.330002,59.869999,57.880001,58.82,51.430096,24990800
2019-06-17,58.349998,61.200001,58.279999,60.330002,52.750381,32609100
2019-06-24,60.32,63.299999,59.759998,61.0,53.336212,30349200
2019-07-01,62.0,62.810001,59.59,59.900002,52.374416,23870700
2019-07-08,59.799999,61.959999,59.0,61.759998,54.000729,28217800
2019-07-15,61.849998,61.91,59.360001,60.330002,52.750381,28965800
2019-07-22,60.459999,60.950001,58.439999,58.75,51.629951,23880800
2019-07-29,58.689999,60.279999,56.32,56.470001,49.626278,36415700
2019-08-05,55.549999,55.709999,52.299999,54.009998,47.464409,35767600
2019-08-12,53.790001,54.830002,50.59,51.470001,45.232231,30382700
2019-08-19,52.57,54.299999,50.130001,50.419998,44.30949,32107300
2019-08-26,51.049999,52.950001,50.52,52.18,45.85619,26744900
2019-09-02,51.049999,54.240002,50.740002,53.630001,47.130463,21594900
2019-09-09,54.200001,57.700001,53.869999,57.34,50.390835,36282400
2019-09-16,61.450001,63.220001,59.27,60.82,53.449081,63193100
2019-09-23,60.0,60.669998,56.959999,57.900002,50.882961,32872400
2019-09-30,57.57,57.91,52.299999,53.5,47.016216,27774800
2019-10-07,54.150002,56.990002,53.73,56.43,49.591125,32996500
2019-10-14,55.830002,56.490002,53.950001,53.950001,47.411682,25344300
2019-10-21,54.25,57.650002,54.080002,56.349998,49.895355,25771900
2019-10-28,56.48,57.970001,54.130001,57.150002,50.603729,37011600
2019-11-04,57.759998,59.630001,57.209999,59.16,52.383495,32939200
2019-11-11,58.66,59.450001,56.959999,58.25,51.577728,21533400
2019-11-18,57.700001,61.389999,56.299999,59.900002,53.038731,39581400
2019-11-25,60.0,61.360001,59.209999,59.939999,53.074142,24577800
2019-12-02,60.240002,62.130001,58.610001,61.970001,54.87162,34676300
2019-12-09,61.580002,64.07,61.029999,62.700001,55.518002,25973600
2019-12-16,63.049999,64.019997,62.529999,63.720001,56.421169,33604600
2019-12-23,63.669998,65.739998,63.459999,64.980003,57.536842,20457700
2019-12-30,65.07,67.129997,63.900002,65.699997,58.174362,17761000
2020-01-06,66.279999,66.940002,64.290001,65.419998,57.926437,34506900
2020-01-13,65.360001,65.610001,64.440002,65.07,57.616528,22808700
2020-01-20,64.57,64.849998,61.619999,62.619999,55.447166,25619200
2020-01-27,61.369999,61.830002,59.119999,59.43,52.622566,30852800
2020-02-03,59.41,60.34,56.43,57.990002,51.347519,44293600
2020-02-10,57.459999,61.150002,57.209999,58.619999,51.905346,29006200
2020-02-17,58.41,59.549999,57.709999,58.439999,52.112206,20176500
2020-02-24,56.150002,56.939999,45.119999,48.419998,43.177158,63679700
2020-03-02,49.32,51.490002,44.68,45.330002,40.421749,55491000
2020-03-09,33.950001,37.419998,27.59,31.379999,27.982229,102715600
2020-03-16,27.49,31.15,20.84,26.84,23.933809,88952000
2020-03-23,26.75,32.560001,23.35,29.25,26.082861,71483800
