Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,50.810001,50.98,49.790001,50.580002,47.566906,20696500
2017-12-18,51.110001,51.790001,50.540001,50.830002,47.802017,15033000
2017-12-25,50.860001,51.830002,50.790001,51.07,48.02771,7154800
2018-01-01,51.369999,53.32,50.400002,52.490002,49.363129,13280400
2018-01-08,52.66,53.240002,50.84,51.91,48.817669,17398800
2018-01-15,52.0,52.450001,50.689999,51.48,48.413292,12706700
2018-01-22,51.73,52.740002,49.830002,50.349998,47.350594,24330600
2018-01-29,50.07,51.240002,46.18,46.369999,43.6077,42576700
2018-02-05,45.740002,47.43,43.41,44.080002,41.454124,40110100
2018-02-12,44.66,46.060001,44.099998,45.57,42.855354,32515300
2018-02-19,45.560001,46.470001,43.509998,44.470001,41.820896,17584000
2018-02-26,44.77,45.18,41.34,42.049999,39.655369,33581200
2018-03-05,41.810001,43.889999,41.740002,43.799999,41.305714,20913200
2018-03-12,43.880001,45.200001,43.209999,43.759998,41.267982,19282700
2018-03-19,43.619999,44.68,42.849998,43.299999,40.834179,15884600
2018-03-26,44.630001,44.919998,43.009998,43.84,41.343437,15156200
2018-04-02,43.619999,47.0,41.66,45.349998,42.767441,23341500
2018-04-09,45.52,45.970001,43.799999,44.48,41.946987,17006000
2018-04-16,44.799999,46.049999,42.790001,43.009998,40.560696,21540700
2018-04-23,43.080002,46.279999,42.619999,45.130001,42.559978,27083800
2018-04-30,45.130001,45.389999,43.049999,44.709999,42.163879,19259800
2018-05-07,44.900002,45.290001,43.25,43.869999,41.371727,14097100
2018-05-14,44.09,44.200001,39.970001,41.84,39.570694,29914200
2018-05-21,42.060001,43.060001,40.470001,42.66,40.346214,19497900
2018-05-28,42.18,43.580002,41.849998,42.209999,39.920635,17118300
2018-06-04,42.639999,44.639999,41.189999,44.189999,41.793236,19661400
2018-06-11,44.189999,45.0,42.009998,42.84,40.516464,23691100
2018-06-18,42.52,43.32,40.419998,40.75,38.539814,19892900
2018-06-25,40.459999,41.869999,39.330002,41.0,38.776257,21839400
2018-07-02,40.779999,41.740002,40.34,41.419998,39.173477,10391400
2018-07-09,41.720001,42.130001,40.630001,41.470001,39.220768,17453100
2018-07-16,41.459999,43.720001,40.98,42.549999,40.242195,17606300
2018-07-23,42.549999,44.919998,38.580002,43.900002,41.518974,42329800
2018-07-30,44.0,44.580002,43.259998,43.779999,41.405479,29893300
2018-08-06,43.77,45.450001,42.82,44.919998,42.483654,17315200
2018-08-13,44.869999,44.93,43.169998,44.380001,42.093117,15320300
2018-08-20,44.509998,46.91,44.380001,44.959999,42.643234,18426300
2018-08-27,45.049999,45.599998,44.200001,44.509998,42.216423,10736000
2018-09-03,44.470001,45.720001,42.740002,42.990002,40.774754,11305700
2018-09-10,43.099998,43.91,41.700001,43.0,40.784233,21440300
2018-09-17,43.07,43.639999,41.66,42.41,40.224632,15839800
2018-09-24,42.240002,43.619999,41.560001,42.18,40.006485,18405100
2018-10-01,42.259998,42.93,39.43,40.259998,38.185421,26036700
2018-10-08,39.900002,40.860001,37.419998,37.630001,35.690948,28380700
2018-10-15,37.419998,38.669998,35.720001,35.919998,34.069057,23749500
2018-10-22,36.049999,37.130001,34.369999,36.049999,34.192356,40325900
2018-10-29,36.709999,37.369999,34.630001,36.09,34.230297,28206500
2018-11-05,36.09,37.93,33.700001,34.400002,32.627384,35757900
2018-11-12,33.98,35.52,32.529999,34.779999,32.987801,34472000
2018-11-19,34.560001,36.169998,33.98,35.810001,33.964733,24550100
2018-11-26,36.040001,37.720001,35.200001,37.220001,35.450603,28784200
2018-12-03,37.66,38.110001,35.900002,36.459999,34.726738,19882600
2018-12-10,36.459999,36.959999,35.369999,35.5,33.81237,18342200
2018-12-17,35.290001,37.07,33.610001,33.619999,32.021748,35612500
2018-12-24,33.450001,35.380001,32.389999,34.59,32.945629,16242700
2018-12-31,34.740002,36.869999,33.68,36.75,35.002945,18364600
2019-01-07,36.790001,40.130001,36.650002,39.599998,37.717457,37147100
2019-01-14,39.299999,39.419998,37.029999,37.18,35.41251,27589300
2019-01-21,37.0,39.209999,36.209999,37.299999,35.526806,36412300
2019-01-28,36.529999,39.200001,34.959999,37.990002,36.184006,50034100
2019-02-04,37.900002,38.470001,37.16,37.720001,35.926838,27465200
2019-02-11,37.650002,41.139999,37.23,39.970001,38.218975,37865600
2019-02-18,40.0,41.040001,39.200001,40.84,39.050865,19560800
2019-02-25,41.049999,41.48,37.810001,38.779999,37.0811,33415000
2019-03-04,39.040001,40.970001,38.799999,40.400002,38.630142,33247300
2019-03-11,40.380001,41.77,40.279999,40.759998,38.974365,21375000
2019-03-18,40.669998,41.439999,38.380001,40.93,39.136909,27673000
2019-03-25,40.790001,43.360001,40.790001,41.380001,39.567196,32185200
2019-04-01,41.57,43.599998,40.889999,43.549999,41.642136,24997500
2019-04-08,43.48,45.400002,43.240002,45.349998,43.363281,27474500
2019-04-15,45.57,46.509998,45.130001,46.419998,44.38641,26510800
2019-04-22,46.0,47.02,43.639999,44.0,42.072422,32266400
2019-04-29,43.869999,45.630001,43.57,44.130001,42.196728,18386600
2019-05-06,43.560001,44.130001,42.52,43.52,41.613453,13445300
2019-05-13,42.919998,45.310001,42.599998,44.540001,42.735725,18763900
2019-05-20,44.400002,44.740002,43.139999,44.630001,42.822071,18849500
2019-05-27,44.669998,44.889999,42.369999,42.759998,41.027828,15504700
2019-06-03,42.689999,46.139999,42.549999,45.599998,43.752785,14559200
2019-06-10,45.790001,46.209999,44.34,45.959999,44.098202,15394400
2019-06-17,45.990002,46.470001,43.889999,44.66,42.850868,18047900
2019-06-24,44.77,45.299999,41.41,43.130001,41.382843,31049100
2019-07-01,43.73,44.57,42.93,43.48,41.718662,11985000
2019-07-08,43.400002,45.799999,43.169998,45.490002,43.64724,15117900
2019-07-15,45.560001,46.040001,44.790001,45.0,43.177097,12225900
2019-07-22,45.209999,45.259998,43.169998,44.5,42.697346,18416600
2019-07-29,44.439999,48.02,43.599998,47.0,45.096073,30200800
2019-08-05,46.389999,48.380001,45.41,47.23,45.316757,24390200
2019-08-12,47.080002,48.200001,46.73,47.75,45.959553,20000900
2019-08-19,48.0,50.639999,47.799999,49.209999,47.364811,23059800
2019-08-26,49.150002,49.669998,48.459999,49.470001,47.615055,14566500
2019-09-02,49.150002,50.889999,49.150002,50.130001,48.250305,12471400
2019-09-09,50.200001,50.619999,48.470001,49.490002,47.634315,21293200
2019-09-16,49.450001,51.740002,48.939999,51.580002,49.645943,30317600
2019-09-23,51.5,53.060001,51.5,52.139999,50.184948,19490000
2019-09-30,52.23,52.959999,50.599998,52.540001,50.569946,22985200
2019-10-07,52.389999,53.529999,51.759998,51.990002,50.040573,19814700
2019-10-14,52.169998,54.41,52.009998,53.970001,51.946331,16202800
2019-10-21,54.16,54.419998,52.950001,53.709999,51.696079,19109300
2019-10-28,53.52,53.669998,50.150002,53.299999,51.301453,25491900
2019-11-04,53.349998,53.580002,50.200001,51.150002,49.232063,26039000
2019-11-11,51.25,55.669998,51.169998,53.5,51.493958,38597400
2019-11-18,53.669998,55.029999,53.560001,54.110001,52.081078,20568900
2019-11-25,54.130001,55.799999,54.130001,55.349998,53.274586,17567200
2019-12-02,55.279999,55.810001,53.849998,54.200001,52.33477,19383400
2019-12-09,54.200001,56.119999,54.029999,54.810001,52.923775,14842700
2019-12-16,54.799999,55.27,51.709999,53.689999,51.842327,25140500
2019-12-23,53.610001,53.919998,52.630001,52.91,51.089169,5361600
2019-12-30,52.799999,53.220001,52.07,52.959999,51.137444,11670000
2020-01-06,53.360001,54.75,52.860001,53.77,51.919575,23211800
2020-01-13,53.630001,56.060001,53.389999,55.709999,53.792805,16739300
2020-01-20,55.709999,59.860001,55.650002,58.509998,56.496449,16816800
2020-01-27,59.150002,61.77,58.959999,59.200001,57.162701,23576600
2020-02-03,59.400002,61.369999,57.259998,60.700001,58.61108,16789800
2020-02-10,60.93,62.119999,60.849998,61.810001,59.855728,17065600
2020-02-17,61.950001,62.540001,61.169998,61.880001,59.923519,12979600
2020-02-24,61.09,61.529999,52.049999,53.27,51.585747,27484900
2020-03-02,53.82,58.59,53.16,54.799999,53.067368,31296200
2020-03-09,51.25,51.560001,36.23,39.299999,38.057438,33918100
2020-03-16,34.080002,34.91,25.51,31.379999,30.387848,46065700
2020-03-23,30.85,39.48,28.15,36.880001,35.713951,34727700
2020-03-30,36.75,37.32,31.200001,32.139999,31.123816,33093200
2020-04-06,34.200001,42.419998,34.0,41.040001,39.742424,25209800
