Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,86.290001,89.199997,85.879997,88.410004,77.335205,9673000
2017-12-18,89.849998,98.290001,89.300003,96.400002,84.32431,13611000
2017-12-25,96.32,98.360001,96.019997,96.019997,83.991913,4346600
2018-01-01,96.779999,100.110001,95.57,99.309998,86.869789,7106500
2018-01-08,99.0,99.410004,96.599998,98.019997,85.741379,7449800
2018-01-15,98.690002,99.110001,96.309998,99.040001,87.189705,4997900
2018-01-22,98.720001,98.800003,96.690002,98.489998,86.705498,4575600
2018-01-29,98.339996,98.980003,95.019997,96.040001,84.548653,7144200
2018-02-05,95.559998,98.330002,90.230003,92.690002,81.59948,8788100
2018-02-12,93.25,97.860001,93.150002,96.519997,84.971214,7662800
2018-02-19,95.980003,96.650002,94.209999,95.349998,83.941223,4604600
2018-02-26,95.57,96.970001,91.769997,95.470001,84.04686,9142200
2018-03-05,95.160004,95.580002,92.459999,94.809998,83.465828,7921100
2018-03-12,94.849998,96.010002,93.449997,94.550003,83.236938,8842000
2018-03-19,94.18,96.370003,84.220001,84.25,74.16935,13196500
2018-03-26,85.489998,86.830002,83.669998,85.25,75.049683,6731100
2018-04-02,86.010002,87.089996,82.379997,86.860001,76.467049,9009400
2018-04-09,87.290001,87.910004,85.870003,87.720001,77.224167,7579100
2018-04-16,88.0,91.349998,88.0,91.050003,80.741333,6692700
2018-04-23,91.019997,95.43,89.690002,94.440002,83.747536,6173100
2018-04-30,94.690002,94.690002,91.089996,92.830002,82.319801,6560600
2018-05-07,92.839996,93.0,90.269997,90.330002,80.102852,7223700
2018-05-14,90.260002,90.330002,84.419998,85.059998,75.429535,9233300
2018-05-21,85.110001,88.900002,84.370003,87.879997,77.930237,7769100
2018-05-28,87.32,89.5,86.93,88.5,78.480042,5799000
2018-06-04,88.230003,92.540001,87.610001,91.449997,81.096046,6091300
2018-06-11,91.879997,94.18,91.339996,94.099998,83.446022,7373300
2018-06-18,93.32,109.529999,93.0,108.870003,96.54377,17445500
2018-06-25,108.690002,109.580002,105.529999,107.059998,94.938675,10321000
2018-07-02,106.849998,111.43,106.129997,111.080002,98.503525,8571700
2018-07-09,110.68,112.32,109.25,112.089996,99.3992,8358300
2018-07-16,110.739998,112.809998,110.050003,110.459999,98.619606,5979300
2018-07-23,110.730003,111.559998,106.510002,106.779999,95.334076,8053700
2018-07-30,106.760002,109.730003,104.720001,108.879997,97.208969,5569700
2018-08-06,109.18,111.699997,107.959999,109.470001,97.735741,4321500
2018-08-13,109.540001,114.059998,108.449997,113.849998,101.646233,4600800
2018-08-20,113.739998,115.309998,112.209999,114.330002,102.074791,4394600
2018-08-27,114.709999,116.620003,113.449997,116.040001,103.601486,3631800
2018-09-03,116.110001,120.199997,115.970001,119.160004,106.387024,4608400
2018-09-10,117.449997,120.93,117.230003,119.050003,106.288826,4611600
2018-09-17,118.589996,124.0,112.599998,112.889999,100.789131,11112100
2018-09-24,111.269997,114.220001,110.720001,111.190002,99.271362,7280700
2018-10-01,111.129997,111.18,106.940002,108.389999,96.7715,7694300
2018-10-08,108.43,109.339996,103.139999,106.760002,95.316223,7314400
2018-10-15,106.599998,110.919998,105.57,106.330002,95.594086,6193100
2018-10-22,106.779999,108.059998,103.260002,103.910004,93.418419,5774800
2018-10-29,105.629997,109.0,103.889999,105.300003,94.668091,8107100
2018-11-05,105.190002,114.459999,105.120003,112.440002,101.087166,11160500
2018-11-12,113.0,114.089996,109.75,111.860001,100.565735,8671600
2018-11-19,111.75,114.050003,110.459999,111.57,100.304993,3936100
2018-11-26,112.650002,114.150002,109.25,110.540001,99.379005,7968200
2018-12-03,111.089996,111.480003,104.279999,104.830002,94.245537,6998900
2018-12-10,104.830002,107.050003,100.879997,103.199997,92.780098,9066300
2018-12-17,102.910004,105.919998,97.370003,99.18,89.166008,15251000
2018-12-24,98.699997,99.900002,95.830002,98.339996,88.410797,4742800
2018-12-31,98.57,101.690002,97.910004,101.400002,91.16185,6654900
2019-01-07,101.739998,108.199997,101.629997,107.989998,97.086456,7008500
2019-01-14,107.650002,109.199997,105.339996,109.019997,98.713417,5767200
2019-01-21,108.699997,110.080002,105.699997,106.43,96.368279,4238700
2019-01-28,106.059998,107.849998,104.25,104.980003,95.055382,5507600
2019-02-04,105.32,110.199997,105.32,109.410004,99.066566,6536900
2019-02-11,109.860001,113.190002,109.510002,112.120003,101.520355,4278200
2019-02-18,112.120003,112.120003,109.360001,111.760002,101.194389,3479500
2019-02-25,112.57,113.379997,110.300003,111.650002,101.094803,4421000
2019-03-04,111.620003,112.860001,106.75,107.639999,97.46389,6633700
2019-03-11,107.709999,111.389999,107.330002,110.660004,100.198395,5951100
2019-03-18,111.139999,118.199997,108.32,117.440002,106.337418,10194000
2019-03-25,117.660004,122.370003,117.389999,121.470001,109.986427,7193500
2019-04-01,122.129997,122.360001,117.0,118.980003,107.731827,6251600
2019-04-08,119.0,119.529999,115.809998,116.5,105.486282,4924100
2019-04-15,116.440002,117.110001,113.82,116.870003,106.490593,5023100
2019-04-22,116.370003,121.879997,116.190002,121.620003,110.818756,7030000
2019-04-29,121.739998,121.879997,115.459999,117.68,107.228668,6531000
2019-05-06,116.440002,122.019997,116.019997,121.75,110.93721,5535300
2019-05-13,120.059998,122.120003,118.019997,119.860001,109.215065,6341500
2019-05-20,120.160004,125.330002,119.220001,120.129997,109.461082,8494000
2019-05-27,120.730003,120.989998,114.699997,116.32,105.989449,6431900
2019-06-03,116.010002,122.639999,115.389999,121.32,110.545395,6506800
2019-06-10,121.610001,122.75,117.129997,119.68,109.051048,5286100
2019-06-17,119.830002,121.449997,112.5,121.230003,110.463387,12735600
2019-06-24,121.620003,123.970001,119.269997,121.730003,110.918991,9095800
2019-07-01,122.870003,123.68,120.32,123.639999,112.659355,3513800
2019-07-08,123.269997,125.18,120.709999,124.760002,113.679893,6318500
2019-07-15,124.980003,125.989998,121.260002,124.410004,114.164818,5780300
2019-07-22,124.730003,126.449997,123.0,125.959999,115.587173,4668800
2019-07-29,125.959999,126.75,119.849998,120.089996,110.200554,4688600
2019-08-05,118.760002,123.889999,116.370003,122.43,112.34787,5657500
2019-08-12,122.129997,122.919998,114.639999,117.099998,107.456802,5431200
2019-08-19,118.459999,122.709999,117.360001,120.529999,110.604332,4450300
2019-08-26,121.269997,122.919998,119.040001,120.980003,111.017288,4391100
2019-09-02,120.57,127.610001,118.620003,125.480003,115.146698,4838700
2019-09-09,125.870003,128.410004,124.940002,127.339996,116.853523,5325800
2019-09-16,126.239998,128.070007,119.050003,119.800003,109.934448,10447600
2019-09-23,119.699997,121.129997,115.540001,116.360001,106.77774,7881000
2019-09-30,116.800003,118.870003,113.980003,116.419998,106.832794,9134400
2019-10-07,116.209999,116.410004,111.589996,113.040001,103.731133,8330600
2019-10-14,112.75,112.82,109.089996,110.449997,102.143311,5734700
2019-10-21,110.470001,112.709999,108.57,112.370003,103.918907,5719300
2019-10-28,112.550003,113.919998,111.309998,112.169998,103.733932,5367700
2019-11-04,112.190002,114.910004,110.660004,114.910004,106.267899,4975700
2019-11-11,114.18,114.949997,109.75,112.599998,104.131615,4618400
2019-11-18,112.449997,115.269997,112.290001,114.669998,106.045929,5476700
2019-11-25,115.260002,119.279999,114.709999,118.440002,109.532417,4162000
2019-12-02,118.489998,119.980003,117.050003,119.830002,110.817863,5669900
2019-12-09,119.959999,119.970001,114.949997,115.580002,106.887512,5410200
2019-12-16,116.169998,116.809998,109.029999,110.239998,101.949104,12912400
2019-12-23,109.940002,109.940002,107.300003,108.010002,99.886826,5074500
2019-12-30,108.0,112.519997,107.489998,112.379997,103.928162,7196400
2020-01-06,112.120003,115.5,111.629997,114.550003,105.934982,8226300
2020-01-13,114.550003,114.889999,110.730003,113.519997,105.800194,8841300
2020-01-20,113.110001,117.769997,113.010002,117.089996,109.127434,5531100
2020-01-27,115.900002,119.589996,115.830002,116.43,108.512321,6067800
2020-02-03,117.129997,121.949997,114.879997,120.709999,112.501259,8200800
2020-02-10,120.620003,124.010002,120.239998,121.709999,113.433258,5513300
2020-02-17,121.160004,121.410004,119.010002,121.099998,112.864731,4097700
2020-02-24,119.089996,119.769997,94.230003,97.5,90.869629,10433900
2020-03-02,97.75,100.400002,83.790001,88.150002,82.155472,11037900
2020-03-09,82.07,82.690002,57.27,65.32,60.877987,16707500
2020-03-16,58.240002,58.360001,26.15,39.0,36.347847,43101200
