Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,41.880001,41.93,40.700001,40.950001,37.130478,66702900
2017-12-18,41.27,42.799999,41.25,42.02,38.100685,59082800
2017-12-25,41.860001,42.09,40.990002,40.990002,37.166752,19889200
2018-01-01,41.240002,44.639999,41.150002,44.009998,39.90506,48468200
2018-01-08,44.040001,44.700001,42.610001,44.07,39.959465,65309600
2018-01-15,45.099998,45.52,43.040001,43.150002,39.125278,62363900
2018-01-22,43.16,44.48,42.82,43.490002,39.433575,65528600
2018-01-29,43.470001,43.779999,40.849998,41.0,37.175812,60030300
2018-02-05,40.98,43.560001,39.509998,41.459999,37.592907,103685200
2018-02-12,41.950001,42.619999,40.93,41.09,37.257423,63188400
2018-02-19,40.900002,41.330002,40.5,40.91,37.094208,32143200
2018-02-26,41.080002,41.619999,36.59,37.43,33.938797,95524700
2018-03-05,37.330002,38.080002,37.110001,37.84,34.310555,64600500
2018-03-12,37.869999,38.610001,37.580002,37.939999,34.751129,55562700
2018-03-19,37.93,38.02,35.130001,35.169998,32.213951,60555300
2018-03-26,35.939999,36.529999,34.5,36.34,33.285614,57949000
2018-04-02,36.099998,38.48,35.23,37.68,34.512985,73373400
2018-04-09,38.279999,39.490002,37.810001,38.73,35.474735,51014900
2018-04-16,38.970001,39.669998,37.349998,37.610001,34.448868,35549500
2018-04-23,37.490002,38.279999,36.830002,37.650002,34.485512,49799900
2018-04-30,37.880001,38.07,35.279999,36.709999,33.624519,55170800
2018-05-07,36.630001,37.25,35.970001,36.889999,33.789387,36842700
2018-05-14,37.060001,38.48,36.400002,37.790001,34.613747,36243100
2018-05-21,38.16,38.77,37.459999,38.299999,35.080879,35725800
2018-05-28,38.009998,43.32,37.27,43.200001,39.569038,108563500
2018-06-04,43.240002,44.369999,43.16,44.25,40.530777,66863800
2018-06-11,44.299999,45.0,42.759998,43.91,40.570293,69175400
2018-06-18,43.599998,44.139999,40.810001,41.25,38.112602,61865700
2018-06-25,41.0,41.32,39.369999,39.400002,36.403316,57205400
2018-07-02,39.080002,40.0,38.700001,39.16,36.181564,29832400
2018-07-09,39.380001,40.310001,38.93,39.360001,36.36636,40523900
2018-07-16,39.310001,40.5,38.860001,39.400002,36.403316,43181700
2018-07-23,39.200001,39.98,36.259998,37.529999,34.675537,90468800
2018-07-30,37.66,38.189999,36.349998,37.73,34.860325,59560500
2018-08-06,37.57,38.32,36.470001,36.59,33.807037,41418400
2018-08-13,36.59,36.68,35.209999,36.380001,33.613007,50830600
2018-08-20,36.630001,37.07,35.630001,35.950001,33.215717,42012900
2018-08-27,36.290001,37.860001,35.779999,36.049999,33.308109,58308900
2018-09-03,36.0,36.0,33.610001,33.91,31.33087,51708200
2018-09-10,33.919998,34.75,33.439999,34.630001,32.344391,57047200
2018-09-17,34.5,36.490002,34.41,35.32,32.988853,69277800
2018-09-24,35.040001,35.380001,33.279999,33.669998,31.447752,63346800
2018-10-01,34.299999,35.049999,33.200001,34.119999,31.868053,94431800
2018-10-08,33.82,34.27,31.49,31.790001,29.691835,78515800
