,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,14.83,14.93,14.28,14.58,11.614323,53592000
1,2017-12-18,14.73,14.92,14.54,14.78,11.864018,45481800
2,2017-12-25,14.74,14.88,14.51,14.56,11.687422,23967800
3,2018-01-01,14.71,15.01,14.49,14.98,12.024559,53647300
4,2018-01-08,14.91,15.85,14.85,15.85,12.722915,42202700
5,2018-01-15,16.0,16.0,15.5,15.81,12.690807,39372700
6,2018-01-22,15.83,16.33,15.75,16.209999,13.01189,69783800
7,2018-01-29,16.219999,16.530001,16.030001,16.08,12.907537,50725000
8,2018-02-05,15.91,16.17,14.97,15.41,12.369723,95852400
9,2018-02-12,15.52,15.98,15.32,15.83,12.70686,58768400
10,2018-02-19,15.83,16.290001,15.7,15.99,12.835296,31310900
11,2018-02-26,16.01,16.24,15.3,15.8,12.682779,41831100
12,2018-03-05,15.63,16.5,15.57,16.5,13.244674,34253200
13,2018-03-12,16.51,16.6,15.92,16.07,12.899509,48694200
14,2018-03-19,16.07,16.120001,14.68,14.7,11.88128,41711600
15,2018-03-26,14.97,15.37,14.81,15.1,12.204582,34407600
16,2018-04-02,15.07,15.15,14.39,14.56,11.768127,42268200
17,2018-04-09,14.66,15.17,14.6,14.66,11.848951,41094600
18,2018-04-16,14.77,14.87,14.38,14.75,11.921695,39460000
19,2018-04-23,14.82,15.15,14.65,15.14,12.236911,46129300
20,2018-04-30,15.16,15.25,14.26,14.7,11.88128,35359600
21,2018-05-07,14.74,15.23,14.6,15.13,12.228829,33604900
22,2018-05-14,15.17,15.36,15.02,15.12,12.220746,40175400
23,2018-05-21,15.08,15.51,14.87,15.1,12.204582,34370100
24,2018-05-28,14.88,15.36,14.39,15.19,12.277323,45565600
25,2018-06-04,15.22,15.76,15.12,15.69,12.68145,36783800
26,2018-06-11,15.71,15.85,15.04,15.33,12.390481,47756700
27,2018-06-18,15.23,15.8,15.13,15.35,12.495786,42075700
28,2018-06-25,15.31,15.32,14.73,14.76,12.015491,48252800
29,2018-07-02,14.85,14.97,14.63,14.87,12.105039,27269200
30,2018-07-09,14.95,15.28,14.5,14.65,11.925943,42110800
31,2018-07-16,14.7,15.14,14.68,15.1,12.29227,42345600
32,2018-07-23,15.12,15.55,14.96,15.51,12.626031,51359700
33,2018-07-30,15.54,15.81,15.35,15.73,12.805125,39273800
34,2018-08-06,15.73,16.209999,15.63,15.84,12.894672,40760800
35,2018-08-13,15.85,16.139999,15.7,16.1,13.106328,43528500
36,2018-08-20,16.1,16.33,16.01,16.209999,13.195873,39174100
37,2018-08-27,16.27,16.389999,16.129999,16.209999,13.195873,39801700
38,2018-09-03,16.18,16.52,16.15,16.25,13.228437,38300000
39,2018-09-10,16.299999,16.379999,15.6,15.66,12.748142,57711600
40,2018-09-17,15.72,16.059999,15.48,15.95,13.10052,56215600
41,2018-09-24,15.95,15.99,14.85,14.92,12.254529,62069800
42,2018-10-01,15.06,15.6,14.75,15.35,12.607713,74162400
43,2018-10-08,15.3,15.67,14.06,14.37,11.802789,69464400
44,2018-10-15,14.37,14.54,13.99,14.2,11.663159,55869000
45,2018-10-22,14.29,14.37,13.13,13.61,11.178564,89473900
46,2018-10-29,13.82,14.58,13.68,14.29,11.73708,71320600
47,2018-11-05,14.3,14.86,14.23,14.67,12.049194,54537600
48,2018-11-12,14.63,14.94,14.14,14.79,12.147755,68351400
49,2018-11-19,14.82,14.97,14.27,14.47,11.884924,39716200
50,2018-11-26,14.63,14.87,14.38,14.59,11.983486,49050100
51,2018-12-03,14.81,14.85,13.16,13.42,11.022506,74155900
52,2018-12-10,13.37,13.39,12.15,12.17,9.995822,66963000
53,2018-12-17,11.99,12.15,11.41,11.59,9.519434,111787400
54,2018-12-24,11.47,12.04,11.12,11.89,9.879495,48905400
55,2018-12-31,11.91,12.4,11.72,12.38,10.286638,43110700
56,2019-01-07,12.31,12.73,12.21,12.63,10.494366,44378000
