Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,113.0,114.900002,112.0,114.139999,102.301338,4885000
2017-12-18,113.290001,115.82,112.650002,114.949997,103.027328,4383000
2017-12-25,114.949997,115.580002,113.510002,113.510002,101.736702,1794200
2018-01-01,113.480003,113.989998,111.370003,112.959999,101.243729,3111400
2018-01-08,113.230003,114.629997,109.230003,109.269997,97.936455,4148700
2018-01-15,107.309998,109.660004,107.25,109.370003,98.0261,4897600
2018-01-22,109.410004,111.809998,109.150002,111.07,99.549782,4489200
2018-01-29,110.75,111.050003,102.139999,102.970001,92.289909,8405400
2018-02-05,102.839996,103.269997,97.620003,99.669998,89.332176,9815700
2018-02-12,100.0,100.959999,98.099998,100.709999,90.26432,6774100
2018-02-19,100.43,100.550003,95.209999,96.949997,86.89431,4773500
2018-02-26,97.080002,99.449997,96.949997,98.870003,89.213005,5876500
2018-03-05,98.510002,100.360001,98.080002,100.360001,90.557465,4828600
2018-03-12,100.519997,103.0,100.029999,101.019997,91.153,6571800
2018-03-19,100.93,101.410004,95.919998,96.059998,86.677475,5831700
2018-03-26,96.910004,99.519997,96.300003,98.959999,89.294212,4078400
2018-04-02,98.540001,101.07,96.510002,98.849998,89.194977,4796600
2018-04-09,99.169998,100.379997,95.099998,95.959999,86.587242,5719300
2018-04-16,95.779999,97.300003,92.059998,92.480003,83.447136,6664500
2018-04-23,92.720001,94.5,91.400002,93.379997,84.259239,9575000
2018-04-30,93.57,94.0,89.099998,91.779999,82.815514,7928000
2018-05-07,91.900002,93.669998,90.949997,92.459999,83.429108,5003100
2018-05-14,92.32,94.290001,90.029999,91.489998,82.553841,7947800
2018-05-21,91.720001,93.239998,90.830002,92.029999,83.041107,5089900
2018-05-28,91.75,92.370003,89.68,90.010002,81.801041,6328000
2018-06-04,90.5,92.0,89.290001,91.769997,83.400528,6024800
2018-06-11,92.0,94.0,89.839996,94.0,85.427147,8804600
2018-06-18,93.089996,93.959999,91.110001,92.669998,84.218437,5482400
2018-06-25,92.75,95.010002,92.75,93.059998,84.572884,6330000
2018-07-02,92.900002,96.300003,91.779999,95.550003,86.835785,4184100
2018-07-09,95.239998,95.82,93.169998,93.989998,85.418068,4382200
2018-07-16,94.0,94.139999,91.25,91.919998,83.536842,4289200
2018-07-23,91.620003,101.690002,90.519997,96.989998,88.144455,9431600
2018-07-30,96.400002,100.839996,95.809998,99.160004,90.116585,7194300
2018-08-06,99.470001,100.269997,96.760002,97.699997,88.789711,4780400
2018-08-13,97.730003,101.959999,97.0,101.480003,92.224991,6422400
2018-08-20,101.900002,102.769997,98.660004,99.769997,90.670921,4326500
2018-08-27,100.230003,100.879997,98.5,100.519997,92.015549,3948500
2018-09-03,100.709999,104.449997,100.410004,103.639999,94.871574,5755700
2018-09-10,103.540001,106.760002,103.389999,105.970001,97.004463,5477100
2018-09-17,105.900002,105.900002,101.599998,103.900002,95.109604,5819000
2018-09-24,103.660004,103.839996,101.190002,102.0,93.370338,3412000
2018-10-01,102.25,104.68,101.199997,104.389999,95.558136,4209600
2018-10-08,104.010002,106.540001,101.660004,103.410004,94.661041,4783900
2018-10-15,103.360001,106.790001,103.330002,106.580002,97.562843,5235900
2018-10-22,106.610001,109.519997,99.150002,102.519997,93.846329,8335500
2018-10-29,103.410004,108.699997,103.410004,105.839996,96.88546,7549900
2018-11-05,106.220001,108.709999,106.0,108.580002,99.393646,7559100
2018-11-12,108.330002,110.089996,106.779999,109.150002,99.915428,6357400
