,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,187.850006,192.639999,184.820007,190.119995,190.119995,29352900
1,2017-12-18,191.199997,191.649994,185.259995,189.940002,189.940002,27198100
2,2017-12-25,189.779999,194.490005,185.220001,191.960007,191.960007,22342800
3,2018-01-01,196.100006,210.020004,195.419998,209.990005,209.990005,32621100
4,2018-01-08,210.020004,222.550003,206.910004,221.229996,221.229996,33516500
5,2018-01-15,224.240005,226.070007,216.320007,220.460007,220.460007,41413100
6,2018-01-22,222.0,274.600006,221.199997,274.600006,274.600006,89119200
7,2018-01-29,274.200012,286.809998,262.709991,267.429993,267.429993,60500300
8,2018-02-05,262.0,272.450012,236.110001,249.470001,249.470001,59687000
9,2018-02-12,252.139999,281.959991,249.0,278.519989,278.519989,45434200
10,2018-02-19,277.73999,286.640015,274.450012,285.929993,285.929993,33333400
11,2018-02-26,288.75,301.179993,283.230011,301.049988,301.049988,52616000
12,2018-03-05,302.850006,331.440002,297.600006,331.440002,331.440002,80484400
13,2018-03-12,333.559998,333.980011,313.279999,318.450012,318.450012,56738100
14,2018-03-19,315.799988,319.5,300.359985,300.940002,300.940002,38774200
15,2018-03-26,309.359985,322.899994,275.899994,295.350006,295.350006,62175300
16,2018-04-02,291.940002,299.160004,271.220001,288.850006,288.850006,61114700
17,2018-04-09,291.769989,317.48999,289.119995,311.649994,311.649994,57687500
18,2018-04-16,315.98999,338.820007,304.0,327.769989,327.769989,82993000
19,2018-04-23,329.149994,331.220001,292.619995,311.76001,311.76001,54122000
20,2018-04-30,311.070007,320.980011,305.730011,320.089996,320.089996,32167800
21,2018-05-07,321.98999,332.059998,319.339996,326.459991,326.459991,27378900
22,2018-05-14,327.25,330.5,322.429993,324.179993,324.179993,21021000
23,2018-05-21,327.109985,354.359985,325.450012,351.290009,351.290009,45246800
24,2018-05-28,351.5,359.98999,346.709991,359.929993,359.929993,29437400
25,2018-06-04,362.679993,369.829987,355.51001,360.570007,360.570007,37256000
26,2018-06-11,361.880005,398.859985,360.910004,391.980011,391.980011,55132600
27,2018-06-18,387.720001,423.209991,386.5,411.089996,411.089996,68835000
28,2018-06-25,404.690002,411.589996,378.75,391.429993,391.429993,75695900
29,2018-07-02,385.450012,408.649994,380.0,408.25,408.25,30501300
30,2018-07-09,415.950012,419.769989,395.079987,395.799988,395.799988,58686600
31,2018-07-16,398.980011,403.359985,344.0,361.049988,361.049988,135092100
32,2018-07-23,359.149994,367.399994,351.649994,355.209991,355.209991,48767700
33,2018-07-30,351.929993,352.029999,328.0,343.089996,343.089996,56116300
34,2018-08-06,342.869995,357.309998,341.73999,345.869995,345.869995,30712400
35,2018-08-13,339.890015,347.190002,312.959991,316.779999,316.779999,41576200
36,2018-08-20,314.640015,359.149994,310.929993,358.820007,358.820007,63370500
37,2018-08-27,367.149994,376.809998,360.0,367.679993,367.679993,53693000
38,2018-09-03,366.470001,368.880005,335.829987,348.679993,348.679993,42854000
39,2018-09-10,352.269989,374.089996,343.079987,364.559998,364.559998,35553600
40,2018-09-17,364.220001,377.609985,349.570007,361.190002,361.190002,48061400
41,2018-09-24,359.0,383.200012,354.329987,374.130005,374.130005,44363100
42,2018-10-01,375.850006,386.799988,343.0,351.350006,351.350006,45411300
43,2018-10-08,345.179993,358.720001,315.809998,339.559998,339.559998,69266500
44,2018-10-15,337.630005,380.0,326.929993,332.670013,332.670013,99160500
45,2018-10-22,333.100006,336.579987,292.299988,299.829987,299.829987,84006700
46,2018-10-29,305.26001,321.880005,271.209991,309.100006,309.100006,94270900
47,2018-11-05,311.100006,332.049988,298.01001,303.470001,303.470001,57826400
48,2018-11-12,300.0,303.549988,278.299988,286.209991,286.209991,59077200
49,2018-11-19,283.790009,285.089996,250.0,258.820007,258.820007,45955700
50,2018-11-26,260.549988,290.809998,253.800003,286.130005,286.130005,65741000
51,2018-12-03,293.190002,298.720001,263.380005,265.140015,265.140015,52459000
52,2018-12-10,264.190002,281.769989,260.609985,266.839996,266.839996,49200100
53,2018-12-17,266.51001,280.869995,241.289993,246.389999,246.389999,71963700
54,2018-12-24,242.0,261.910004,231.229996,256.079987,256.079987,47178300
55,2018-12-31,260.160004,297.799988,256.579987,297.570007,297.570007,59488100
56,2019-01-07,302.100006,341.089996,301.649994,337.589996,337.589996,80295400
57,2019-01-14,334.23999,358.850006,329.130005,339.100006,339.100006,92558500
58,2019-01-21,334.890015,340.0,318.600006,338.049988,338.049988,53706000
59,2019-01-28,334.700012,346.839996,328.149994,339.850006,339.850006,43905100
60,2019-02-04,342.600006,360.0,338.0,347.570007,347.570007,40241600
61,2019-02-11,350.0,364.399994,344.809998,356.869995,356.869995,44968700
