Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,53.259998,53.880001,52.66,53.049999,53.049999,21261100
2017-12-18,52.799999,53.18,41.610001,44.57,44.57,77125300
2017-12-25,44.77,45.189999,44.27,44.830002,44.830002,26129900
2018-01-01,44.34,44.669998,43.369999,44.290001,44.290001,30863100
2018-01-08,44.290001,45.290001,43.599998,43.82,43.82,31577500
2018-01-15,43.990002,44.779999,43.77,44.389999,44.389999,20288500
2018-01-22,44.5,44.700001,43.220001,43.540001,43.540001,25374100
2018-01-29,43.27,47.0,41.18,41.439999,41.439999,38378600
2018-02-05,41.549999,41.700001,37.299999,38.57,38.57,32007000
2018-02-12,38.630001,40.560001,38.290001,40.400002,40.400002,28591400
2018-02-19,40.299999,41.189999,39.740002,41.139999,41.139999,18716200
2018-02-26,41.189999,42.52,40.060001,40.720001,40.720001,33685800
2018-03-05,40.720001,42.669998,40.220001,42.029999,42.029999,24416200
2018-03-12,41.990002,45.700001,41.790001,45.080002,45.080002,42511100
2018-03-19,45.049999,45.16,42.259998,43.080002,43.080002,19907500
2018-03-26,43.389999,44.240002,42.639999,43.93,43.93,19971300
2018-04-02,43.970001,44.490002,42.82,43.970001,43.970001,14663900
2018-04-09,44.0,45.630001,43.939999,45.34,45.34,19507900
2018-04-16,45.439999,47.360001,45.02,45.73,45.73,24584100
2018-04-23,45.799999,48.900002,45.240002,46.630001,46.630001,20086000
2018-04-30,46.830002,46.939999,43.75,44.880001,44.880001,19659400
2018-05-07,44.779999,45.080002,42.299999,43.32,43.32,18892900
2018-05-14,43.150002,43.700001,41.810001,42.779999,42.779999,20215100
2018-05-21,42.84,44.959999,42.619999,44.66,44.66,15776300
2018-05-28,43.450001,43.860001,41.889999,42.27,42.27,20148400
2018-06-04,42.400002,42.889999,41.060001,41.450001,41.450001,16239300
2018-06-11,38.380001,41.029999,38.009998,40.200001,40.200001,45184000
2018-06-18,39.360001,43.029999,39.240002,42.919998,42.919998,41312100
2018-06-25,42.799999,43.07,41.650002,42.560001,42.560001,25429400
2018-07-02,42.709999,46.48,42.439999,45.029999,45.029999,17998500
2018-07-09,44.91,45.32,43.200001,43.27,43.27,28084400
2018-07-16,43.419998,43.419998,41.330002,41.439999,41.439999,25718800
2018-07-23,41.450001,45.189999,40.57,43.48,43.48,34615300
2018-07-30,43.389999,43.700001,41.419998,42.959999,42.959999,18797400
2018-08-06,43.630001,44.91,42.59,42.669998,42.669998,25785800
2018-08-13,42.610001,45.869999,42.360001,45.25,45.25,33149600
2018-08-20,45.0,45.709999,42.349998,42.810001,42.810001,38546700
2018-08-27,43.75,48.09,43.09,46.18,46.18,51600600
2018-09-03,48.209999,48.689999,45.040001,45.779999,45.779999,35323500
2018-09-10,45.790001,47.099998,45.59,46.970001,46.970001,29174200
2018-09-17,46.98,48.360001,46.439999,46.790001,46.790001,25202100
2018-09-24,46.700001,46.900002,44.889999,46.009998,46.009998,24610500
2018-10-01,46.110001,48.209999,45.27,47.950001,47.950001,25406800
2018-10-08,48.240002,48.849998,46.450001,47.27,47.27,25127500
2018-10-15,47.310001,49.110001,47.139999,48.849998,48.849998,24729200
2018-10-22,48.799999,48.860001,45.84,46.290001,46.290001,19935100
2018-10-29,46.5,47.59,46.27,47.439999,47.439999,19901500
2018-11-05,47.950001,49.419998,39.790001,39.919998,39.919998,45165200
2018-11-12,33.16,35.150002,17.26,24.4,24.4,277337900
2018-11-19,22.370001,24.549999,21.540001,23.84,23.84,55638500
2018-11-26,23.52,27.6,23.34,26.379999,26.379999,61620900
2018-12-03,26.299999,27.34,25.43,25.790001,25.790001,29468000
2018-12-10,25.42,27.379999,24.809999,26.01,26.01,37715700
2018-12-17,24.450001,24.99,22.32,22.75,22.75,66465300
2018-12-24,22.35,24.43,21.879999,23.889999,23.889999,28112100
