Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,211.990005,224.229996,210.479996,222.110001,199.131577,4358300
2017-12-18,221.889999,222.5,215.520004,218.949997,196.298538,1821300
2017-12-25,218.660004,222.830002,218.660004,221.259995,198.369568,879400
2018-01-01,222.639999,223.270004,215.410004,222.350006,199.346802,1865200
2018-01-08,221.630005,224.350006,216.360001,224.199997,201.005417,2025800
2018-01-15,225.589996,227.100006,222.440002,224.600006,201.364059,1208100
2018-01-22,230.0,235.830002,225.779999,229.25,205.532959,1828100
2018-01-29,229.220001,232.630005,225.259995,229.610001,205.855728,1606800
2018-02-05,228.309998,250.679993,224.320007,239.770004,214.964584,3129400
2018-02-12,241.570007,244.649994,236.419998,243.259995,218.093552,1792800
2018-02-19,243.169998,245.0,236.520004,242.940002,217.806656,1388400
2018-02-26,243.660004,245.020004,236.990005,239.0,214.274261,1530800
2018-03-05,245.0,263.440002,243.059998,262.619995,235.450668,2002900
2018-03-12,262.23999,263.630005,258.660004,261.399994,235.560867,1570900
2018-03-19,261.179993,264.880005,248.630005,248.630005,224.053146,1210300
2018-03-26,251.289993,259.649994,248.770004,256.820007,231.433563,1139900
2018-04-02,257.769989,259.959991,251.660004,254.25,229.117615,1332100
2018-04-09,255.660004,261.890015,247.990005,249.190002,224.557785,1599700
2018-04-16,250.380005,252.940002,241.800003,246.990005,222.575256,1979000
2018-04-23,246.990005,248.669998,229.619995,236.720001,213.320435,1895100
2018-04-30,236.419998,237.259995,222.669998,227.520004,205.029846,1602900
2018-05-07,227.889999,229.759995,223.910004,228.289993,205.723724,1222600
2018-05-14,228.289993,229.5,225.75,226.539993,204.146729,1394500
2018-05-21,227.789993,230.389999,225.089996,227.440002,204.957779,1181500
2018-05-28,225.119995,227.619995,222.949997,225.919998,203.587997,1336200
2018-06-04,225.949997,231.020004,224.990005,230.320007,208.746216,805400
2018-06-11,230.619995,231.869995,224.539993,226.600006,205.374664,1252000
2018-06-18,227.039993,231.059998,225.210007,230.0,208.456192,1322800
2018-06-25,229.970001,233.479996,226.770004,230.479996,208.89122,1493300
2018-07-02,230.759995,232.669998,225.429993,230.460007,208.873123,862400
2018-07-09,231.320007,235.75,230.75,231.550003,209.861008,812700
