Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,97.57,100.900002,97.220001,98.529999,84.810692,9778100
2017-12-18,99.080002,99.440002,96.959999,97.93,84.294235,7547700
2017-12-25,97.919998,98.43,96.980003,97.610001,84.018784,2843600
2018-01-01,98.25,99.040001,96.230003,98.57,85.209457,5133300
2018-01-08,98.559998,107.57,98.230003,107.239998,92.704285,8065200
2018-01-15,107.849998,108.5,104.879997,107.610001,93.024124,8074100
2018-01-22,107.519997,114.269997,107.169998,110.910004,95.876846,11092100
2018-01-29,111.050003,112.639999,107.300003,107.470001,92.903122,9460900
2018-02-05,106.5,107.809998,96.790001,100.010002,86.454277,10923200
2018-02-12,100.769997,105.370003,100.120003,104.550003,90.378876,6989000
2018-02-19,103.989998,105.889999,102.480003,104.5,90.33567,4842500
2018-02-26,105.0,108.989998,101.639999,104.279999,90.145485,13398900
2018-03-05,103.650002,110.239998,103.410004,109.830002,94.943237,10861200
2018-03-12,110.0,110.330002,105.459999,106.870003,92.384445,9726700
2018-03-19,106.760002,108.410004,97.5,97.709999,84.466026,9460700
2018-03-26,99.519997,102.059998,97.169998,99.730003,86.212219,6933700
2018-04-02,99.589996,101.25,95.93,97.489998,84.63755,6601400
2018-04-09,98.010002,102.080002,97.949997,99.800003,86.643005,7038800
2018-04-16,100.370003,104.330002,99.029999,99.660004,86.521469,10494200
2018-04-23,101.190002,103.639999,99.760002,100.260002,87.042358,9462600
2018-04-30,100.82,101.519997,95.07,97.75,84.863258,7282200
2018-05-07,98.0,102.5,97.440002,102.010002,88.561638,6124700
2018-05-14,102.400002,103.150002,99.080002,99.32,86.226303,6083300
2018-05-21,100.07,101.139999,98.330002,100.470001,87.22467,7000000
2018-05-28,99.199997,99.559998,94.029999,98.449997,85.470985,7386700
2018-06-04,98.309998,101.349998,97.18,100.459999,87.215988,7592700
2018-06-11,100.599998,101.18,96.440002,98.339996,85.375481,7944200
2018-06-18,97.720001,99.080002,96.449997,98.139999,85.201836,8553800
2018-06-25,97.809998,97.809998,93.0,93.089996,80.817596,10718700
2018-07-02,92.43,94.650002,91.669998,92.75,80.882813,5833300
2018-07-09,93.300003,94.860001,91.870003,92.440002,80.612495,8604200
2018-07-16,92.519997,95.68,84.559998,85.870003,74.88311,19778600
2018-07-23,85.080002,89.349998,85.080002,87.0,75.86853,21442300
2018-07-30,87.209999,89.230003,85.699997,86.879997,75.763893,18756000
2018-08-06,86.879997,87.900002,83.519997,83.989998,73.24366,10367600
2018-08-13,84.220001,85.129997,82.43,84.959999,74.089546,12222900
2018-08-20,85.199997,86.610001,84.779999,86.120003,75.101112,9155400
2018-08-27,86.660004,88.360001,86.199997,86.910004,75.790039,11437600
2018-09-03,87.959999,88.550003,85.800003,86.379997,75.32785,8448400
2018-09-10,87.129997,87.709999,86.160004,87.290001,76.121399,11159300
2018-09-17,87.400002,90.199997,85.389999,88.769997,77.412056,16144800
