,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,188.570007,193.080002,187.179993,192.270004,189.784698,10182000
1,2017-12-18,193.309998,195.350006,189.089996,190.419998,188.105942,6629400
2,2017-12-25,190.720001,191.979996,189.880005,189.880005,187.57251,2671100
3,2018-01-01,190.800003,202.649994,190.380005,202.389999,199.930481,5635100
4,2018-01-08,202.389999,211.539993,200.199997,210.169998,207.615921,8248100
5,2018-01-15,211.809998,214.570007,207.509995,213.509995,210.915329,6624400
6,2018-01-22,214.009995,219.779999,212.770004,219.779999,217.109161,6555100
7,2018-01-29,219.399994,226.440002,212.539993,217.690002,215.044525,10283900
8,2018-02-05,216.710007,219.259995,194.509995,200.179993,197.74733,10726800
9,2018-02-12,202.0,212.690002,200.860001,210.610001,208.050613,6139800
10,2018-02-19,208.899994,213.639999,207.300003,211.710007,209.137222,4206900
11,2018-02-26,212.179993,214.869995,201.820007,206.440002,203.931274,5805000
12,2018-03-05,204.509995,218.080002,202.070007,217.889999,215.242126,5924400
13,2018-03-12,218.699997,219.940002,210.259995,210.440002,207.882599,8969100
14,2018-03-19,210.779999,215.550003,204.270004,204.649994,202.322891,7740600
15,2018-03-26,207.570007,210.919998,204.520004,206.460007,204.11235,5607500
16,2018-04-02,205.720001,212.610001,199.850006,205.559998,203.222549,7063900
17,2018-04-09,207.25,216.330002,207.25,214.350006,211.912598,5941600
18,2018-04-16,215.710007,221.880005,212.639999,215.889999,213.435089,6981200
19,2018-04-23,216.830002,218.050003,207.990005,212.839996,210.419754,8685800
20,2018-04-30,213.089996,213.839996,204.860001,210.070007,207.68129,7279100
21,2018-05-07,210.330002,216.690002,206.589996,216.550003,214.08757,6030100
22,2018-05-14,216.600006,219.410004,208.919998,214.940002,212.49588,7429300
23,2018-05-21,215.740005,219.050003,212.589996,213.649994,211.220566,5812700
24,2018-05-28,211.479996,212.649994,207.100006,211.830002,209.421295,5536800
25,2018-06-04,212.0,218.960007,212.0,217.020004,214.552246,5995700
26,2018-06-11,217.630005,218.690002,213.860001,215.800003,213.3461,6807700
27,2018-06-18,213.720001,213.720001,205.800003,208.75,206.538559,7212900
28,2018-06-25,207.710007,208.529999,202.830002,207.139999,204.945618,6371500
29,2018-07-02,205.740005,208.059998,203.899994,207.199997,205.004974,3435400
30,2018-07-09,208.990005,214.720001,207.550003,211.199997,208.962646,5673800
31,2018-07-16,210.869995,217.339996,207.970001,216.850006,214.55275,7579700
32,2018-07-23,216.779999,234.429993,216.0,231.100006,228.651794,12320300
33,2018-07-30,230.919998,235.539993,229.639999,233.320007,230.848236,8542600
34,2018-08-06,233.529999,236.289993,230.610001,231.419998,228.968445,5116000
35,2018-08-13,231.460007,232.800003,227.770004,230.0,227.563431,4688300
36,2018-08-20,230.160004,235.419998,229.899994,234.710007,232.223557,5066500
37,2018-08-27,235.600006,240.880005,235.559998,239.100006,236.567062,4203900
38,2018-09-03,238.889999,238.940002,234.289993,235.960007,233.460312,4908000
39,2018-09-10,237.0,244.369995,235.509995,241.979996,239.41655,5606500
40,2018-09-17,236.929993,244.130005,235.660004,243.490005,241.078506,6794300
41,2018-09-24,244.270004,245.0,239.660004,244.080002,241.662674,5901800
42,2018-10-01,245.919998,249.949997,238.380005,240.690002,238.306259,8121600
43,2018-10-08,239.289993,242.869995,224.089996,231.410004,229.118118,8413800
44,2018-10-15,229.970001,236.020004,225.830002,227.149994,224.900345,9021500
45,2018-10-22,227.779999,238.990005,217.880005,230.0,227.722122,15166000
46,2018-10-29,233.809998,237.990005,224.679993,234.210007,231.890427,9568600
47,2018-11-05,235.320007,246.610001,233.699997,243.449997,241.03891,6641300
48,2018-11-12,242.490005,243.300003,228.850006,241.059998,238.672592,7326900
49,2018-11-19,240.860001,241.559998,230.300003,235.009995,232.682526,5869700
50,2018-11-26,237.160004,250.75,235.809998,249.550003,247.078491,8729600
51,2018-12-03,253.649994,253.910004,234.050003,235.860001,233.524048,8040800
52,2018-12-10,236.949997,245.369995,231.559998,234.190002,231.870605,7765200
53,2018-12-17,232.0,235.979996,214.929993,215.789993,213.80336,13135600
54,2018-12-24,214.240005,225.429993,208.339996,222.449997,220.402008,7578400
55,2018-12-31,224.429993,225.979996,210.070007,221.759995,219.718338,10355500
56,2019-01-07,222.0,240.020004,222.0,240.0,237.790451,12051900
57,2019-01-14,237.949997,241.979996,233.710007,240.660004,238.444382,10585700
58,2019-01-21,238.580002,244.520004,237.550003,240.899994,238.682159,7628800
59,2019-01-28,238.089996,245.949997,235.899994,243.429993,241.188873,9915900
60,2019-02-04,243.529999,247.869995,240.589996,243.509995,241.268158,5801900
61,2019-02-11,243.509995,252.509995,243.380005,252.490005,250.165482,6151200
62,2019-02-18,251.669998,252.610001,249.699997,252.100006,249.779037,4149300
63,2019-02-25,252.520004,264.450012,252.509995,264.059998,261.628967,7647100
64,2019-03-04,266.0,266.179993,246.669998,249.850006,247.549774,8172800
65,2019-03-11,250.869995,264.390015,249.630005,263.089996,260.667908,8341300
66,2019-03-18,263.049988,271.700012,261.100006,263.809998,261.573181,7685300
67,2019-03-25,266.869995,273.940002,264.01001,273.720001,271.3992,6114100
68,2019-04-01,275.140015,278.859985,272.769989,276.48999,274.14566,5006200
69,2019-04-08,276.700012,282.980011,273.980011,280.649994,278.270508,5948800
70,2019-04-15,280.369995,281.149994,253.220001,259.779999,257.577362,12281400
71,2019-04-22,260.0,273.480011,254.139999,273.220001,270.903412,11463400
72,2019-04-29,273.959991,280.01001,270.649994,278.640015,276.277557,6421000
73,2019-05-06,272.779999,279.589996,260.799988,269.179993,266.897644,7591500
74,2019-05-13,262.920013,269.410004,258.029999,261.730011,259.510895,7968700
75,2019-05-20,262.179993,276.660004,260.25,271.799988,269.495514,7245300
76,2019-05-27,273.820007,274.829987,262.109985,266.980011,264.71637,4947600
