Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,19.65,21.74,19.110001,21.040001,21.040001,39810600
2017-12-18,21.370001,23.889999,20.77,23.73,23.73,37590700
2017-12-25,23.629999,24.1,22.33,22.379999,22.379999,15528300
2018-01-01,22.959999,23.370001,21.58,22.0,22.0,26695800
2018-01-08,22.049999,24.370001,21.129999,24.33,24.33,31381700
2018-01-15,24.4,25.780001,24.290001,25.709999,25.709999,19917900
2018-01-22,25.73,26.5,25.360001,26.040001,26.040001,18717000
2018-01-29,25.9,26.110001,23.57,23.809999,23.809999,27013400
2018-02-05,23.639999,24.49,21.370001,22.610001,22.610001,33355200
2018-02-12,22.690001,24.129999,22.540001,23.860001,23.860001,18726000
2018-02-19,23.93,24.709999,23.57,24.01,24.01,15037600
2018-02-26,24.040001,26.67,23.83,24.67,24.67,46029500
2018-03-05,24.42,24.85,22.959999,24.190001,24.190001,30943800
2018-03-12,24.450001,24.83,23.209999,23.209999,23.209999,21923400
2018-03-19,23.15,23.23,21.030001,21.08,21.08,35945700
2018-03-26,21.370001,22.200001,20.98,21.43,21.43,24590900
2018-04-02,21.66,23.049999,21.42,22.620001,22.620001,24870300
2018-04-09,22.790001,23.35,22.23,22.83,22.83,23787800
2018-04-16,22.9,24.09,22.459999,23.16,23.16,20879700
2018-04-23,23.190001,24.75,23.07,23.950001,23.950001,25826200
2018-04-30,24.0,24.299999,22.610001,23.16,23.16,33591400
2018-05-07,23.280001,24.799999,22.200001,24.030001,24.030001,38406900
2018-05-14,24.0,24.030001,22.4,22.57,22.57,32990900
2018-05-21,22.700001,23.360001,22.120001,22.34,22.34,17627200
2018-05-28,22.24,22.26,20.6,20.950001,20.950001,22742100
2018-06-04,21.27,23.120001,20.690001,23.02,23.02,31587100
2018-06-11,23.01,27.25,22.959999,27.17,27.17,40189000
2018-06-18,26.690001,28.559999,26.18,28.120001,28.120001,32691700
2018-06-25,27.98,28.780001,27.49,27.5,27.5,25132500
2018-07-02,27.48,28.16,27.07,27.870001,27.870001,12488400
2018-07-09,27.9,28.51,27.24,27.440001,27.440001,15791200
2018-07-16,27.51,27.719999,25.99,26.58,26.58,17279000
2018-07-23,26.459999,26.92,25.73,26.030001,26.030001,13505800
2018-07-30,26.030001,27.16,25.91,27.059999,27.059999,13808500
2018-08-06,27.02,27.26,24.719999,25.99,25.99,23357000
2018-08-13,26.01,27.01,25.67,26.950001,26.950001,16313400
2018-08-20,26.889999,29.719999,26.889999,28.540001,28.540001,19707000
2018-08-27,28.540001,28.950001,27.66,27.83,27.83,12634000
2018-09-03,27.6,28.24,27.16,27.950001,27.950001,15108500
2018-09-10,28.049999,32.650002,26.040001,32.18,32.18,27767400
2018-09-17,32.25,32.52,30.75,31.799999,31.799999,20472600
2018-09-24,31.940001,32.380001,31.200001,32.0,32.0,17011200
2018-10-01,32.16,34.060001,32.0,32.93,32.93,24117100
2018-10-08,32.990002,33.419998,30.59,31.76,31.76,19456000
2018-10-15,31.780001,33.740002,31.700001,33.400002,33.400002,21871400
2018-10-22,33.470001,33.689999,29.790001,30.129999,30.129999,26034700
2018-10-29,30.780001,33.779999,29.83,32.310001,32.310001,21289000
2018-11-05,32.610001,34.889999,32.259998,32.98,32.98,24061100
2018-11-12,33.150002,33.290001,30.85,31.440001,31.440001,19416400
